ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800014096;15.290,88;10.459,29;4.831,58;2.933,63;803,62;31,33;1.125,67;0;0;0;-;-;1.125,67;366,17;0;759,49;0;-
2019;800014096;13.689,01;9.724,71;3.964,30;675,65;2.988,17;-21,14;279,34;0;0;0;0;0;279,34;99,13;0;180,21;0;-
2018;800014096;13.066,98;9.164,02;3.902,96;616,83;2.852,56;70,83;504,39;0;64,44;64,44;-;0;439,95;156,12;0;283,83;0;-
2017;800014096;11.562,17;8.069,99;3.492,18;558,54;2.653,02;0,73;281,35;0;0;0;0;0;281,35;101,27;0;180,08;0;-
2016;800014096;12.795,28;9.147,95;3.647,34;665,9;2.823,13;42,49;200,8;0;0;0;-;-;200,8;46,13;0;154,66;0;-
2015;800014096;12.982,91;9.426,08;3.556,83;548,94;2.591,95;-;415,94;71,23;51,55;0,08;51,47;-;435,62;182,56;-;253,07;-;-
2014;800014096;12.667,77;9.168,70;3.499,07;507,14;2.619,64;-;372,29;86,52;243,28;-;-;-;215,53;115,81;-;99,72;33,85;0
2013;800014096;10.226,46;7.451,39;2.775,07;499,99;2.122,98;-;152,09;382,24;78,15;-;-;-;456,19;163,41;-;292,78;6,29;0
2012;800014096;12.345,33;8.785,60;3.559,73;482,38;2.665,95;-;411,4;140,09;109,47;-;-;-;442,02;158,04;-;283,98;5,79;0
2011;800014096;11.448,60;7.776,04;3.672,56;683,85;2.197,40;-;791,31;72,43;56,61;-;-;-;807,14;277,2;-;529,93;8,84;0
2010;800014096;10.834,60;7.450,43;3.384,17;518,5;2.323,79;-;541,88;91,07;74,25;-;-;-;558,71;193,67;-;365,04;15,04;0
2009;800014096;8.481,90;6.263,34;2.218,56;429,07;1.823,13;-;-33,64;81,29;63,32;-;-;-;-15,66;4,56;-;-20,22;25,28;0
2008;800014096;9.316,51;6.564,77;2.751,74;434,94;2.189,92;-;126,89;222,2;81,44;-;-;-;267,65;98,1;-;169,54;28,08;0
2007;800014096;10.522,65;7.403,54;3.119,11;412,5;2.325,94;-;380,67;157,23;135,98;-;-;-;401,92;184,3;-;217,62;-;-
2006;800014096;8.446,97;6.553,04;1.893,93;356,23;1.522,08;-;15,63;155,81;101,43;-;-;487,52;70;56,47;-;501,05;-;-
