ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;900351736;159.043,34;86.640,52;72.402,82;35.322,23;24.865,47;-6.157,38;6.057,74;963,7;0;0;-;-;7.021,43;2.317,07;0;4.704,36;0;-
2019;900351736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;900351736;142.104,98;73.481,20;68.623,78;6.707,95;43.747,20;-6.914,96;11.253,67;0;0;0;-;0;11.253,67;4.274,59;0;6.979,08;0;-
2017;900351736;89.853,70;45.345,57;44.508,13;7.663,37;27.069,62;-4.965,72;4.809,41;0;0;0;0;0;4.809,41;1.872,64;0;2.936,78;0;-
2016;900351736;57.826,90;31.834,19;25.992,71;4.128,74;15.841,14;-2.936,22;3.086,61;0;0;0;-;-;3.086,61;1.049,45;0;2.037,16;0;-
2015;900351736;34.617,26;17.221,58;17.395,68;3.495,78;9.733,06;-;4.166,84;271,76;2.472,07;0;2.472,07;-;1.966,53;668,62;-;1.297,91;-;-
2014;900351736;19.432,52;10.274,31;9.158,21;1.787,15;5.081,37;-;2.289,69;403,85;1.297,79;-;-;-;1.395,75;400,11;-;995,64;77,5;0
2013;900351736;11.644,54;7.797,35;3.847,20;663,56;2.125,31;-;1.058,33;38,17;465,36;-;-;-;631,14;157,79;-;473,35;17,52;0
2012;900351736;7.068,77;5.169,31;1.899,46;453,01;1.040,08;-;406,36;197,96;145,46;-;-;-;458,85;151,42;-;307,43;4,81;0
2011;900351736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900351736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900351736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900351736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900351736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900351736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
