ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890117531;9.292,21;6.518,65;2.773,56;557,37;1.730,79;-368,49;116,91;0;0;0;-;-;116,91;65,2;0;51,71;63,39;-
2019;890117531;8.183,94;5.130,38;3.053,56;1.953,43;551,77;-436,75;111,61;0;0;0;0;0;111,61;59,1;0;52,51;133,33;-
2018;890117531;8.333,37;5.051,90;3.281,48;2.304,60;615,59;-252,21;109,08;0;0;0;-;0;109,08;51,31;0;57,77;134,75;-
2017;890117531;8.256,81;5.147,38;3.109,43;2.302,00;590,77;-157,77;58,89;0;0;0;0;0;58,89;37,69;0;21,2;143,3;-
2016;890117531;8.710,74;5.656,59;3.054,16;1.894,06;912,15;2.739,41;2.987,36;0;0;0;-;-;2.987,36;351,24;0;2.636,12;84,48;-
2015;890117531;7.245,04;4.737,57;2.507,47;1.347,77;1.009,51;-;150,18;73,05;818,83;465,63;353,2;-;-595,61;18,99;-;-614,6;-;-
2014;890117531;7.470,73;5.594,20;1.876,53;2.028,52;1.212,62;-;-1.364,60;2.845,45;705,95;-;-;-;774,9;76,2;-;698,71;86,62;204,69
2013;890117531;6.809,55;3.978,36;2.831,19;1.423,95;861,29;-;545,95;25,46;508,79;-;-;-;62,63;30,57;-;32,05;93,08;99,35
2012;890117531;7.567,03;4.867,30;2.699,72;1.452,05;1.377,89;-;-130,21;50,07;446,45;-;-;-;-526,59;15,44;-;-542,03;83,85;134,38
2011;890117531;8.429,00;5.095,05;3.333,94;1.392,36;1.274,10;-;667,49;65,16;410,51;-;-;-;322,13;159,1;-;163,04;70,67;24,55
2010;890117531;7.619,29;5.156,77;2.462,52;1.114,98;821,49;-;526,05;45,59;332,87;-;-;-;238,77;132,81;-;105,96;49,38;18,15
2009;890117531;6.685,48;4.253,21;2.432,27;1.070,04;868,01;-;494,22;48,74;375,66;-;-;-;167,3;111,36;-;55,94;42,54;10,19
2008;890117531;5.610,72;3.517,33;2.093,39;999,51;561,04;-;532,84;52,76;449,14;-;-;-;136,47;97,85;-;38,62;38,83;2,21
2007;890117531;4.344,42;2.986,57;1.357,85;749,34;315,02;-;293,49;65,74;293,1;-;-;-;66,14;22,12;-;44,02;-;-
2006;890117531;4.121,56;2.876,40;1.245,16;633,04;297,91;-;314,21;82,27;277,82;-;-;21,4;118,65;89,32;-;50,74;-;-
