ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;900134273;43.969,10;30.193,50;13.775,60;9.013,53;2.482,37;-8,61;2.271,09;1.928,95;3.200,13;3.200,13;-;-;999,91;398,47;0;601,44;380,1;-
2019;900134273;38.674,39;26.227,25;12.447,14;2.344,87;8.006,08;5,16;2.101,34;785,89;2.324,75;2.324,75;0;0;562,48;276,02;0;286,47;366,33;-
2018;900134273;37.865,14;24.047,44;13.817,70;3.042,57;7.881,68;79,44;2.972,89;867,67;2.827,30;2.827,30;-;0;1.013,26;422,51;0;590,75;204,85;-
2017;900134273;37.520,68;23.559,63;13.961,05;3.584,69;7.403,29;78,34;3.051,41;663,87;2.744,00;2.744,00;0;0;971,27;409,49;0;561,78;209,75;-
2016;900134273;39.497,43;25.304,29;14.193,14;3.578,21;7.599,80;275,61;3.290,75;2.361,80;3.670,60;3.670,60;-;-;1.981,95;584,4;0;1.397,55;145,84;-
2015;900134273;36.431,37;24.192,42;12.238,95;3.311,25;6.192,51;-;2.735,20;3.470,56;4.649,58;340,63;4.308,95;-;1.556,18;471,61;-;1.084,57;-;-
2014;900134273;26.405,69;16.762,25;9.643,43;2.753,29;4.481,76;-;2.408,39;773,63;2.095,57;-;-;-;1.086,44;346,31;-;740,14;115,79;0
2013;900134273;18.790,21;11.506,30;7.283,91;2.217,16;3.991,77;-;1.074,98;482,05;796,16;-;-;-;760,87;238,94;-;521,93;108,86;0
2012;900134273;15.244,90;8.940,67;6.304,23;1.635,26;3.772,91;-;896,06;539,46;745,58;-;-;-;689,94;261,34;-;428,6;100,47;0
2011;900134273;12.676,98;7.439,89;5.237,09;1.378,86;2.960,42;-;897,82;422,63;739,69;-;-;-;580,75;234,4;-;346,35;60,74;0
2010;900134273;10.899,34;6.662,40;4.236,94;1.353,73;2.494,73;-;388,48;617,06;641,83;-;-;-;363,71;199,26;-;164,46;27,31;119,41
2009;900134273;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900134273;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900134273;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900134273;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
