ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890100783;139.345,30;118.757,33;20.587,97;4.030,01;8.588,96;-5.300,69;2.668,31;51.739,86;51.673,42;51.673,42;-;0;2.734,75;1.084,72;0;1.650,03;4.667,66;-
2019;890100783;199.284,01;170.731,12;28.552,89;9.086,23;4.752,48;-3.839,48;10.874,70;1.115,80;1.872,35;1.872,35;0;0;10.118,16;-3.150,99;0;13.269,15;5.012,24;-
2018;890100783;178.207,97;162.684,93;15.523,04;7.534,74;4.544,33;-2.613,39;830,58;153,96;1.360,47;1.360,47;-;0;-375,92;770,78;0;-1.146,70;4.357,74;-
2017;890100783;192.449,07;171.514,80;20.934,27;7.831,00;4.088,85;-3.592,51;5.421,92;70,97;971,09;971,09;0;0;4.521,80;1.836,73;0;2.685,07;4.357,74;-
2016;890100783;202.020,18;170.219,40;31.800,78;3.622,00;6.279,67;-18.293,22;3.605,89;1.063,95;853,16;853,16;0;0;3.816,68;2.796,69;0;1.019,99;4.370,16;-
2015;890100783;189.451,85;163.179,67;24.142,27;23.036,05;5.278,27;-408,83;-2.450,97;41.426,99;34.036,86;34.036,86;-;0;4.939,16;1.610,61;0;3.328,56;3.594,21;-
2014;890100783;143.099,21;121.710,13;21.389,08;6.006,01;16.528,08;-;-1.145,01;19.967,49;16.588,58;-;-;-;2.233,90;898,7;-;1.335,20;2.586,26;44,06
2013;890100783;137.870,99;116.272,02;21.598,97;4.393,91;16.615,98;-;589,08;8.064,37;6.922,51;-;-;-;1.730,95;669,26;-;1.061,68;1.886,74;38,17
2012;890100783;128.125,81;107.988,81;20.136,99;3.755,50;13.368,45;-;3.013,05;7.939,21;9.448,42;-;-;-;1.503,84;718,02;-;785,82;1.429,86;31,92
2011;890100783;126.697,77;107.155,07;19.542,70;3.801,12;13.599,04;-;2.142,55;14.084,18;14.526,75;-;-;-;1.699,97;656,27;-;1.043,70;1.349,95;25,62
2010;890100783;114.748,95;96.243,60;18.505,35;3.144,97;13.166,34;-;2.194,04;10.507,25;11.256,66;-;-;-;1.444,63;442,43;-;1.002,21;1.299,48;24,98
2009;890100783;91.779,89;74.645,94;17.133,95;2.955,80;11.381,29;-;2.796,86;16.218,26;17.721,98;-;-;-;1.293,14;432,54;-;860,6;1.106,78;31,29
2008;890100783;105.876,57;85.706,20;20.170,37;3.210,10;13.770,67;-;3.189,59;25.294,24;26.944,48;-;-;-;1.539,35;432,15;-;1.107,20;891,89;30,04
2007;890100783;132.102,21;111.102,45;20.999,76;3.089,26;12.541,69;-;5.368,80;16.570,61;18.921,23;-;-;-;3.018,18;882,54;-;2.135,64;-;-
2006;890100783;129.917,49;107.860,04;22.057,45;3.356,18;12.997,37;-;5.703,90;11.998,57;13.139,53;-;-;-785,02;4.562,95;1.367,36;-;2.410,57;-;-
