ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860074578;83.523,31;38.972,83;44.550,48;27.773,41;8.859,11;1.445,27;9.363,23;633,81;7.628,39;7.628,39;-;0;2.368,65;439,86;0;1.928,80;1.135,44;-
2019;860074578;78.148,10;35.811,16;42.336,94;8.876,71;30.777,55;1.223,51;3.906,20;511,86;5.761,32;5.761,32;0;0;-1.343,27;-1.210,67;0;-132,59;1.716,72;-
2018;860074578;78.411,11;40.309,77;38.101,34;9.607,67;32.247,20;528,2;-3.225,33;659,46;2.428,76;2.428,76;-;0;-4.994,62;-1.246,01;0;-3.748,61;1.849,24;-
2017;860074578;43.686,60;22.211,68;21.474,92;6.406,15;18.187,01;1.313,79;-1.804,44;0;1.105,68;1.105,68;0;0;-2.910,13;-321,13;0;-2.589,00;1.956,27;-
2016;860074578;47.431,50;22.461,44;24.970,07;18.488,44;7.125,41;1.929,45;1.285,67;0;1.446,24;1.446,24;0;0;-160,57;-81,97;0;-78,6;1.924,40;-
2015;860074578;45.138,16;21.664,94;23.473,22;6.770,57;17.356,47;-;-653,82;3.005,58;2.747,03;158,7;2.588,32;-;-395,27;147,65;-;-542,92;-;-
2014;860074578;43.467,80;19.878,59;23.589,20;5.177,02;17.165,17;-;1.247,01;1.938,96;2.166,16;-;-;-;1.019,81;467,22;-;552,59;1.090,13;329,32
2013;860074578;43.234,18;20.693,65;22.540,52;4.237,91;16.933,52;-;1.369,10;2.432,51;1.783,97;-;-;-;2.017,64;688,78;-;1.328,86;965,41;738,81
2012;860074578;41.219,95;19.192,19;22.027,77;4.067,36;15.413,63;-;2.546,77;2.043,79;2.210,89;-;-;-;2.379,67;675,48;-;1.704,18;951,18;550,56
2011;860074578;39.723,33;19.156,50;20.566,83;4.228,47;14.155,74;-;2.182,62;3.095,11;2.194,08;-;-;-;3.083,65;1.132,88;-;1.950,77;866,11;527,44
2010;860074578;35.714,42;17.286,81;18.427,61;3.340,52;11.742,40;-;3.344,69;1.147,08;1.523,19;-;-;-;2.968,58;877,19;-;2.091,39;766,82;14,88
2009;860074578;32.892,39;16.994,43;15.897,96;3.559,03;9.751,19;-;2.587,74;1.589,42;1.970,89;-;-;-;2.206,27;846,19;-;1.360,08;547,38;9,71
2008;860074578;29.922,14;15.811,10;14.111,04;2.258,47;9.003,54;-;2.849,03;1.295,85;1.853,07;-;-;-;2.291,81;444,14;-;1.847,67;376,66;13,19
2007;860074578;26.672,14;14.341,12;12.331,02;2.972,17;7.097,48;-;2.261,38;899;1.126,06;-;-;-;2.034,32;871,68;-;1.162,64;-;-
2006;860074578;22.945,62;12.271,29;10.674,32;3.217,79;5.669,60;-;1.786,94;576,49;858,56;-;-;67,94;1.504,87;721,13;-;851,67;-;-
