ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800256322;5.377,57;3.902,46;1.475,11;821,68;603,24;40,83;91,02;0;191,12;191,12;-;-;-100,1;14,77;0;-114,87;237,04;-
2019;800256322;6.703,72;4.923,86;1.779,86;717,39;1.166,39;91,37;-12,54;0;116,02;116,02;0;0;-128,57;80,8;0;-209,36;233,56;-
2018;800256322;6.923,45;5.216,65;1.706,79;694,34;1.145,22;161,16;28,4;0;233,01;233,01;-;0;-204,6;-23,27;0;-181,34;198,04;-
2017;800256322;7.621,24;5.364,27;2.256,98;683,16;1.048,24;159,38;684,96;0;364,64;364,64;0;0;320,32;204,41;0;115,91;195,43;-
2016;800256322;7.945,60;5.307,97;2.637,63;882,16;1.084,65;35,02;705,84;0;275,17;275,17;-;-;430,67;215,1;0;215,58;196,1;-
2015;800256322;7.729,35;5.085,89;2.643,46;838,96;1.023,65;-;780,85;224,66;283,24;123,15;160,1;-;722,26;284,02;-;438,24;-;-
2014;800256322;7.113,67;4.589,88;2.523,79;950,77;939,96;-;633,07;98,86;285,32;-;-;-;446,61;190,88;-;255,72;140,27;49,45
2013;800256322;6.620,55;4.461,40;2.159,15;859,29;703,96;-;595,91;146,17;359,38;-;-;-;382,7;150,03;-;232,67;133,84;103,42
2012;800256322;9.275,03;6.856,83;2.418,21;688,9;1.070,66;-;658,65;123,15;515,41;-;-;-;266,38;202,86;-;63,53;123,08;387,06
2011;800256322;5.495,04;3.653,42;1.841,62;603,92;902,99;-;334,71;66,39;275,54;-;-;-;125,56;6,36;-;119,2;123,5;202,15
2010;800256322;5.153,06;3.523,42;1.629,64;628,5;877,15;-;123,99;185,05;196,88;-;-;-;112,17;59,34;-;52,83;144,11;184,28
2009;800256322;4.057,11;2.669,34;1.387,77;697,68;629,08;-;61,01;129,5;243,42;-;-;-;-52,91;29,28;-;-82,19;118,25;122,88
2008;800256322;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;800256322;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;800256322;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
