ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;830123857;5.759,82;3.752,88;2.006,94;0;682,91;-303,7;1.020,34;0;493,79;493,79;526,55;204,3;0;322,25;78,39
2019;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;830123857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
