ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800159903;13.623,89;9.540,72;4.083,17;1.651,76;1.241,88;220,04;1.409,58;0;800,83;800,83;-;-;608,74;334,91;0;273,83;208,68;-
2019;800159903;16.989,37;11.358,23;5.631,14;1.734,55;1.971,30;-53,04;1.872,25;0;1.201,95;1.201,95;0;0;670,29;386,01;0;284,28;196,91;-
2018;800159903;18.065,23;11.523,40;6.541,83;1.721,42;2.071,99;-212,88;2.535,53;0;998,64;998,64;-;0;1.536,89;655;0;881,89;265,06;-
2017;800159903;16.052,21;10.701,45;5.350,76;1.482,45;2.852,27;-218,48;797,56;0;0;0;0;0;797,56;124,74;0;672,82;277,23;-
2016;800159903;16.989,63;11.547,92;5.441,71;1.335,63;3.016,71;-600,81;488,56;0;0;0;-;-;488,56;0;0;488,56;160,64;-
2015;800159903;15.646,09;10.724,20;4.921,88;1.189,55;1.737,79;-;1.994,55;265,76;1.828,59;0;1.828,59;-;431,72;0;-;431,72;-;-
2014;800159903;14.858,40;9.421,29;5.437,11;1.396,41;1.567,22;-;2.473,48;216,83;1.709,75;-;-;-;980,55;0;-;980,55;55,28;87,17
2013;800159903;12.506,22;8.179,04;4.327,18;861,25;1.224,49;-;2.241,44;212,13;1.507,58;-;-;-;945,99;0;-;945,99;10,59;85,89
2012;800159903;10.089,78;6.803,98;3.285,80;873,57;979,9;-;1.432,32;121,93;959,83;-;-;-;594,42;0;-;594,42;14,76;90,07
2011;800159903;8.504,28;5.772,73;2.731,55;633,11;949,1;-;1.149,34;162,02;684,23;-;-;-;627,13;313,23;-;313,91;60,87;67,8
2010;800159903;8.004,78;5.605,77;2.399,01;448,57;826,2;-;1.124,24;155,71;864,91;-;-;-;415,04;303,7;-;111,34;42,69;17,36
2009;800159903;6.892,96;5.029,46;1.863,49;315,82;581,58;-;966,09;67,05;276,05;-;-;-;757,09;268,2;-;488,89;25,23;6,02
2008;800159903;5.695,26;4.051,13;1.644,13;376,6;435,65;-;831,88;34,24;599,27;-;-;-;266,86;217,57;-;49,29;23,77;4,01
2007;800159903;5.923,74;3.909,83;2.013,90;467,9;366,32;-;1.179,68;0,15;924,37;-;-;-;255,46;206,65;-;48,81;-;-
2006;800159903;6.099,99;4.665,46;1.434,53;379,4;400,48;-;654,65;13,26;388,74;-;-;85,68;279,17;168,02;-;196,83;-;-
