ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,900088875,"54,305.27","8,687.40","45,617.87","19,592.22","19,840.77","4,984.15","11,169.03",386.94,329.11,329.11,-,0,"11,226.87","4,303.00",0,"6,923.87","7,144.29",-
2019,900088875,"46,859.59","7,324.76","39,534.83","17,956.57","18,905.16","5,104.00","7,777.10",459.7,310.36,310.36,0,0,"7,926.44","2,909.42",0,"5,017.02","5,226.15",-
2018,900088875,"38,553.68","5,902.91","32,650.77","16,403.77","16,786.50","4,934.05","4,394.55",532.83,174.98,174.98,-,0,"4,752.41","1,461.91",0,"3,290.50","3,147.77",-
2017,900088875,"36,056.59","5,768.40","30,288.19","11,773.29","14,538.82","3,564.49","7,540.57",570.28,190.67,190.67,0,0,"7,920.18","2,891.05",0,"5,029.12","2,531.31",-
2016,900088875,"32,115.19","5,678.18","26,437.01","13,229.84","8,438.68",710.41,"5,478.91",321.8,193.31,193.31,0,0,"5,607.39","2,635.66",0,"2,971.73","3,007.55",-
2015,900088875,"33,831.78","6,033.36","27,798.43","5,450.61","20,923.30",-,"1,424.51","3,382.09","1,547.77",178.91,"1,368.85",-,"3,258.83","-1,010.24",-,"4,269.08",-,-
2014,900088875,"32,112.04","7,026.46","25,085.58","4,443.44","21,907.37",-,"-1,265.23","2,017.41","1,086.04",-,-,-,-333.86,513.51,-,-847.38,345.37,"1,053.67"
2013,900088875,"24,138.24","6,517.24","17,620.99","3,656.21","19,971.38",-,"-6,006.60","1,202.73",840.65,-,-,-,"-5,644.51",0,-,"-5,644.51",131.02,923.69
2012,900088875,"5,945.80","1,819.71","4,126.09","2,237.20","4,582.85",-,"-2,693.96",292.12,72.69,-,-,-,"-2,474.52",0,-,"-2,474.52",100.52,362.57
2011,900088875,"2,240.79","1,003.58","1,237.21","1,585.72","3,797.50",-,"-4,146.01",108.64,71.82,-,-,-,"-4,109.19",5.55,-,"-4,114.74",5.29,339.15
2010,900088875,"3,370.56",942.53,"2,428.03",667.58,"2,220.42",-,-459.97,135.25,140.13,-,-,-,-464.84,2.5,-,-467.34,5.32,93.08
2009,900088875,473.51,0,473.51,346.58,855.78,-,-728.85,148.72,130.24,-,-,-,-710.37,8.5,-,-718.87,5.24,0
2008,900088875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,900088875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,900088875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
