ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,830096897,"26,754.24",0,"26,754.24",0,"25,540.17",-85.05,"1,129.03",335.17,598.83,598.83,-,-,865.36,687.25,0,178.11,"2,578.39",-
2019,830096897,"30,900.53",0,"30,900.53","28,547.09",0,259.14,"2,612.57",395.35,949.38,949.38,0,0,"2,058.55",860.99,0,"1,197.55","2,383.40",-
2018,830096897,"29,892.09",0,"29,892.09","26,402.63",0,"-1,251.18","2,238.28",0,0,0,-,0,"2,238.28","1,524.67",0,713.62,"2,308.36",-
2017,830096897,"29,407.15",0,"29,407.15","24,827.26",0,"-2,058.92","2,520.98",0,0,0,0,0,"2,520.98",0,0,"2,520.98","2,648.82",-
2016,830096897,"26,709.09",0,"26,709.09","23,950.97",0,275.29,"3,033.40",0,"2,286.89","2,286.89",-,-,746.52,-94.83,0,841.35,0,-
2015,830096897,"23,680.99",0,"23,680.99","19,591.94",0,-,"4,089.06",478.1,"2,684.34","2,281.43",402.91,-,"1,882.82",516.77,-,"1,366.05",-,-
2014,830096897,"24,042.81",0,"24,042.81","19,543.04",0,-,"4,499.77",185.47,"3,000.29",-,-,-,"1,684.95",608.62,-,"1,076.33","1,600.39",0
2013,830096897,"24,228.96",0,"24,228.96","19,659.99",0,-,"4,568.97",321.37,"3,341.57",-,-,-,"1,548.77",523.01,-,"1,025.76","2,133.48",0
2012,830096897,"22,759.75",0,"22,759.75","18,921.32",0,-,"3,838.43",307.57,"3,421.26",-,-,-,724.74,411.09,-,313.66,"1,980.37",0
2011,830096897,"20,339.15",0,"20,339.15","15,218.25",0,-,"5,120.91",384.93,"3,890.68",-,-,-,"1,615.16",0,-,"1,615.16","1,138.43",0
2010,830096897,"18,007.75",0,"18,007.75","13,005.99",0,-,"5,001.76",395.79,"3,355.43",-,-,-,"2,042.12",0,-,"2,042.12","1,559.35",0
2009,830096897,"14,812.72",0,"14,812.72","9,716.01",0,-,"5,096.70",34.07,"4,251.60",-,-,-,879.18,21.7,-,857.47,920.89,0
2008,830096897,"12,933.22",0,"12,933.22","8,046.04",0,-,"4,887.18",107.6,"4,053.27",-,-,-,941.52,112.77,-,828.75,974.32,0
2007,830096897,"9,945.43",0,"9,945.43","6,694.01",0,-,"3,251.42",27.17,"3,267.12",-,-,-,11.47,3.61,-,7.86,-,-
2006,830096897,"6,045.91",0,"6,045.91","5,746.36",0,-,299.55,46.86,420.6,-,-,105.04,-74.19,10.8,-,20.05,-,-
