ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;830041054;91.890,32;22.254,92;69.635,40;0;30.330,57;-32.394,93;6.909,90;1.875,20;19,36;19,36;-;0;8.765,74;2.432,71;0;6.333,03;4.877,70;-
2019;830041054;98.351,70;29.417,10;68.934,61;24.776,72;39.195,43;7.057,77;12.020,22;0;0;0;0;0;12.020,22;5.032,36;0;6.987,86;4.656,65;-
2018;830041054;119.658,21;49.425,12;70.233,10;29.492,31;41.647,51;10.877,63;9.970,91;0;0;0;-;0;9.970,91;336,69;0;9.634,22;510,68;-
2017;830041054;121.508,36;55.423,57;66.084,78;15.650,37;39.168,71;11.727,54;22.993,25;0;0;0;0;0;22.993,25;8.303,54;0;14.689,72;778,49;-
2016;830041054;82.006,13;31.609,10;50.397,03;26.246,73;15.184,71;-1.327,65;7.637,94;0;0;0;0;0;7.637,94;14.034,45;0;-6.396,50;540,16;-
2015;830041054;133.992,14;42.627,19;54.405,72;19.641,26;34.064,39;0;37.659,30;834,41;0;0;-;0;38.493,71;12.877,27;0;25.616,45;555,62;-
2014;830041054;76.251,80;40.378,84;35.872,96;11.259,74;17.659,35;-;6.953,87;9.184,89;5.732,86;-;-;-;10.405,90;2.026,63;-;8.379,27;397,73;284,68
2013;830041054;80.024,86;43.571,32;36.453,54;10.122,56;16.183,83;-;10.147,16;7.224,97;5.669,72;-;-;-;11.702,41;3.327,33;-;8.375,08;480,16;397,88
2012;830041054;66.292,81;35.250,51;31.042,30;9.281,48;16.444,77;-;5.316,06;9.809,47;4.149,36;-;-;-;10.976,16;1.672,44;-;9.303,72;475,58;149,01
2011;830041054;57.219,01;28.631,60;28.587,41;8.818,70;14.127,44;-;5.641,27;10.475,18;6.446,69;-;-;-;9.669,76;2.748,81;-;6.920,95;355,98;152,57
2010;830041054;73.256,14;46.398,60;26.857,54;8.344,16;12.255,67;-;6.257,71;8.970,95;3.707,59;-;-;-;11.521,07;3.334,45;-;8.186,62;326,63;174,82
2009;830041054;56.710,47;34.612,26;22.098,21;6.905,85;10.005,29;-;5.187,07;8.584,64;3.672,04;-;-;-;10.099,67;844,75;-;9.254,92;363,37;190,7
2008;830041054;38.399,55;20.095,62;18.303,93;5.675,30;8.390,69;-;4.237,94;3.545,41;2.475,22;-;-;-;5.308,13;1.906,58;-;3.401,55;338,79;142,79
2007;830041054;38.824,10;22.100,22;16.723,89;5.282,07;8.001,46;-;3.440,36;5.405,68;1.934,25;-;-;-;6.911,79;1.724,32;-;5.187,47;-;-
2006;830041054;43.676,10;26.844,24;16.831,86;5.588,34;6.783,83;-;4.459,69;4.767,46;2.521,59;-;-;-21,16;6.705,55;2.397,72;-;4.286,67;-;-
