ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890929497;61.647,45;46.655,64;14.991,80;4.823,09;2.853,31;563,52;7.878,93;1.469,95;2.105,47;2.105,47;-;0;7.243,40;2.431,85;0;4.811,56;120,1;-
2019;890929497;60.167,89;43.803,54;16.364,35;2.646,94;6.463,61;-166,6;7.087,21;791,95;1.152,18;1.152,18;0;0;6.726,98;2.350,83;0;4.376,14;119,14;-
2018;890929497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;890929497;52.197,76;38.287,60;13.910,15;3.196,11;7.112,62;1.221,36;4.822,78;416,34;616,24;616,24;0;0;4.622,88;2.044,70;0;2.578,18;61,15;-
2016;890929497;58.289,81;43.185,32;15.104,49;1.955,64;7.073,84;1.492,12;7.567,12;6.267,65;6.618,55;6.618,55;0;-;7.216,22;2.632,30;0;4.583,92;74,64;-
2015;890929497;41.479,83;29.490,40;11.989,43;1.616,22;5.964,10;-;4.409,11;5.181,46;6.497,88;42,53;6.455,36;-;3.092,69;1.500,35;-;1.592,34;-;-
2014;890929497;37.888,99;26.659,47;11.229,52;1.728,07;4.927,21;-;4.574,24;2.089,21;3.770,03;-;-;-;2.893,42;1.158,00;-;1.735,42;131,58;776,4
2013;890929497;37.764,34;27.889,64;9.874,71;1.855,61;4.648,47;-;3.370,63;883,09;1.339,93;-;-;-;2.913,79;1.182,32;-;1.731,47;145,29;10,38
2012;890929497;29.899,72;20.756,05;9.143,67;1.871,86;4.652,61;-;2.619,20;983,39;831,14;-;-;-;2.771,46;999,08;-;1.772,38;146,99;3,38
2011;890929497;31.475,87;22.074,36;9.401,51;1.961,81;4.632,14;-;2.807,56;926,89;1.035,78;-;-;-;2.698,66;1.009,20;-;1.689,46;129,88;12,16
2010;890929497;26.346,89;18.316,43;8.030,46;1.837,25;3.849,91;-;2.343,30;729,28;479,86;-;-;-;2.592,72;1.033,29;-;1.559,44;87,18;13,68
2009;890929497;27.940,71;19.224,11;8.716,60;1.743,92;4.202,43;-;2.770,26;1.302,56;1.223,72;-;-;-;2.849,10;1.000,64;-;1.848,46;80,83;13,37
2008;890929497;28.985,76;20.388,71;8.597,06;1.526,72;3.984,51;-;3.085,83;1.328,59;1.344,05;-;-;-;3.070,37;1.169,50;-;1.900,87;72,54;4,36
2007;890929497;24.903,86;17.950,17;6.953,68;1.269,06;3.423,63;-;2.260,99;1.518,45;1.304,48;-;-;-;2.474,96;955,19;-;1.519,77;-;-
2006;890929497;17.967,46;12.534,51;5.432,95;1.121,23;2.917,35;-;1.394,37;863,55;679,12;-;-;-29,97;1.578,79;649,04;-;899,78;-;-
