ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890312630;101.731,84;77.858,30;23.873,53;7.337,75;5.050,56;1.512,56;12.997,78;4.998,86;6.839,21;6.839,21;-;0;11.157,44;3.422,82;0;7.734,62;757,66;-
2019;890312630;90.457,12;70.191,64;20.265,48;5.112,68;6.494,40;7.208,14;15.866,55;3.467,00;3.634,57;3.634,57;0;0;15.698,98;4.011,51;0;11.687,47;654,24;-
2018;890312630;79.342,10;62.695,80;16.646,30;4.458,00;6.013,35;814,55;6.989,50;2.570,56;3.292,24;3.292,24;-;0;6.267,82;2.596,17;0;3.671,64;705,36;-
2017;890312630;69.368,73;55.811,08;13.557,65;4.352,62;5.183,88;2.108,73;6.129,88;0;1.945,58;1.945,58;0;0;4.184,31;2.087,56;0;2.096,75;866,37;-
2016;890312630;59.536,84;47.337,89;12.198,95;4.192,87;3.899,56;495,6;4.602,13;4.063,82;4.547,21;4.547,21;0;0;4.118,73;1.407,31;0;2.711,42;679,31;-
2015;890312630;49.858,21;37.700,82;11.371,01;5.220,97;4.134,24;0;2.802,18;4.730,05;5.202,45;5.202,45;-;0;2.329,78;1.382,85;0;946,93;417,26;-
2014;890312630;47.871,76;36.557,94;11.313,82;3.432,57;3.701,91;-;4.179,33;2.849,66;4.731,44;-;-;-;2.297,56;825,46;-;1.472,10;573,82;44,23
2013;890312630;44.418,44;34.384,22;10.034,22;2.962,49;3.480,99;-;3.590,75;1.248,51;1.429,57;-;-;-;3.409,68;1.204,56;-;2.205,13;515,05;9,09
2012;890312630;38.515,97;29.819,64;8.696,33;2.437,79;3.059,75;-;3.198,79;1.509,74;2.425,09;-;-;-;2.283,44;938,64;-;1.344,80;525,18;172,77
2011;890312630;32.444,40;27.574,89;4.869,51;2.136,64;2.637,02;-;95,85;1.421,37;1.342,06;-;-;-;175,17;114,74;-;60,43;325,88;2.744,00
2010;890312630;28.577,50;23.313,52;5.263,98;2.158,82;2.384,44;-;720,72;1.176,30;1.085,40;-;-;-;811,62;271,49;-;540,13;221,52;0
2009;890312630;27.617,61;22.758,46;4.859,15;1.882,08;2.034,52;-;942,56;2.525,06;2.041,79;-;-;-;1.425,83;465,64;-;960,19;148,59;0
2008;890312630;20.776,27;16.281,99;4.494,28;1.663,03;2.288,78;-;542,47;2.517,06;1.692,79;-;-;-;1.366,74;367,51;-;999,23;116,14;0
2007;890312630;19.854,00;15.447,47;4.406,53;1.565,66;2.066,57;-;774,31;1.762,98;914,47;-;-;-;1.622,81;437,09;-;1.185,73;-;-
2006;890312630;20.873,59;15.941,26;4.932,33;1.488,90;2.328,89;-;1.114,55;1.057,50;800,1;-;-;-214,81;1.371,94;443,78;-;713,34;-;-
