ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860531287;325.977,78;263.115,82;62.861,96;31.433,35;17.625,23;767,13;14.570,52;4.658,20;11.395,61;11.395,61;-;0;7.833,11;3.931,74;0;3.901,37;5.698,09;-
2019;860531287;314.871,62;253.628,72;61.242,90;14.070,13;32.936,61;550,35;14.786,51;2.749,78;7.422,04;7.422,04;0;-681,04;9.433,21;4.660,86;0;4.772,35;5.724,91;-
2018;860531287;262.362,69;209.466,35;52.896,35;8.989,40;31.633,93;566,65;12.839,67;1.641,59;8.648,24;8.648,24;-;-2.518,77;3.314,25;1.893,68;0;1.420,57;1.948,52;-
2017;860531287;241.879,01;194.773,21;47.105,80;10.047,00;29.030,67;235,68;8.263,82;1.792,29;8.430,07;8.430,07;0;-3,34;1.622,71;1.259,45;0;363,25;1.421,71;-
2016;860531287;252.142,60;204.015,81;48.126,79;7.668,53;29.633,74;1.438,64;12.263,16;1.589,27;8.307,88;8.307,88;0;0;5.544,56;5.410,35;0;134,21;990,17;-
2015;860531287;246.257,47;194.394,97;49.192,64;27.437,44;6.523,50;0;17.901,56;3.400,92;9.563,51;9.563,51;-;0;11.738,97;4.737,80;0;7.001,17;583,64;-
2014;860531287;209.924,00;170.732,40;39.191,60;5.490,15;27.040,40;-;6.661,05;322,31;8.298,98;-;-;-;-1.315,62;361,57;-;-1.677,19;180,24;318,81
2013;860531287;190.760,04;155.072,13;35.687,91;3.922,78;23.326,22;-;8.438,91;215,64;7.092,66;-;-;-;1.561,89;762,9;-;798,99;546,02;168,44
2012;860531287;174.688,77;143.632,32;31.056,45;3.858,13;22.071,43;-;5.126,89;5.412,60;7.155,73;-;-;-;3.383,76;1.182,90;-;2.200,86;814,67;229,79
2011;860531287;166.140,18;137.297,55;28.842,63;3.506,75;19.937,69;-;5.398,19;3.787,41;5.941,71;-;-;-;3.243,89;1.484,73;-;1.759,17;466,44;523,71
2010;860531287;134.502,97;109.876,35;24.626,62;3.254,88;16.950,89;-;4.420,84;3.785,65;5.354,15;-;-;-;2.852,34;1.191,53;-;1.660,81;632,22;313,21
2009;860531287;126.933,93;103.566,19;23.367,74;4.531,15;15.624,62;-;3.211,97;6.573,87;7.809,23;-;-;-;1.976,61;438,62;-;1.538,00;581,3;539,14
2008;860531287;142.021,73;116.352,87;25.668,86;3.504,45;15.890,11;-;6.274,29;4.217,86;7.786,86;-;-;-;2.705,30;850,68;-;1.854,62;469,35;223,21
2007;860531287;111.712,36;93.020,28;18.692,08;2.329,97;12.627,78;-;3.734,34;4.104,66;4.642,11;-;-;-;3.196,88;1.297,74;-;1.899,14;-;-
2006;860531287;86.685,53;70.545,31;16.140,22;1.749,43;11.779,94;-;2.610,85;2.819,96;3.532,07;-;-;578,32;1.898,74;922,95;-;1.554,10;-;-
