ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860023385;46.661,00;36.210,39;10.450,61;6.250,45;4.164,79;121,38;156,76;7.409,32;8.703,09;8.703,09;-;-;-1.137,01;-86,89;0;-1.050,12;873,18;-
2019;860023385;36.886,00;23.945,26;12.940,74;2.467,23;5.413,93;266,83;5.326,42;4.180,92;5.021,35;5.021,35;0;0;4.485,99;1.712,66;0;2.773,33;436,71;-
2018;860023385;27.952,45;21.974,54;5.977,91;2.121,66;4.445,30;2.119,83;1.530,78;1.865,32;2.687,76;2.687,76;-;0;708,35;639,8;0;68,55;88,69;-
2017;860023385;27.337,48;21.039,41;6.298,07;2.041,79;6.160,25;2.011,47;107,49;1.523,50;2.257,79;2.257,79;0;0;-626,8;393,52;0;-1.020,32;198,88;-
2016;860023385;22.504,22;16.197,08;6.307,15;1.932,01;4.457,18;592,04;510,01;5.442,17;5.591,29;5.591,29;-;-;360,89;533,4;0;-172,51;142,58;-
2015;860023385;22.755,03;16.400,89;6.354,14;1.441,38;3.613,42;-;1.299,34;3.827,03;6.342,09;17,7;6.324,39;-;-1.215,72;74,98;-;-1.290,70;-;-
2014;860023385;19.814,51;15.114,29;4.700,22;1.405,45;3.371,06;-;-76,3;2.844,42;2.312,77;-;-;-;455,36;644,17;-;-188,81;45,85;0
2013;860023385;15.238,53;12.079,29;3.159,24;957,96;3.226,81;-;-1.025,53;2.184,58;946,16;-;-;-;212,89;173,64;-;39,25;0;0
2012;860023385;16.219,87;13.338,21;2.881,66;1.049,21;2.620,18;-;-787,72;2.154,47;1.467,18;-;-;-;-100,43;-113,49;-;13,06;70,63;0
2011;860023385;19.760,36;15.813,02;3.947,34;1.221,48;2.586,43;-;139,43;4.478,78;2.715,37;-;-;-;1.902,83;974,02;-;928,81;69,3;0
2010;860023385;14.739,94;10.849,45;3.890,49;1.761,72;2.394,57;-;-265,8;3.435,29;2.898,30;-;-;-;271,19;250;-;21,19;94,02;0
2009;860023385;9.159,02;6.191,40;2.967,61;1.371,12;2.041,73;-;-445,23;2.914,59;2.258,57;-;-;-;210,8;90;-;120,8;96,37;0
2008;860023385;8.046,13;5.206,02;2.840,11;1.183,70;1.897,37;-;-240,97;2.521,11;1.957,56;-;-;-;322,58;188,51;-;134,08;83,1;0
2007;860023385;7.823,25;4.090,60;3.732,65;1.047,59;1.870,78;-;814,27;1.310,32;1.325,14;-;-;-;799,46;391,04;-;408,41;-;-
2006;860023385;4.037,20;2.467,04;1.570,17;739,86;1.446,29;-;-615,99;1.957,22;702,5;-;-;-14,84;638,73;327,61;-;296,29;-;-
