ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860004137;125.274,94;61.373,72;63.901,23;0;10.014,98;-43.927,54;9.958,71;794,67;3.262,91;3.262,91;-;0;7.490,47;6.140,60;0;1.349,87;1.270,50;-
2019;860004137;95.753,30;55.724,64;40.028,66;9.133,19;0;-12.185,99;18.709,48;961,01;1.351,56;1.351,56;0;0;18.318,93;8.039,90;0;10.279,02;1.345,16;-
2018;860004137;83.079,63;50.324,45;32.755,17;7.459,10;0;-10.484,88;14.811,20;487,89;0;0;-;0;15.299,09;6.448,12;0;8.850,98;692,26;-
2017;860004137;62.322,26;36.132,81;26.189,46;10.724,69;0;-9.265,89;6.198,88;0;788,02;788,02;0;0;5.410,85;3.053,57;0;2.357,28;1.251,95;-
2016;860004137;62.325,24;36.076,98;26.248,27;9.850,69;10.592,76;2.749,29;8.554,10;0;2.228,49;2.228,49;0;0;6.325,62;1.099,44;0;5.226,18;6;-
2015;860004137;78.653,56;44.272,45;31.811,10;13.402,77;11.828,48;0;9.149,85;7.384,77;8.134,98;8.134,98;-;0;8.399,64;4.154,29;0;4.245,36;754,36;-
2014;860004137;60.859,39;36.628,20;24.231,18;7.060,63;10.153,23;-;7.017,32;8.429,95;3.685,70;-;-;-;11.761,57;5.014,87;-;6.746,70;929,85;7,27
2013;860004137;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;860004137;46.668,40;31.008,83;15.659,57;5.657,02;7.692,05;-;2.310,50;5.320,99;4.136,08;-;-;-;3.495,40;2.418,05;-;1.077,35;718,56;0
2011;860004137;60.860,41;42.112,54;18.747,87;5.599,15;8.354,22;-;4.794,51;5.470,97;3.607,35;-;-;-;6.658,13;2.757,34;-;3.900,79;710,17;1,89
2010;860004137;45.808,16;27.742,54;18.065,62;5.213,06;6.793,37;-;6.059,20;5.115,00;2.106,87;-;-;-;9.067,33;3.417,37;-;5.649,96;631,83;14,36
2009;860004137;53.876,22;33.921,95;19.954,27;4.251,27;4.269,10;-;11.433,90;4.155,19;3.495,68;-;-;-;12.093,41;4.060,78;-;8.032,62;590,01;136,39
2008;860004137;28.596,06;17.868,26;10.727,80;3.106,58;5.407,13;-;2.214,10;4.356,24;1.795,22;-;-;-;4.775,11;1.605,79;-;3.169,32;479,21;128,73
2007;860004137;20.003,59;12.225,54;7.778,05;2.613,79;3.605,55;-;1.558,71;2.748,20;1.135,20;-;-;-;3.171,71;1.100,68;-;2.071,03;-;-
2006;860004137;16.462,61;8.960,55;7.502,06;2.518,68;3.041,35;-;1.942,03;3.071,39;1.663,37;-;-;-85,6;3.350,06;1.321,20;-;1.943,26;-;-
