ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;830036006;34.783,03;23.053,35;11.729,68;6.367,03;1.324,17;16,15;4.054,64;2.009,95;1.447,21;1.447,21;-;0;4.617,37;1.095,37;0;3.522,00;212,65;-
2019;830036006;48.335,00;34.581,47;13.753,53;2.454,19;7.405,10;0,39;3.894,63;1.319,02;1.749,96;1.749,96;0;0;3.463,69;1.325,13;0;2.138,56;200,24;-
2018;830036006;39.205,97;29.488,56;9.717,41;2.062,21;7.374,40;267,03;547,83;1.871,07;1.697,53;1.697,53;-;0;721,38;-71,96;0;793,33;189,37;-
2017;830036006;49.195,45;37.917,70;11.277,75;2.499,27;6.447,98;-35,26;2.295,23;672,63;659,75;659,75;0;0;2.308,12;1.928,14;0;379,98;205,18;-
2016;830036006;32.657,66;21.896,89;10.760,77;5.481,87;1.929,48;-16,18;3.333,24;613,57;884,34;884,34;0;0;3.062,47;1.275,75;0;1.786,72;165,99;-
2015;830036006;40.050,53;28.559,74;11.490,79;1.907,51;4.388,52;-;5.194,76;1.792,76;1.754,36;0,85;1.753,51;-;5.233,16;1.874,00;-;3.359,16;-;-
2014;830036006;24.984,61;17.667,22;7.317,39;2.137,10;3.414,08;-;1.766,22;1.065,16;1.018,58;-;-;-;1.812,79;571,91;-;1.240,88;131,09;10,61
2013;830036006;14.204,76;9.367,05;4.837,71;1.412,65;2.877,31;-;547,76;368,24;216,78;-;-;-;699,22;502,56;-;196,65;136,17;22,48
2012;830036006;16.950,05;11.861,97;5.088,08;1.301,50;3.550,16;-;236,42;465,06;360,44;-;-;-;341,04;338;-;3,04;145,07;27,42
2011;830036006;12.233,88;8.495,49;3.738,40;1.259,09;2.792,48;-;-313,18;314,33;253,43;-;-;-;-252,29;82,53;-;-334,82;149,47;18,72
2010;830036006;16.547,27;11.581,33;4.965,94;1.126,91;2.547,21;-;1.291,82;435,33;337,3;-;-;-;1.389,85;534,2;-;855,65;96,49;68,82
2009;830036006;10.323,83;5.855,28;4.468,55;972,21;2.794,84;-;701,5;551,43;589,91;-;-;-;663,03;306,98;-;356,05;76,98;32,06
2008;830036006;11.966,87;7.559,51;4.407,36;886,58;1.975,65;-;1.545,13;751,72;800,69;-;-;-;1.496,16;320,06;-;1.176,10;65,02;16,1
2007;830036006;16.911,36;11.247,20;5.664,16;945,17;1.811,82;-;2.907,16;542,35;318,47;-;-;-;3.131,04;1.306,72;-;1.824,32;-;-
2006;830036006;6.576,62;4.364,66;2.211,97;796,23;1.245,11;-;170,63;1.009,77;76,5;-;-;-57,37;1.103,89;369,05;-;677,47;-;-
