BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;860066749;46,66;544,81;0;-;591,47;0;1.675,26;-;-;19,8;1.655,46;0;0;738,14;-;0;0;738,14;-;-;-;-;-;0;0;-;-;-;-;2.985,07;0;0;0;0;4.834,72;0;357,15;357,15;6,62;0;988,47;0;0;988,47;-;-;-;6.186,96;9.172,02;556,23;408,02;0;-;-;-;-;-;0;-;-;0;162,62;374,93;0;-;-;0;0;-;1.501,80;0;0;0;0;0;-;16,85;0;-;16,85;1.518,65;300;0;0;-;300;0;353,6;0;-;-;6.999,77;-;0;7.653,38;9.172,02
2019;860066749;-;676,78;-;-;676,78;0;2.501,07;-;-;-;2.501,07;-;0;585,52;-;0;0;585,52;-;-;-;-;-;0;0;-;-;-;-;3.763,37;0;0;0;0;4.781,43;0;357,15;357,15;15,92;0;0;1.139,13;0;1.139,13;-;-;-;6.293,63;10.057,00;1.062,73;303,41;-;-;-;-;-;380,69;0;-;0;380,69;298,44;-;-;-;-;-;-;-;2.045,27;0;0;0;0;-;-;14,99;0;-;14,99;2.060,25;300;0;0;-;300;0;353,6;0;-;-;7.343,14;-;0;7.996,74;10.057,00
2018;860066749;-;812,5;-;-;812,5;0;3.457,74;-;-;-;3.457,74;-;0;404,24;-;0;0;404,24;-;-;-;-;-;0;0;-;-;-;-;4.674,48;2,49;0;0;0;4.754,18;357,15;0;357,15;14,16;0;0;0;0;0;-;-;-;5.127,98;9.802,46;0;267,68;-;-;-;-;-;454,02;0;-;860,01;1.314,04;261,77;-;-;-;-;-;-;-;1.843,48;0;0;0;0;-;-;15,44;0;-;15,44;1.858,93;300;0;0;-;300;0;353,6;0;-;-;7.289,93;-;0;7.943,53;9.802,46
2017;860066749;40,26;428,98;-;-;469,24;3,8;1.750,47;-;-;-;1.750,47;0;0;393,64;-;0;0;393,64;-;-;-;-;-;0;0;-;-;-;-;2.617,14;0;0;0;0;6.010,57;0;357,15;357,15;1,96;0;0;12,5;0;12,5;-;-;-;6.382,17;8.999,31;0;722,05;0;-;-;-;-;380,2;0;-;0;380,2;192,13;-;-;-;-;-;-;-;1.294,39;0;0;-;65,81;0;0;0;0;-;65,81;1.360,20;300;0;0;-;300;0;353,6;0;-;-;6.985,51;-;0;7.639,12;8.999,31
2016;860066749;-;568,12;-;-;568,12;0;2.853,53;-;-;-;2.853,53;-;0;0;-;0;0;0;-;-;-;-;-;0;0;-;-;-;-;3.421,65;16,33;0;0;0;6.112,60;0;357,15;357,15;68,7;0;0;0;0;0;-;-;-;6.554,78;9.976,43;0;2.323,49;-;-;-;-;-;0;0;-;0;0;0;-;-;-;-;-;-;-;2.323,49;0;0;0;0;-;-;0;0;-;0;2.323,49;300;0;0;-;300;0;319,29;0;-;-;7.033,65;-;0;7.652,94;9.976,43
2015;860066749;54,24;344,2;104,85;0;503,29;84,51;1.451,80;0;0;0;1.451,80;0;10,31;445,34;13,24;-;824,99;1.293,88;0;0;0;0;0;0;0;6,34;0;0;6,34;3.339,82;0;-;-;0;2.060,71;-;-;312,17;0;-;-;-;-;0;0;3.352,35;3.352,35;5.725,23;9.065,05;0;0;74,1;48,68;0;0,35;0;31,01;-;1.139,29;0;1.293,42;174,17;338,15;88,28;0;706,77;0;706,77;0;2.600,79;0;0;0;0;0;0;0;0;0;0;2.600,79;0;-;-;300;300;0;304,37;739,99;0;149,2;1.618,35;3.352,35;-;6.464,26;9.065,05
2014;860066749;24,96;159,67;85,84;0;270,47;25,13;1.481,96;0;0;72,94;1.409,02;0;14,86;244,92;27,49;-;547,14;834,42;0;0;0;0;0;0;0;4,99;2,07;0;7,06;2.546,09;0;-;-;0;2.280,15;-;-;0;0;-;-;-;-;0;0;3.352,35;3.352,35;5.632,49;8.178,59;92,04;0;18,35;48,88;0;0,26;0;0,5;-;618,19;0;686,19;133,44;277,89;58,81;0;605,39;0;605,39;0;1.853,75;0;0;0;0;0;0;0;0;0;0;1.853,75;0;-;-;300;300;0;304,37;739,99;0;-226,78;1.845,13;3.362,13;-;6.324,84;8.178,59
2013;860066749;82,58;177,12;39,09;0;298,78;23,04;1.754,07;0;303,83;72,94;1.984,96;0;25,92;524,9;53,21;-;476,58;1.080,61;0;0;0;0;0;0;0;12,86;41,06;0;53,93;3.441,32;0;-;-;0;2.429,48;-;-;0;0;-;-;-;-;0;0;1.283,20;1.283,20;3.712,68;7.154,00;226,56;0;22,03;44,01;0;0,24;0;33,05;-;1.461,47;50,11;1.610,91;139,49;273,03;57,23;0;374,09;0;374,09;0;2.681,31;0;0;0;0;0;0;0;0;0;0;2.681,31;0;-;-;300;300;0;304,37;739,99;0;-26,94;1.872,07;1.283,20;-;4.472,69;7.154,00
2012;860066749;50,54;190,99;93,92;0;335,45;145,79;1.801,26;0;243,92;72,94;1.972,24;0;16,62;459,08;49,2;-;384,18;909,08;0;0;0;0;0;0;0;12,01;77,71;0;89,72;3.452,27;0;-;-;0;2.582,17;-;-;0;0;-;-;-;-;0;0;1.283,20;1.283,20;3.865,37;7.317,65;345;0,86;35,29;35,71;0;1,68;0;46,98;-;1.438,39;50,11;1.608,16;146,55;286;0;0;426,92;0;426,92;0;2.813,48;0;0;0;0;0;0;0;0;0;0;2.813,48;0;-;-;300;300;0;291,54;739,99;0;132,84;1.756,59;1.283,20;-;4.504,16;7.317,65
2011;860066749;22,3;254,99;81,2;0;358,49;18,83;1.789,43;0;243,92;24,76;2.008,59;10;15,41;446,2;34,55;-;964,53;1.470,69;0;0;0;0;0;0;0;9,59;111,54;0;121,13;3.977,74;0;-;-;0;2.716,02;-;-;0;0;-;-;-;-;0;0;1.283,20;1.283,20;3.999,22;7.976,95;698,76;0,86;74,89;40,64;5,62;0,61;0;45,66;-;1.320,74;0;1.488,16;188,56;277,23;0;11,88;941,26;0;941,26;0;3.606,71;0;0;0;0;0;0;0;0;0;0;3.606,71;0;-;-;300;300;0;291,54;739,99;0;-56,52;1.812,04;1.283,20;-;4.370,25;7.976,95
