BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;800251957;0;16.699,38;0;-;16.699,38;0;14.293,00;-;-;0;14.293,00;0;0;1.372,88;-;0;0;1.372,88;-;-;-;-;-;0;0;-;-;-;-;32.365,25;0;0;0;0;749,18;0;13,98;13,98;64,28;0;0;2.984,59;0;2.984,59;-;-;-;3.812,03;36.177,28;1.540,53;23.138,97;0;-;-;-;-;-;0;-;-;0;800,2;1.589,15;0;-;-;0;0;-;27.068,85;325,47;0;0;0;0;-;260,4;0;-;585,87;27.654,72;1.137,66;0;0;-;1.137,66;0;1.135,13;0;-;-;6.249,77;-;0;8.522,56;36.177,28
2019;800251957;-;1.319,31;-;-;1.319,31;924,53;15.555,56;-;-;-;15.555,56;-;0;1.055,67;-;0;0;1.055,67;-;-;-;-;-;0;0;-;-;-;-;18.855,06;2.999,92;0;3,31;3,31;833,02;0;0;0;179,74;0;0;0;0;0;-;-;-;4.015,98;22.871,04;2.341,04;9.042,68;-;-;-;-;-;1.499,25;0;-;0;1.499,25;844,75;-;-;-;-;-;-;-;13.727,71;891,67;0;0;0;-;-;256,77;0;-;1.148,44;14.876,16;1.137,66;0;0;-;1.137,66;0;817,97;0;-;-;6.039,26;-;0;7.994,89;22.871,04
2018;800251957;-;186,57;-;-;186,57;384,53;14.540,47;-;-;-;14.540,47;-;0;1.226,38;-;0;0;1.226,38;-;-;-;-;-;0;0;-;-;-;-;16.337,95;2.971,94;0;1,22;1,22;768,41;0;32,79;32,79;73,53;0;0;0;0;0;-;-;-;3.847,88;20.185,83;3.058,13;6.963,51;-;-;-;-;-;1.290,83;0;-;0;1.290,83;776,76;-;-;-;-;-;-;-;12.089,23;1.487,87;0;0;0;-;-;238,25;0;-;1.726,13;13.815,36;1.137,66;0;0;-;1.137,66;0;683,29;0;-;-;4.549,52;-;0;6.370,47;20.185,83
2017;800251957;2,59;105,23;-;-;107,81;0;9.400,49;-;-;-;9.400,49;0;361,84;1.249,45;-;0;0;1.611,28;-;-;-;-;-;0;0;-;-;-;-;11.119,58;0;0;5,77;5,77;653,21;0;0;0;81,02;0;0;2.971,94;0;2.971,94;-;-;-;3.711,95;14.831,53;2.052,63;4.413,28;0;-;-;-;-;1.236,44;0;-;0;1.236,44;612,21;-;-;-;-;-;-;-;8.314,56;405,3;0;-;0;0;0;239,02;0;-;644,32;8.958,88;501;0;0;-;501;0;571,04;0;-;-;4.800,61;-;0;5.872,65;14.831,53
2016;800251957;-;189,05;-;-;189,05;171,05;8.391,11;-;-;-;8.391,11;-;0;1.359,19;-;0;0;1.359,19;-;-;-;-;-;0;0;-;-;-;-;10.110,39;2.967,62;0;18,93;18,93;649,94;0;0;0;0;0;82,23;0;0;82,23;-;-;-;3.718,72;13.829,12;1.001,47;4.858,91;-;-;-;-;-;1.045,99;0;-;0;1.045,99;531,44;-;-;-;-;-;-;-;7.437,81;684,37;0;0;284,57;-;-;0;0;-;968,94;8.406,75;501;0;0;-;501;0;503,46;0;-;-;4.417,91;-;0;5.422,37;13.829,12
2015;800251957;0,03;848,39;1,24;7,83;857,49;0;2.217,59;0;0;0;2.217,59;0;38,05;1.638,10;40,59;-;8.570,70;10.287,44;0;0;0;0;0;0;0;0;0;0;0;13.362,52;733,64;-;-;0;534,63;-;-;55,92;199,74;-;-;-;-;0;2.353,32;0;2.353,32;3.877,24;17.239,77;1.764,26;0;517,39;0;51,37;0;0;138,13;-;1.723,78;4.329,87;6.760,54;423,93;911,06;258,68;0;1.312,30;0;1.312,30;0;11.430,76;366,32;0;0;0;0;0;0;0;0;366,32;11.797,08;501;-;-;0;501;0;490,37;402,08;0;87,27;1.608,66;2.353,32;-;5.442,69;17.239,77
2014;800251957;0;5.996,26;1,24;0,36;5.997,85;0;1.866,54;0;0;0;1.866,54;0;80,12;1.424,62;77,95;-;6.789,14;8.371,82;0;0;0;0;0;0;0;0;0;0;0;16.236,22;732,41;-;-;0;585,68;-;-;116,08;283,1;-;-;-;-;0;2.224,94;0;2.224,94;3.942,21;20.178,43;1.375,82;0;670,86;0;51,37;0;0;119,14;-;8.126,07;2.495,58;11.463,03;338,16;900,4;186,93;0;617,54;0;617,54;0;14.881,87;65,45;0;0;0;0;0;0;0;0;65,45;14.947,32;501;-;-;0;501;0;468,77;406,14;0;144,01;1.486,25;2.224,94;-;5.231,11;20.178,43
2013;800251957;2,09;408,79;1,24;0,49;412,6;0;5.573,27;0;0;0;5.573,27;24,82;100,3;1.506,11;78,69;-;1.741,60;3.451,52;0;0;0;0;0;0;0;0;0;0;0;9.437,39;733,64;-;-;0;670,73;-;-;176,25;230,08;-;-;-;-;0;1.598,97;268,64;1.867,60;3.678,30;13.115,69;1.231,37;0;701,87;0;0;0;0;117,76;-;1.075,26;3.010,88;4.905,76;382,45;831,08;320,94;0;479,26;0;479,26;0;8.150,86;127,51;0;0;0;0;0;0;0;0;127,51;8.278,38;501;-;-;0;501;0;432,37;413,7;0;242,68;1.379,97;1.867,60;-;4.837,32;13.115,69
2012;800251957;83,59;341,27;1,3;0,47;426,63;0;4.532,15;0;0;0;4.532,15;42,07;51,34;1.323,82;72,92;-;2.742,10;4.232,25;0;0;0;0;0;0;0;0;0;0;0;9.191,04;727,64;-;-;0;639,79;-;-;91,72;233,04;-;-;-;-;0;1.493,20;268,64;1.761,83;3.454,02;12.645,06;1.099,57;0;3.657,56;0;33,47;0;0;145,44;-;1.172,27;0;5.008,73;294,85;690,11;428,46;0;447,87;0;447,87;0;7.969,57;79,06;0;0;0;0;0;0;0;0;79,06;8.048,64;501;-;-;0;501;0;371,43;421,25;0;406,24;1.134,67;1.761,83;-;4.596,42;12.645,06
2011;800251957;5,87;188,79;1,61;2,95;199,22;0;3.879,69;0;0;0;3.879,69;122,98;35,17;1.079,98;45,24;-;1.984,05;3.267,43;0;0;0;0;0;0;0;0;0;0;0;7.346,33;727,64;-;-;0;672,62;-;-;0;201,02;-;-;-;-;0;1.378,65;268,64;1.647,28;3.248,56;10.594,89;671,36;0;349,37;0;0;0;0;116,73;-;885,39;2.484,88;3.836,37;261,82;527,53;370,99;0;463,64;0;463,64;0;6.131,70;0;0;0;0;0;0;0;0;0;0;6.131,70;501;-;-;0;501;0;316,32;428,81;0;367,43;1.202,35;1.647,28;-;4.463,19;10.594,89
