ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;educacion;800216673.00;15948.99;0.00;15948.99;0.00;13178.06;1902.97;4673.90;107.35;241.58;241.58;0.00;0.00;4539.68;358.50;0.00;4181.18;942.45;0.00
2019.00;educacion;800216673.00;16928.48;0.00;16928.48;16925.37;0.00;1942.51;1945.62;87.87;325.06;325.06;0.00;0.00;1708.44;631.75;25.04;1101.73;1094.60;0.00
2018.00;educacion;800216673.00;22441.63;483.42;21958.21;19534.73;0.00;0.00;2423.48;2409.74;1789.42;1789.42;0.00;0.00;3043.79;2304.01;0.00;739.78;1230.10;0.00
2017.00;educacion;800216673.00;19108.73;200.00;18908.73;16854.98;0.00;0.00;2053.76;1761.09;1574.62;1574.62;0.00;0.00;2240.23;1525.75;0.00;714.48;1025.14;0.00
2016.00;educacion;800216673.00;20142.32;103.11;20039.21;17368.70;0.00;3517.70;6188.21;0.00;1560.68;1560.68;0.00;0.00;4627.54;1606.21;0.00;3021.33;1106.49;0.00
2015.00;educacion;800216673.00;19497.42;0.00;19497.42;17579.31;0.00;0.00;1918.11;545.80;834.72;196.76;637.96;0.00;1629.19;948.90;0.00;680.29;0.00;0.00
2014.00;educacion;800216673.00;18398.02;149.37;18248.65;13972.90;0.00;0.00;4275.75;6078.48;4425.68;0.00;0.00;0.00;5928.54;1218.72;0.00;4709.82;1142.64;218.61
2013.00;educacion;800216673.00;17417.11;170.44;17246.67;15473.84;0.00;0.00;1772.84;42.22;714.81;0.00;0.00;0.00;1100.25;481.94;0.00;618.31;963.88;106.11
2012.00;educacion;800216673.00;16976.95;242.19;16734.76;14428.30;0.00;0.00;2306.46;71.69;726.51;0.00;0.00;0.00;1651.64;608.88;0.00;1042.76;789.23;21.04
2011.00;educacion;800216673.00;16483.67;320.64;16163.03;14216.75;0.00;0.00;1946.28;398.61;665.99;0.00;0.00;0.00;1678.90;649.07;0.00;1029.83;641.24;28.06
2010.00;educacion;800216673.00;15336.27;179.05;15157.22;13178.12;0.00;0.00;1979.10;54.48;580.59;0.00;0.00;0.00;1452.98;493.79;0.00;959.20;691.27;49.80
2009.00;educacion;800216673.00;12487.64;318.82;12168.82;10556.49;0.00;0.00;1612.33;97.05;518.71;0.00;0.00;0.00;1190.67;519.69;0.00;670.98;941.44;17.56
2008.00;educacion;800216673.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;educacion;800216673.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;educacion;800216673.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
