ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;educacion;800172544.00;49075.73;44087.51;4988.22;0.00;4076.71;2630.32;3541.83;0.00;2867.59;2867.59;0.00;0.00;674.25;771.08;0.00;96.83;1542.85;0.00
2019.00;educacion;800172544.00;43799.69;40521.11;3278.58;2722.90;0.00;1428.47;1984.16;0.00;2042.18;2042.18;0.00;0.00;58.03;748.47;0.00;806.50;1389.03;0.00
2018.00;educacion;800172544.00;34952.18;30520.28;4431.90;2023.57;0.00;483.77;1924.57;0.00;77.32;77.32;0.00;0.00;1847.25;873.80;0.00;973.44;0.00;0.00
2017.00;educacion;800172544.00;32227.59;28346.30;3881.29;1724.71;0.00;285.70;2442.28;36.67;742.88;742.88;0.00;0.00;1736.07;796.32;0.00;939.75;1137.51;0.00
2016.00;educacion;800172544.00;34901.51;30731.46;4170.05;1668.63;0.00;882.53;3383.95;556.06;752.63;752.63;0.00;0.00;3187.39;977.38;0.00;2210.01;0.00;0.00
2015.00;educacion;800172544.00;18397.28;15481.23;2916.05;1645.63;5.43;0.00;1264.98;595.69;1027.41;221.13;806.28;0.00;833.26;353.90;0.00;479.37;0.00;0.00
2014.00;educacion;800172544.00;27092.02;24201.14;2890.88;1572.38;39.70;0.00;1278.80;432.94;614.24;0.00;0.00;0.00;1097.50;474.74;0.00;622.76;396.12;0.00
2013.00;educacion;800172544.00;26550.07;24121.11;2428.97;1128.82;0.00;0.00;1300.15;793.33;942.88;0.00;0.00;0.00;1150.60;536.50;0.00;614.10;239.49;3800.00
2012.00;educacion;800172544.00;26253.70;22910.19;3343.51;1724.31;0.00;0.00;1619.21;506.88;1151.42;0.00;0.00;0.00;974.67;453.32;0.00;521.35;427.28;526.86
2011.00;educacion;800172544.00;27072.58;23616.41;3456.17;2152.53;0.00;0.00;1303.64;504.95;759.26;0.00;0.00;0.00;1049.34;414.10;0.00;635.24;301.41;158.89
2010.00;educacion;800172544.00;20907.10;17060.42;3846.68;1797.73;0.00;0.00;2048.95;424.40;320.80;0.00;0.00;0.00;2152.55;660.27;0.00;1492.28;172.33;13.68
2009.00;educacion;800172544.00;17708.06;15802.95;1905.12;1470.21;0.00;0.00;434.91;406.94;230.31;0.00;0.00;0.00;611.54;169.19;0.00;442.35;177.48;9.41
2008.00;educacion;800172544.00;20644.09;18414.39;2229.70;1309.92;0.09;0.00;919.69;125.40;364.12;0.00;0.00;0.00;680.97;0.00;0.00;680.97;223.31;2.60
2007.00;educacion;800172544.00;18235.06;16181.96;2053.11;1203.15;0.33;0.00;849.62;296.34;455.91;0.00;0.00;0.00;690.06;339.41;0.00;350.65;0.00;0.00
2006.00;educacion;800172544.00;17390.14;15503.11;1887.03;1203.40;0.00;0.00;683.63;171.64;268.25;0.00;0.00;1.18;587.02;366.64;0.00;219.20;0.00;0.00
