ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;educacion;800040422.00;30107.50;411.04;29696.46;0.00;30204.02;935.98;428.41;65.36;212.51;212.51;0.00;0.00;281.26;188.75;0.00;92.51;795.30;0.00
2019.00;educacion;800040422.00;34357.29;1506.22;32851.08;32519.50;0.00;573.73;905.30;234.80;247.45;247.45;0.00;0.00;892.65;513.08;0.00;379.58;1144.23;0.00
2018.00;educacion;800040422.00;36308.26;1449.45;34858.81;34051.48;0.00;808.45;1615.79;225.43;115.45;115.45;0.00;0.00;1725.76;482.35;0.00;1243.42;563.79;0.00
2017.00;educacion;800040422.00;34107.88;1626.26;32481.62;31461.24;0.00;4334.61;5354.99;0.00;260.43;260.43;0.00;0.00;5094.56;479.44;0.00;4615.12;685.61;0.00
2016.00;educacion;800040422.00;31980.88;2229.32;29751.56;29344.49;0.00;929.56;1336.63;0.00;279.11;279.11;0.00;0.00;1057.53;0.00;498.60;558.93;526.85;0.00
2015.00;educacion;800040422.00;30966.85;1711.48;29255.36;28153.56;0.00;0.00;1101.81;396.84;431.43;6.25;425.18;0.00;1067.21;415.93;0.00;651.29;0.00;0.00
2014.00;educacion;800040422.00;26859.95;1086.39;25773.57;25330.46;0.00;0.00;443.11;828.16;363.22;0.00;0.00;0.00;908.05;353.61;0.00;554.44;786.18;0.00
2013.00;educacion;800040422.00;24492.63;965.72;23526.90;22835.17;0.00;0.00;691.74;432.00;112.26;0.00;0.00;0.00;1011.47;367.08;0.00;644.39;589.18;0.00
2012.00;educacion;800040422.00;21628.34;807.25;20821.10;20396.18;0.00;0.00;424.92;461.82;69.40;0.00;0.00;0.00;817.34;313.96;0.00;503.39;697.22;0.00
2011.00;educacion;800040422.00;18535.50;899.56;17635.93;17173.09;0.00;0.00;462.84;278.51;147.61;0.00;0.00;0.00;593.74;242.83;0.00;350.91;597.72;0.00
2010.00;educacion;800040422.00;16268.56;738.33;15530.22;15174.18;0.00;0.00;356.04;242.56;209.83;0.00;0.00;0.00;388.77;157.79;0.00;230.99;534.11;299.21
2009.00;educacion;800040422.00;14887.00;641.68;14245.32;13961.03;0.00;0.00;284.29;543.63;219.51;0.00;0.00;0.00;608.41;135.64;0.00;472.77;548.21;47.20
2008.00;educacion;800040422.00;13359.80;721.90;12637.90;12175.14;0.00;0.00;462.77;228.89;196.75;0.00;0.00;0.00;494.91;119.56;0.00;375.35;478.10;156.82
2007.00;educacion;800040422.00;11503.27;502.71;11000.57;10838.26;0.00;0.00;162.31;237.99;180.76;0.00;0.00;0.00;219.55;96.62;0.00;122.92;0.00;0.00
2006.00;educacion;800040422.00;9836.90;488.29;9348.61;9262.20;0.00;0.00;86.41;165.36;261.98;0.00;0.00;129.68;10.22;82.71;0.00;36.75;0.00;0.00
