ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;educacion;830013819.00;20757.52;338.36;20419.16;0.00;20468.11;785.34;736.39;0.00;162.71;162.71;0.00;0.00;573.69;157.67;0.00;416.02;260.40;0.00
2019.00;educacion;830013819.00;25274.39;1165.84;24108.55;23244.26;0.00;415.05;1279.34;0.00;233.50;233.50;0.00;0.00;1045.84;219.67;0.00;826.17;368.35;0.00
2018.00;educacion;830013819.00;23072.83;1076.78;21996.05;21227.59;0.00;110.81;879.27;0.00;0.00;0.00;0.00;0.00;879.27;322.47;0.00;556.80;261.26;0.00
2017.00;educacion;830013819.00;20859.43;1031.35;19828.09;19029.73;0.00;66.88;865.23;0.00;0.00;0.00;0.00;0.00;865.23;232.68;0.00;632.55;213.34;0.00
2016.00;educacion;830013819.00;18675.15;1042.06;17633.09;17072.36;0.00;0.00;560.72;253.52;144.85;144.85;0.00;0.00;669.39;157.65;0.00;511.74;220.26;0.00
2015.00;educacion;830013819.00;17185.19;924.98;16260.21;15794.14;0.00;0.00;466.07;175.33;83.66;33.22;50.44;0.00;557.74;210.27;0.00;347.47;0.00;0.00
2014.00;educacion;830013819.00;15615.39;781.63;14833.76;14435.79;0.00;0.00;397.97;170.26;82.87;0.00;0.00;0.00;485.37;180.94;0.00;304.43;586.45;97.24
2013.00;educacion;830013819.00;14312.00;713.28;13598.72;13197.03;0.00;0.00;401.69;123.16;119.08;0.00;0.00;0.00;405.77;153.33;0.00;252.45;470.47;78.16
2012.00;educacion;830013819.00;12969.14;664.32;12304.82;12253.58;0.00;0.00;51.24;167.76;36.22;0.00;0.00;0.00;182.78;74.13;0.00;108.65;338.69;3.07
2011.00;educacion;830013819.00;11469.09;647.84;10821.25;10552.08;0.00;0.00;269.17;126.83;95.88;0.00;0.00;0.00;300.12;111.76;0.00;188.36;337.15;0.00
2010.00;educacion;830013819.00;10200.34;572.71;9627.63;9219.89;0.00;0.00;407.74;158.17;210.37;0.00;0.00;0.00;355.54;74.89;0.00;280.66;273.59;0.00
2009.00;educacion;830013819.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2008.00;educacion;830013819.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;educacion;830013819.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;educacion;830013819.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
