BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos, y Contrib,O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD, Y PROVIS,;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA,;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad, y Provis,;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia,;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN, O PARTC, DECRET, EN ACC,O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;CONFECCION;890922236;11,16;361,05;0,00;0,00;372,21;0,00;523,78;0,00;0,00;11,11;512,66;0,00;0,00;100,00;0,00;0,00;60,91;160,90;0,00;0,00;0,00;0,00;0,00;1344,45;1344,45;0,00;0,00;0,00;0,00;2390,22;0,00;0,00;0,00;0,00;238,89;0,00;6,45;6,45;0,00;0,00;16,05;0,00;0,00;16,05;0,00;0,00;0,00;261,39;2651,62;0,00;142,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;112,83;91,56;0,00;0,00;0,00;0,04;0,04;0,00;346,76;1037,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1037,40;1384,16;700,00;0,00;0,00;0,00;700,00;0,00;108,44;0,00;0,00;0,00;459,02;0,00;0,00;1267,46;2651,62
2019;CONFECCION;890922236;0,00;44,81;0,00;0,00;44,81;0,00;838,54;0,00;0,00;0,00;838,54;0,00;0,00;140,45;0,00;0,00;0,00;140,45;0,00;0,00;0,00;0,00;0,00;1605,99;1605,99;0,00;0,00;0,00;0,00;2629,79;0,00;0,00;0,00;0,00;241,00;0,00;22,19;22,19;15,26;0,00;0,00;5,41;0,00;5,41;0,00;0,00;0,00;283,85;2913,64;0,00;125,76;0,00;0,00;0,00;0,00;0,00;111,84;0,00;0,00;0,00;111,84;129,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;367,25;1245,49;0,00;0,00;0,00;0,00;0,00;0,83;0,00;0,00;1246,32;1613,58;700,00;0,00;0,00;0,00;700,00;0,00;107,17;0,00;0,00;0,00;492,90;0,00;0,00;1300,06;2913,64
2018;CONFECCION;890922236;0,00;8,99;0,00;0,00;8,99;0,00;943,18;0,00;0,00;0,00;943,18;0,00;0,00;224,27;0,00;0,00;0,00;224,27;0,00;0,00;0,00;0,00;0,00;1220,67;1220,67;0,00;0,00;0,00;0,00;2397,10;3,78;0,00;0,00;0,00;249,35;0,00;1,08;1,08;82,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;336,38;2733,47;24,44;495,27;0,00;0,00;0,00;0,00;0,00;124,25;0,00;0,00;6,69;130,94;145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;795,64;0,00;647,12;0,00;0,00;0,00;0,00;3,37;0,00;0,00;650,49;1446,13;700,00;0,00;0,00;0,00;700,00;0,00;102,49;0,00;0,00;0,00;484,86;0,00;0,00;1287,34;2733,47
2017;CONFECCION;890922236;1,78;150,38;0,00;0,00;152,16;6,31;1626,75;0,00;0,00;0,00;1626,75;0,00;0,00;159,40;0,00;0,00;0,00;159,40;0,00;0,00;0,00;0,00;0,00;881,33;881,33;0,00;0,00;0,00;0,00;2825,94;0,00;0,00;0,00;0,00;237,48;0,00;0,00;0,00;88,01;0,00;0,00;4,99;0,00;4,99;0,00;0,00;0,00;330,48;3156,42;42,73;256,00;1,16;0,00;0,00;0,00;0,00;124,47;0,00;0,00;0,00;125,63;224,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;648,74;0,00;1225,47;0,00;0,00;0,00;0,00;4,80;0,00;0,00;1230,27;1879,01;700,00;0,00;0,00;0,00;700,00;0,00;97,65;0,00;0,00;0,00;479,76;0,00;0,00;1277,41;3156,42
2016;CONFECCION;890922236;0,00;10,36;0,00;0,00;10,36;0,00;1393,12;0,00;0,00;0,00;1393,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;835,25;835,25;0,00;0,00;0,00;0,00;2238,74;7,42;0,00;0,00;0,00;215,30;0,00;0,00;0,00;52,68;0,00;0,00;6,51;0,00;6,51;0,00;0,00;0,00;281,91;2520,65;0,00;325,34;0,00;0,00;0,00;0,00;0,00;71,33;0,00;0,00;0,00;71,33;66,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;462,73;859,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;859,52;1322,25;700,00;0,00;0,00;0,00;700,00;0,00;90,90;0,00;0,00;0,00;407,50;0,00;0,00;1198,40;2520,65
2015;CONFECCION;890922236;0,35;113,34;0,00;0,00;113,69;1,05;1317,72;0,00;0,00;0,00;1317,72;0,00;98,21;115,38;1,35;0,00;10,72;225,66;214,32;74,50;137,94;99,81;0,00;0,00;526,57;1,82;0,00;0,00;1,82;2186,49;0,00;0,00;0,00;0,00;187,96;0,00;0,00;0,88;26,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;215,03;2401,52;22,00;321,77;0,07;0,00;0,00;0,00;0,00;10,07;0,00;13,39;77,10;100,63;86,29;53,77;0,00;0,00;0,00;0,00;0,00;0,00;584,45;675,00;0,00;0,00;0,00;0,00;0,00;0,00;5,50;0,00;680,51;1264,95;700,00;0,00;0,00;0,00;700,00;0,00;82,46;0,00;0,00;84,35;269,76;0,00;0,00;1136,57;2401,52
2014;CONFECCION;890922236;0,35;3,24;0,00;0,00;3,59;19,23;1032,41;0,00;0,00;0,00;1032,41;0,00;22,94;112,72;5,17;0,00;91,03;231,86;256,97;80,38;213,31;69,96;0,00;0,00;620,62;0,00;0,00;0,00;0,00;1907,71;0,00;0,00;0,00;0,00;126,60;0,00;0,00;0,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;127,47;2035,18;30,89;364,19;0,24;0,00;0,00;0,00;0,00;12,83;0,00;0,00;20,56;33,63;54,75;41,98;0,00;0,00;5,51;0,00;5,51;0,00;530,95;447,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;447,36;978,31;700,00;0,00;0,00;0,00;700,00;0,00;75,00;0,00;0,00;74,63;207,24;0,00;0,00;1056,87;2035,18
2013;CONFECCION;890922236;0,35;24,97;0,00;0,00;25,32;40,59;940,14;0,00;0,00;0,00;940,14;0,00;3,16;107,36;1,76;0,00;6,24;118,52;95,78;75,83;182,80;0,00;0,00;0,00;354,40;0,00;0,00;0,00;0,00;1478,97;1,91;0,00;0,00;0,00;189,72;0,00;0,00;0,88;10,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;202,76;1681,73;0,00;241,16;0,00;0,00;0,00;0,00;0,00;7,53;0,00;2,70;48,48;58,71;44,93;37,92;0,00;0,00;1,14;0,00;1,14;0,00;383,86;315,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;315,62;699,49;150,00;0,00;0,00;0,00;150,00;0,00;75,00;478,11;0,00;86,25;192,88;0,00;0,00;982,24;1681,73
2012;CONFECCION;890922236;0,35;53,30;0,00;0,00;53,65;21,59;692,95;0,00;0,00;0,00;692,95;0,00;2,35;104,38;9,45;0,00;7,14;123,31;114,37;109,21;236,47;0,00;0,00;0,00;460,04;0,00;0,00;0,00;0,00;1351,54;4,99;0,00;0,00;0,00;211,27;0,00;0,00;1,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;217,39;1568,92;0,00;202,72;0,00;0,00;0,00;0,00;0,00;6,13;0,00;4,06;34,87;45,07;38,94;27,85;0,00;0,00;0,00;0,00;0,00;0,00;314,58;358,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;358,35;672,93;150,00;0,00;0,00;0,00;150,00;0,00;75,00;478,11;0,00;63,79;129,10;0,00;0,00;896,00;1568,92
2011;CONFECCION;890922236;0,35;31,75;0,00;0,00;32,10;62,34;780,67;0,00;0,00;0,00;780,67;0,00;5,27;65,14;6,46;0,00;14,35;91,21;79,66;65,39;199,70;0,00;0,00;0,00;344,75;3,23;0,00;0,00;3,23;1314,30;1,69;0,00;0,00;0,00;166,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;15,00;183,40;1497,69;0,00;146,99;0,25;0,00;0,00;0,00;0,00;5,57;0,00;3,27;55,44;64,53;29,59;18,40;0,00;0,00;0,00;0,00;0,00;0,00;259,51;390,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;390,98;650,49;150,00;0,00;0,00;0,00;150,00;0,00;75,00;478,11;0,00;32,30;96,80;15,00;0,00;847,21;1497,69
