BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;CONFECCION;860536292;0,00;68,90;0,00;0,00;68,90;8,42;5988,15;0,00;0,00;748,04;5240,11;0,00;0,00;0,00;0,00;0,00;2101,96;2101,96;0,00;0,00;0,00;0,00;0,00;6381,00;6381,00;0,00;0,00;0,00;0,00;13800,39;0,00;0,00;135,62;135,62;3258,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3394,43;17194,82;886,89;2917,40;6069,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6069,98;1179,31;2562,70;0,00;0,00;0,00;259,28;259,28;0,00;13875,55;1786,06;0,00;0,00;0,00;0,00;0,00;215,93;0,00;0,00;2001,99;15877,53;1200,00;0,00;0,00;0,00;1200,00;1505,04;536,89;0,00;0,00;0,00;1924,64;0,00;0,00;1317,29;17194,82
2019;CONFECCION;860536292;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2018;CONFECCION;860536292;0,00;22,55;0,00;0,00;22,55;0,00;8095,83;0,00;0,00;0,00;8095,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5955,94;5955,94;0,00;0,00;0,00;0,00;14074,32;0,00;0,00;203,13;203,13;3686,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3889,81;17964,13;16,17;8217,64;0,00;0,00;0,00;0,00;0,00;2247,89;0,00;0,00;864,09;3111,99;1815,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13160,99;2973,47;0,00;0,00;0,00;0,00;0,00;199,45;0,00;0,00;3172,93;16333,92;1200,00;0,00;0,00;0,00;1200,00;1521,53;536,89;0,00;0,00;0,00;1628,20;0,00;0,00;1630,21;17964,13
2017;CONFECCION;860536292;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2016;CONFECCION;860536292;0,00;30,75;0,00;0,00;30,75;0,00;6669,52;0,00;0,00;0,00;6669,52;0,00;0,00;0,00;0,00;0,00;12,74;12,74;0,00;0,00;0,00;0,00;0,00;3572,93;3572,93;0,00;0,00;0,00;0,00;10285,94;0,00;0,00;0,00;0,00;5770,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5770,24;16056,18;606,14;3154,71;0,00;0,00;0,00;0,00;0,00;298,98;0,00;0,00;2474,76;2773,74;1247,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7781,65;2043,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2043,00;9824,65;1200,00;0,00;180,00;0,00;1020,00;0,00;716,89;2238,53;0,00;0,00;2256,12;0,00;0,00;6231,54;16056,18
2015;CONFECCION;860536292;5,87;69,37;0,00;0,00;75,24;5,00;4289,36;0,00;0,00;136,79;4152,57;1406,58;406,11;361,29;38,61;0,00;437,64;2650,23;974,74;904,14;1014,01;0,00;0,00;0,00;2892,88;86,83;0,00;0,00;86,83;9862,75;0,00;0,00;0,00;0,00;3311,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1839,07;1839,07;5150,28;15013,03;934,42;1529,37;425,78;10,97;0,00;0,94;0,00;60,11;0,00;2017,21;0,00;2515,02;1576,87;331,54;0,00;0,00;0,00;8,49;8,49;0,00;6895,70;2043,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2043,00;8938,70;1200,00;0,00;0,00;0,00;1200,00;0,00;536,89;2238,53;0,00;95,27;355,12;1839,07;0,00;6074,33;15013,03
2014;CONFECCION;860536292;5,66;50,57;0,00;0,00;56,22;5,00;5717,70;0,00;0,00;127,33;5590,37;1019,34;424,53;414,41;33,34;0,00;430,25;2321,88;869,41;819,32;918,89;0,00;0,00;335,69;2943,30;12,84;121,61;0,00;134,45;11051,22;0,00;0,00;0,00;0,00;3464,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1839,07;1839,07;5303,78;16355,01;1538,65;1381,72;382,13;168,57;0,00;11,15;0,00;107,52;0,00;2744,90;0,00;3414,26;1498,69;308,85;0,00;0,00;0,23;0,00;0,23;0,00;8142,40;2043,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2043,00;10185,40;1200,00;0,00;0,00;0,00;1200,00;0,00;536,89;2238,53;0,00;350,72;705,84;1839,07;0,00;6169,61;16355,01
2013;CONFECCION;860536292;4,25;40,29;0,00;0,00;44,54;5,00;5745,68;0,00;0,00;133,78;5611,90;249,06;255,64;467,96;34,14;0,00;685,08;1691,89;836,54;679,32;875,13;0,00;0,00;0,00;2390,99;13,02;145,28;0,00;158,30;9902,61;0,00;0,00;0,00;0,00;3902,34;0,00;0,00;0,00;121,79;0,00;0,00;0,00;0,00;0,00;0,00;1839,07;1839,07;5863,20;15765,81;3379,93;1194,91;391,00;79,58;0,00;8,63;0,00;298,11;0,00;1477,18;0,00;2254,49;1169,56;342,71;0,00;0,00;6,36;0,00;6,36;0,00;8347,97;897,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;897,52;9245,48;1200,00;0,00;0,00;0,00;1200,00;0,00;508,31;2238,53;0,00;28,58;705,84;1839,07;0,00;6520,33;15765,81
2012;CONFECCION;860536292;4,20;10,37;0,00;0,00;14,57;0,00;4944,32;0,00;0,00;80,26;4864,06;0,00;109,79;497,26;7,48;0,00;398,81;1013,35;932,43;870,42;913,38;0,00;73,38;79,93;2869,53;53,94;220,14;0,00;274,08;9035,60;0,00;0,00;0,00;0,00;4412,40;0,00;0,00;0,00;192,20;0,00;0,00;0,00;0,00;0,00;0,00;1296,09;1296,09;5900,69;14936,29;4376,66;1343,46;620,20;9,54;0,00;1,66;0,00;293,71;0,00;258,60;0,00;1183,71;854,81;272,91;0,00;0,00;8,66;0,00;8,66;0,00;8040,21;551,75;0,00;360,52;35,03;0,00;0,00;0,00;0,00;0,00;947,31;8987,52;1200,00;0,00;0,00;0,00;1200,00;0,00;465,86;2238,53;0,00;42,45;705,84;1296,09;0,00;5948,77;14936,29
2011;CONFECCION;860536292;7,68;9,20;0,00;0,00;16,88;0,00;5812,02;0,00;0,00;0,00;5812,02;54,44;75,62;331,60;61,52;0,00;468,90;992,07;867,76;991,72;1052,34;0,00;543,94;95,95;3551,71;15,80;268,71;0,00;284,51;10657,20;0,00;0,00;0,00;0,00;4310,73;0,00;0,00;0,00;371,28;0,00;0,00;0,00;0,00;0,00;0,00;1296,09;1296,09;5978,10;16635,30;5798,26;1077,82;604,18;11,49;0,00;0,75;0,00;365,79;0,00;880,05;0,00;1862,26;995,34;280,21;0,00;0,00;0,00;0,00;0,00;0,00;10013,88;715,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;715,11;10728,98;1200,00;0,00;0,00;0,00;1200,00;0,00;386,40;2238,53;0,00;79,46;705,84;1296,09;0,00;5906,32;16635,30
