BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;890117531;0,6;157,84;0;-;158,45;26,2;1.055,83;-;-;1,37;1.054,46;0;0;195,78;-;0;631,49;827,27;-;-;-;-;-;2.725,19;2.725,19;-;-;-;-;4.791,57;0;0;0;0;841,64;0;9,56;9,56;9,35;0;0;0;0;0;-;-;-;860,54;5.652,11;130,7;664,65;0;-;-;-;-;-;0;-;-;0;367,48;0;0;-;-;0;0;-;1.162,83;0;0;0;0;0;-;72,27;0;-;72,27;1.235,11;1.951,00;0;0;-;1.951,00;0;434,1;656,82;-;-;1.375,08;-;0;4.417,00;5.652,11
2019;890117531;-;177,34;-;-;177,34;0;1.290,00;-;-;-;1.290,00;-;0;204,87;-;0;0;204,87;-;-;-;-;-;3.314,70;3.314,70;-;-;-;-;4.986,90;0;0;0;0;901,88;0;11,59;11,59;25,32;0;0;0;0;0;-;-;-;938,79;5.925,69;512,13;672,22;-;-;-;-;-;0;0;-;0;0;289,8;-;-;-;-;-;-;-;1.474,15;0;0;0;0;-;-;92,78;0;-;92,78;1.566,94;1.951,00;0;0;-;1.951,00;0;433,59;656,82;-;-;1.317,35;-;0;4.358,75;5.925,69
2018;890117531;-;171,65;-;-;171,65;0;1.607,77;-;-;-;1.607,77;-;0;215,96;-;0;0;215,96;-;-;-;-;-;2.754,79;2.754,79;-;-;-;-;4.750,16;0;0;0;0;1.029,33;0;14,91;14,91;155,57;0;0;0;0;0;-;-;-;1.199,81;5.949,98;331,07;452,92;-;-;-;-;-;0;0;-;0;0;367,44;-;-;-;-;-;-;-;1.151,44;0;0;0;0;-;-;227,32;0;-;227,32;1.378,76;1.763,60;0;0;-;1.763,60;0;432,95;656,82;-;-;1.717,85;-;0;4.571,22;5.949,98
2017;890117531;2,6;164,11;-;-;166,71;7,72;1.594,97;-;-;-;1.594,97;0;0;174,37;-;0;0;174,37;-;-;-;-;-;2.729,08;2.729,08;-;-;-;-;4.672,83;0;0;0;0;1.161,76;0;5,86;5,86;67,6;0;0;0;0;0;-;-;-;1.235,23;5.908,06;467,56;509,29;0;-;-;-;-;0;0;-;0;0;223,07;-;-;-;-;-;-;-;1.199,92;0;0;-;0;0;0;145,63;0;-;145,63;1.345,55;1.763,60;0;0;-;1.763,60;0;1.386,39;656,82;-;-;755,7;-;0;4.562,51;5.908,06
2016;890117531;-;208,53;-;-;208,53;0;1.161,58;-;-;-;1.161,58;-;0;315,44;-;0;0;315,44;-;-;-;-;-;2.327,38;2.327,38;-;-;-;-;4.012,92;0;0;0;0;3.260,69;0;0;0;17,97;0;0;0;0;0;-;-;-;3.278,66;7.291,58;0;585,52;-;-;-;-;-;40,47;2,56;-;0;43,03;256,35;-;-;-;-;-;-;-;884,9;0;0;0;0;-;-;0;0;-;0;884,9;885,2;0;0;-;885,2;0;900,65;0;-;-;4.620,84;-;0;6.406,68;7.291,58
2015;890117531;3,11;31,34;18,31;0;52,75;1,4;964,64;0;0;0;964,64;0;493,67;161,41;0,82;-;26,07;681,97;515,86;446,51;370,91;0;0;168,88;1.502,16;8,07;0;0;8,07;3.210,98;0;-;-;0;427,27;-;-;2.792,10;23,54;-;-;-;-;0;0;0;0;3.242,91;6.453,89;784,08;261,37;417,21;80,11;0;0;0;7,95;-;13,31;7,96;526,54;176,24;19,21;0;0;55,07;0;55,07;0;1.822,50;305,73;0;0;0;0;0;0;3.154,41;0;3.460,14;5.282,64;885,2;-;-;0;885,2;0;243,83;656,82;0;-614,6;0;0;-;1.171,25;6.453,89
2014;890117531;54,01;21,45;5,72;0;81,17;45,79;1.088,62;0;0;0;1.088,62;0;385,2;265,05;0,2;-;30,63;681,07;719,15;443,02;447,81;0;0;448,57;2.058,55;8,63;0;0;8,63;3.963,83;0;-;-;0;514,16;-;-;2.895,10;21,73;-;-;-;-;0;0;0;0;3.430,99;7.394,82;1.332,00;587,13;364,24;52,08;1;0;0;6,71;-;13,37;11,91;449,31;247,96;50,7;0;0;5,68;0;5,68;0;2.672,77;2.860,50;0;0;0;0;0;0;0;0;2.860,50;5.533,27;885,2;-;-;0;885,2;0;98,25;656,82;0;698,71;-477,42;0;-;1.861,55;7.394,82
2013;890117531;58,78;33,29;12,25;0;104,32;36,09;1.183,26;0;22,34;0;1.205,60;0;434,95;290,58;0,49;-;35,9;761,93;853,6;742,34;540,18;0;0;170,36;2.306,47;11,15;0;0;11,15;4.425,56;0;-;-;0;753,81;-;-;0;13,4;-;-;-;-;0;0;3.899,26;3.899,26;4.666,46;9.092,02;2.056,18;384,8;182,44;36,95;1;4,28;0,99;7,97;-;12,98;0;246,62;207,73;78,51;0;0;6,17;0;6,17;0;2.980,00;1.031,88;0;0;0;0;0;0;0;0;1.031,88;4.011,88;885,2;-;-;0;885,2;0;95,04;660,44;0;32,05;-491,85;3.899,26;-;5.080,15;9.092,02
2012;890117531;21,73;17,89;56,73;0;96,35;38,17;1.153,69;0;7,05;0;1.160,74;0;36,11;219,81;0,85;-;56,9;313,67;1.157,11;516,83;375;0;0;273,44;2.322,39;10,93;0;0;10,93;3.942,25;0;-;-;0;806,19;-;-;0;25,67;-;-;-;-;0;0;2.996,33;2.996,33;3.828,19;7.770,44;1.658,15;383,62;152,97;26,28;107,7;14,95;0;14,35;-;9,72;145,08;471,04;64,34;16,69;0;0;31,72;0;31,72;0;2.625,56;1.281,09;0;0;0;0;0;0;0;0;1.281,09;3.906,65;600,2;-;-;0;600,2;0;145,23;664,06;0;-542,03;0;2.996,33;-;3.863,79;7.770,44
2011;890117531;42,67;5,57;81,56;0;129,8;38,47;1.249,16;0;7,05;0;1.256,21;0;71,89;217,18;3,03;-;25,64;317,74;932,63;463,7;564,67;0;0;264,26;2.225,26;48,22;0;0;48,22;4.015,68;0;-;-;0;693,53;-;-;0;18,25;-;-;-;-;0;0;3.215,42;3.215,42;3.927,20;7.942,88;1.208,18;441,01;225,69;35,37;127,2;24,36;1,9;15,31;-;10,13;35,58;475,54;193,69;17,3;0;0;2,34;0;2,34;0;2.338,06;829,57;0;0;0;0;0;0;0;0;829,57;3.167,62;600,2;-;-;0;600,2;0;128,92;667,68;0;163,04;0;3.215,42;-;4.775,26;7.942,88
