BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos, y Contrib,O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD, Y PROVIS,;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA,;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad, y Provis,;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia,;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN, O PARTC, DECRET, EN ACC,O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;confeccion;800014096;6.11;103.91;2844.03;0.00;2954.06;0.00;4797.04;0.00;0.00;0.00;4797.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2537.72;2537.72;0.00;0.00;0.00;0.00;10288.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10288.82;0.00;14512.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14512.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14512.53;531.00;99.00;0.00;0.00;630.00;0.00;4528.19;0.00;0.00;0.00;325.52;0.00;0.00;4223.71;10288.82
2019;confeccion;800014096;0.00;376.23;0.00;0.00;376.23;0.00;4593.67;0.00;0.00;0.00;4593.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3567.20;3567.20;0.00;0.00;0.00;0.00;8537.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8537.09;0.00;13272.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;247.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13520.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13520.30;531.00;99.00;0.00;0.00;630.00;0.00;4528.19;0.00;0.00;0.00;1085.01;0.00;0.00;4983.20;8537.09
2018;confeccion;800014096;0.00;916.34;0.00;0.00;916.34;0.00;4875.14;0.00;0.00;0.00;4875.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2746.81;2746.81;0.00;0.00;0.00;0.00;8538.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8538.29;0.00;592.55;0.00;0.00;0.00;0.00;0.00;122.63;24.99;0.00;254.06;401.68;256.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1251.01;0.00;12450.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12450.69;13701.70;531.00;99.00;0.00;0.00;630.00;0.00;4528.19;0.00;0.00;0.00;1265.22;0.00;0.00;5163.41;8538.29
2017;confeccion;800014096;9.13;759.33;0.00;0.00;768.46;0.00;4606.04;0.00;0.00;0.00;4606.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2797.07;2797.07;0.00;0.00;0.00;0.00;8171.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8171.56;0.00;13618.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13618.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13618.81;531.00;99.00;0.00;0.00;630.00;0.00;4528.19;0.00;0.00;0.00;1549.05;0.00;0.00;5447.25;8171.56
2016;confeccion;800014096;0.00;777.91;0.00;0.00;777.91;0.00;5452.49;0.00;0.00;0.00;5452.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1990.14;1990.14;0.00;0.00;0.00;0.00;8220.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8220.53;0.00;1397.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1397.17;0.00;6890.71;0.00;0.00;0.00;0.00;0.00;5559.98;0.00;12450.69;13847.86;531.00;99.00;0.00;0.00;630.00;0.00;4528.19;0.00;0.00;0.00;1729.14;0.00;0.00;5627.33;8220.53
2015;confeccion;800014096;7.02;64.53;9.58;0.00;81.14;1300.81;4035.56;0.00;0.00;848.16;3187.39;0.00;4.01;385.04;9.57;0.00;1107.48;1506.10;1280.39;110.91;496.82;80.92;0.00;109.94;1859.09;0.00;0.00;0.00;0.00;7934.53;0.00;0.00;0.00;0.00;51.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;51.75;7986.29;0.00;0.00;388.59;17.70;0.00;1.32;0.00;0.00;0.00;0.00;1591.42;1999.02;232.92;70.44;502.74;0.00;0.00;0.00;0.00;0.00;2805.12;5559.98;6084.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11644.49;14449.61;531.00;0.00;0.00;0.00;531.00;99.00;0.00;4528.19;0.00;253.07;2818.20;0.00;0.00;6463.32;7986.29
2014;confeccion;800014096;5.92;64.97;11.83;0.00;82.72;80.84;4389.40;0.00;0.00;846.85;3542.56;0.00;4.02;366.07;7.96;0.00;198.97;577.02;1875.10;226.27;578.59;22.29;0.00;109.94;2592.30;0.00;0.00;0.00;0.00;6875.44;0.00;0.00;0.00;819.30;60.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;879.50;7754.93;0.00;437.23;507.98;16.46;0.00;1.21;0.00;17.18;0.00;0.00;0.00;542.83;239.00;60.04;400.63;0.00;0.00;0.00;0.00;0.00;1679.73;5559.98;5403.65;1827.96;0.00;0.00;0.00;0.00;0.00;0.00;12791.59;14471.32;531.00;0.00;0.00;0.00;531.00;99.00;0.00;4528.19;0.00;99.72;2917.92;0.00;0.00;6716.39;7754.93
2013;confeccion;800014096;4.59;61.77;21.59;0.00;87.95;606.31;2825.30;0.00;0.00;846.84;1978.46;0.00;1.17;964.86;9.21;0.00;199.64;1174.87;1849.85;117.16;580.19;116.24;0.00;136.04;2527.40;0.00;0.00;0.00;0.00;6375.00;0.00;0.00;0.00;819.30;94.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;913.54;7288.55;0.00;471.39;186.60;12.82;0.00;1.41;0.00;16.39;0.00;0.00;0.00;217.22;164.12;59.71;400.63;0.00;0.00;0.00;0.00;0.00;1313.07;5559.98;5403.65;1827.96;0.00;0.00;0.00;0.00;0.00;0.00;12791.59;14104.66;531.00;0.00;0.00;0.00;531.00;99.00;0.00;4528.19;0.00;292.78;3210.70;0.00;0.00;6816.11;7288.55
2012;confeccion;800014096;3.04;358.76;17.81;0.00;379.60;392.67;2874.71;0.00;0.00;832.19;2042.52;0.00;54.77;895.70;7.90;0.00;8.07;966.43;2247.09;109.37;641.48;99.78;0.00;136.04;2961.69;5.22;0.00;0.00;5.22;6748.13;0.00;0.00;0.00;819.30;94.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;913.40;7661.53;0.00;772.05;554.18;9.55;0.00;2.21;0.00;23.96;0.00;0.00;0.00;589.92;158.04;58.19;400.63;0.00;0.00;0.00;0.00;0.00;1978.82;5559.98;5403.65;1827.96;0.00;0.00;0.00;0.00;0.00;0.00;12791.59;14770.42;531.00;0.00;0.00;0.00;531.00;99.00;0.00;4528.19;0.00;283.98;3494.68;0.00;0.00;7108.89;7661.53
2011;confeccion;800014096;1.47;85.54;12.51;0.00;99.52;745.35;2875.13;0.00;0.00;829.65;2045.48;0.00;22.22;708.89;5.46;0.00;76.49;813.06;2140.04;97.44;678.45;162.30;0.00;136.04;2942.18;0.00;0.00;0.00;0.00;6645.59;0.00;0.00;0.00;819.30;72.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;891.83;7537.42;0.00;1125.49;244.69;26.79;0.00;5.87;0.00;21.04;0.00;0.00;0.31;298.69;277.20;60.69;376.63;0.00;0.00;0.00;0.00;0.00;2138.70;5559.98;5403.65;1827.96;0.00;0.00;0.00;0.00;0.00;0.00;12791.59;14930.29;531.00;0.00;0.00;0.00;531.00;99.00;0.00;4528.19;0.00;529.93;4024.61;0.00;0.00;7392.87;7537.42
2010;confeccion;800014096;1.27;157.79;9.82;0.00;168.88;554.68;3150.81;0.00;0.00;829.94;2320.88;0.00;64.00;621.88;4.77;0.00;3.96;694.61;1469.47;77.73;553.25;59.96;0.00;136.56;2023.85;2.20;0.00;0.00;2.20;5765.10;0.00;0.00;0.00;819.30;61.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.07;0.00;12.07;893.31;6658.42;0.00;1156.14;284.12;20.23;0.00;5.40;0.00;19.73;0.00;0.00;0.00;329.48;193.67;51.64;46.63;0.00;0.00;0.00;0.00;0.00;1777.55;5559.98;5403.65;1827.96;0.00;0.00;0.00;0.00;0.00;0.00;12791.59;14569.14;531.00;0.00;0.00;0.00;531.00;99.00;0.00;4528.19;0.00;365.04;4389.65;12.07;0.00;7910.73;6658.42
2009;confeccion;800014096;2.15;73.81;6.29;0.00;82.24;214.98;3001.81;0.00;0.00;600.78;2401.03;0.00;0.00;345.24;7.85;0.00;36.13;389.22;1070.03;70.50;429.23;70.56;0.00;136.56;1503.76;3.08;0.00;0.00;3.08;4594.32;0.00;0.00;0.00;819.30;63.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;883.04;5477.36;0.00;636.49;208.44;10.43;0.00;3.17;0.00;18.27;0.00;0.00;0.00;240.30;4.56;45.63;46.63;0.00;0.00;0.00;0.00;0.00;973.61;5559.98;5403.65;1827.96;0.00;0.00;0.00;0.00;0.00;0.00;12791.59;13765.20;531.00;0.00;0.00;0.00;531.00;99.00;0.00;4528.19;0.00;20.22;4369.43;0.00;0.00;8287.84;5477.36
