ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,830038885,"8,316,802.21","6,872,072.97","1,444,729.24","469,100.62","865,917.45","-37,209.41","72,501.76","48,874.30","273,505.78","273,505.78",-,"54,944.34","-97,185.38","-31,762.03",0,"-65,423.35","429,088.74",-
2019,830038885,"10,876.27",0,"10,876.27","43,202.14",0,"-25,190.25","-57,516.12","2,392.18","18,440.29","18,440.29",0,"114,405.07","40,840.85","1,069.88",0,"39,770.98","3,274.10",-
2018,830038885,"280,380.04","149,063.85","131,316.19","42,160.93",0,"-13,459.87","75,695.39","14,347.27","35,786.59","35,786.59",-,"141,011.55","195,267.62",863.42,0,"194,404.19","1,842.49",-
2017,830038885,"92,948.76",0,"92,948.76","70,907.07",0,-,"22,041.70","15,479.62","47,362.30",-,-,-,"-9,840.99","3,569.73",-,"-13,410.72",0,0
2016,830038885,"83,663.80","3,109.04","80,554.76","69,528.85",0,-,"11,025.90","24,825.40","114,107.85",-,-,-,"-78,256.54","3,545.77",-,"-81,802.31",-,-
2015,830038885,"102,770.80","96,970.14","5,800.65","59,315.94",0,-,"-53,515.29","98,888.38","30,996.82",-,-,-,"14,376.28","4,962.24",-,"9,414.03",-,-
2014,830038885,"171,214.24","4,674.02","166,540.22","89,136.88","31,831.59",-,"45,571.75","43,615.97","8,698.94",-,-,-,"80,488.78","1,708.04",-,"78,780.74",0,0
2013,830038885,"112,107.72","13,569.58","98,538.14","63,697.86","14,275.53",-,"20,564.76","12,267.96","8,910.69",-,-,-,"23,922.04","2,487.24",-,"21,434.79","1,608.00","6,762.39"
2012,830038885,"132,458.84","22,587.64","109,871.20","81,260.62","4,649.72",-,"23,960.86","3,188.17","7,083.35",-,-,-,"20,065.68",369.26,-,"19,696.42",-,-
2011,830038885,"98,453.05","2,206.47","96,246.58","49,109.32",2.36,-,"47,134.90","4,055.26","9,960.29",-,-,-,"41,229.88",438.62,-,"40,791.26",-,-
2010,830038885,"60,633.32","2,516.58","58,116.75","36,685.60",1.42,-,"21,429.72","58,230.94","7,507.59",-,-,-,"72,153.07",463.58,-,"71,689.49",0,0
2009,830038885,"70,103.41","40,358.63","29,744.78","59,005.38","2,283.48",-,"-31,544.07","39,722.25","4,699.98",-,-,-,"3,478.20",957.45,-,"2,520.75",0,0
2008,830038885,"351,664.15","5,614.09","346,050.06","95,229.54","7,286.03",-,"243,534.50","20,717.77","179,257.71",-,-,-,"84,994.55",363.33,-,"84,631.22",0,0
2007,830038885,"390,178.76","65,567.53","324,611.22","186,168.02","9,871.62",-,"128,571.59","27,911.49","81,485.17",-,-,-,"74,997.91",212.93,-,"74,784.98",-,-
2006,830038885,"88,505.16","71,173.24","17,331.92","47,005.03",0.19,-,"-29,673.30","5,547.35","87,133.52",-,-,"31,060.35","-111,259.47","1,238.06",-,"-81,437.19",-,-
