,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,830113598,6.57,"381,639.76",0,-,"381,646.33","23,357.91","1,804,597.27",-,-,0,"1,804,597.27",0,"13,502,865.83","25,566.53",-,0,0,"13,528,432.36",-,-,-,-,-,0,0,-,-,-,-,"15,738,033.87","7,164,266.78",0,"2,673,750.80","2,673,750.80","34,933.03",0,0,0,"4,333.47",0,0,"47,173.20",0,"47,173.20",-,-,-,"9,924,457.27","25,662,491.14","369,023.61","2,069,868.78",-,-,-,-,-,-,0,-,0,0,"21,814.84",0,"14,215.76",-,-,"76,192.17","76,192.17",-,"2,551,115.16","13,461,151.53",0,0,0,-,-,"2,794.10","1,627.54",-,"13,465,573.18","16,016,688.34","171,887.62","1,003,704.12",0,-,"1,175,591.74",0,"2,975,026.94","4,129,805.67",-,-,"499,221.55",-,"866,156.91","9,645,802.80","25,662,491.14"
,2019,830113598,-,"36,821.36",-,-,"36,821.36",0,"1,203,990.51",-,-,-,"1,203,990.51",-,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"1,240,811.87","9,173,381.71",0,0,0,595.59,0,0,0,0,0,0,17.21,0,17.21,-,-,-,"9,173,994.51","10,414,806.38","413,860.47","1,885,249.21",-,-,-,-,-,"6,951.44",0,-,158.6,"7,110.04","16,420.67",-,-,-,-,-,-,-,"2,322,640.39","318,000.00",0,0,0,-,-,7.16,"1,627.54",-,"319,634.70","2,642,275.09","171,887.62","1,003,704.12",0,-,"1,175,591.74",0,"2,803,724.28",0,-,-,"3,793,215.27",-,0,"7,772,531.29","10,414,806.38"
,2018,830113598,-,"40,006.86",-,-,"40,006.86",0,"1,177,763.26",-,-,-,"1,177,763.26",-,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"1,217,770.12","6,747,094.22",0,0,0,447.14,0,0,0,0,0,0,17.21,0,17.21,-,-,-,"6,747,558.57","7,965,328.68","461,118.18","2,182,189.67",-,-,-,-,-,0,0,0,0,0,"9,184.87",-,-,-,-,-,-,-,"2,652,492.71","316,045.80",0,0,0,-,-,0,"1,627.54",-,"317,673.34","2,970,166.05","171,887.62","1,003,704.12",0,-,"1,175,591.74",0,"1,757,033.63",0,-,-,"2,062,537.26",-,0,"4,995,162.63","7,965,328.68"
,2017,830113598,5.4,216.22,-,-,221.62,"245,057.82","1,142,592.96",-,-,-,"1,142,592.96",0,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"1,387,872.40","8,668,018.58",0,0,0,379.91,0,0,0,0,0,0,"610,192.81",0,"610,192.81",-,-,-,"9,278,591.30","10,666,463.70","167,376.59","4,566.56",0,-,-,-,-,0,0,-,0,0,"18,308.82",-,-,-,-,-,-,-,"190,251.97","318,000.00",0,-,0,0,0,0,"1,627.48",-,"319,627.48","509,879.46","171,887.62","1,003,704.12",0,-,"1,175,591.74",0,"2,364,959.11",0,-,-,"6,616,033.39",-,0,"10,156,584.25","10,666,463.70"
,2016,830113598,-,"76,612.73",-,-,"76,612.73",0,"1,014,306.89",-,-,-,"1,014,306.89",-,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"1,090,919.61","9,232,804.10",0,0,0,281.72,0,0,0,0,0,0,17.21,0,17.21,-,-,-,"9,233,103.02","10,324,022.63",0,"6,264.61",-,-,-,-,-,0,0,-,0,0,"16,109.74",-,-,-,-,-,-,-,"22,374.35","535,114.60",0,0,0,-,-,0,"1,627.48",-,"536,742.08","559,116.43","171,887.62","1,003,704.12",0,-,"1,175,591.74",0,"2,156,584.71",0,-,-,"6,432,729.76",-,0,"9,764,906.20","10,324,022.63"
,2015,830113598,-,"122,728.57",-,-,"122,728.57",0,"836,131.84",-,-,-,"836,131.84",0,0,465.1,-,0,0,465.1,-,-,-,-,-,0,0,-,-,-,-,"959,325.50","9,226,471.81",0,0,0,279.05,0,0,0,0,0,0,17.21,0,17.21,-,-,-,"9,226,768.07","10,186,093.57",0,"5,010.47",-,-,-,-,-,0,0,-,0,0,"4,750.23",-,-,-,-,0,0,-,"9,760.71","742,087.70",0,0,0,-,-,0,"1,627.41",-,"743,715.12","753,475.82","171,887.62","1,003,704.12",0,-,"1,175,591.74",0,"1,677,035.97","16,253.23",-,"163,187.17","6,400,549.65",-,0,"9,432,617.75","10,186,093.57"
,2014,830113598,4.8,471.37,"174,052.87",0,"174,529.04","2,153.63",0,"8,541.95",0,397.94,"8,144.00",0,0,0,285.75,-,"106,508.74","106,794.49",0,0,0,0,0,0,0,74.61,"1,311.63",0,"1,386.24","293,007.41","3,752,214.37",-,-,"673,484.79",205,-,-,426.37,0,-,-,-,-,17.21,"5,522,611.94",0,"5,522,611.94","9,948,959.67","10,241,967.08",0,145.93,"9,770.28",678.93,0,12.02,7.35,191,-,0.04,0.94,"10,660.55","6,377.65","2,462.09",0,0,0,0,0,0,"19,646.21","1,091,863.82",0,"1,627.41",0,0,0,0,0,0,"1,093,491.23","1,113,137.45","171,887.62",-,-,0,"171,887.62","1,714,561.49","1,530,855.54",0,0,"188,913.05",0,"5,522,611.94",-,"9,128,829.64","10,241,967.08"
,2013,830113598,3.6,111.48,"212,585.36",0,"212,700.44","1,723.97",0,"8,451.43",0,397.94,"8,053.48",0,0.38,0,187.85,-,"96,051.89","96,240.13",0,0,0,0,0,0,0,83.33,"1,311.63",0,"1,394.96","320,112.98","3,547,411.70",-,-,"603,006.05",221.69,-,-,596.91,0,-,-,-,-,17.21,"5,511,392.13",0,"5,511,392.13","9,662,645.69","9,982,758.67",0,126.95,"3,211.50",430.45,0,4.74,4.05,176.77,-,380.38,0.94,"4,208.83","16,328.12","2,256.20",0,0,0,0,0,0,"22,920.10","1,164,171.40",0,"1,627.41",0,0,0,0,0,0,"1,165,798.81","1,188,718.91","171,887.62",-,-,0,"171,887.62","1,750,136.59","1,214,374.90",0,0,"146,248.52",0,"5,511,392.13",-,"8,794,039.76","9,982,758.67"
,2012,830113598,3.6,79.79,"75,078.07",0,"75,161.46","1,571.70",0,"17,964.97",0,100,"17,864.97",0,0.85,0,211.67,-,"73,413.02","73,625.53",0,0,0,0,0,0,0,84.43,0,0,84.43,"168,308.09","2,379,321.75",-,-,"568,175.20",184.71,-,-,767.46,0,-,-,-,-,17.21,"5,336,169.55",0,"5,336,169.55","8,284,635.87","8,452,943.96",0,57.66,"2,359.54",169.53,0,11.83,4.38,188.29,-,0,0,"2,733.56","22,515.47","2,108.55",0,0,0.07,0,0.07,0,"27,415.31","187,099.07",0,"4,196.22",0,0,0,0,0,0,"191,295.29","218,710.60","171,887.62",-,-,0,"171,887.62","1,517,599.26","1,167,189.92",0,0,"41,387.00",0,"5,336,169.55",-,"8,234,233.36","8,452,943.96"
,2011,830113598,3.6,92.78,"7,600.95",0,"7,697.33","1,712.25",0,"20,739.43",0,100,"20,639.43",0,5.75,0,258.54,-,"52,858.14","53,122.44",0,0,0,0,0,0,0,90.04,3.97,0,94.01,"83,265.46","1,308,756.46",-,-,"478,854.88",179.66,-,-,938,0,-,-,-,-,17.21,"5,039,558.47",0,"5,039,558.47","6,828,304.67","6,911,570.13",0,77.43,"5,991.86",157.11,0,15.76,3.2,183.01,-,0,0.94,"6,351.87","35,069.48","1,946.37",0,0,0,0,0,0,"43,445.15","189,892.38",0,"4,196.77",0,0,0,0,0,0,"194,089.15","237,534.29","1,628.25",-,-,0,"1,628.25","433,492.11","869,956.50","148,201.81",0,"181,198.70",0,"5,039,558.47",-,"6,674,035.84","6,911,570.13"
