,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,811011779,16.89,"35,367.29",0,-,"35,384.19",190.3,"140,851.12",-,-,"15,536.18","125,314.94",0,"10,385.95",0,-,0,"37,999.90","48,385.84",-,-,-,-,-,"27,223.67","27,223.67",-,-,-,-,"236,498.94",0,0,"381,387.36","381,387.36","883,804.02",0,"21,559.27","21,559.27",0,0,0,0,0,0,-,-,-,"1,286,750.65","1,523,249.59","714,060.75","26,509.65",-,-,-,-,-,-,0,-,"35,436.74","35,436.74","17,590.16",0,541.7,-,-,"22,536.98","22,536.98",-,"816,675.98","351,114.34",0,"1,387.56",0,-,-,"39,424.67",0,-,"391,926.57","1,208,602.55","71,267.95","50,308.63",0,-,"121,576.58",0,"152,699.58",0,-,-,"40,370.88",-,0,"314,647.04","1,523,249.59"
,2019,811011779,-,"25,434.96",-,-,"25,434.96","4,988.01","154,025.52",-,-,-,"154,025.52",-,0,0,-,0,0,0,-,-,-,-,-,"28,312.19","28,312.19",-,-,-,-,"212,760.67","309,733.83",0,"6,321.89","6,321.89","861,062.19",0,"18,329.48","18,329.48",0,0,0,"105,044.32",0,"105,044.32",-,-,-,"1,300,491.71","1,513,252.39","882,044.29","61,275.61",-,-,-,-,-,"9,356.86",211.34,-,"19,272.18","28,840.39","13,830.27",-,-,-,-,-,-,-,"985,990.55","244,280.71",0,738.28,0,-,-,"30,655.54",0,-,"275,674.53","1,261,665.08","71,267.95","50,308.63",0,-,"121,576.58",0,"64,050.28",0,-,-,"65,960.44",-,0,"251,587.31","1,513,252.39"
,2018,811011779,-,"16,123.31",-,-,"16,123.31","3,673.04","113,903.39",-,-,-,"113,903.39",-,0,0,-,0,"8,915.33","8,915.33",-,-,-,-,-,"17,001.26","17,001.26",-,-,-,-,"159,616.33","105,395.89",0,"9,304.05","9,304.05","968,215.92",0,0,0,0,"44,483.61",0,0,0,"44,483.61",-,-,-,"1,127,399.47","1,287,015.80","860,127.69","73,273.69",-,-,-,-,-,0,0,"30,113.41",0,"30,113.41","8,627.12",-,-,-,-,-,-,-,"972,141.91","25,547.82",0,0,0,-,-,"22,450.09","1,319.89",-,"49,317.80","1,021,459.71","71,267.95","50,308.63",0,-,"121,576.58",0,"72,409.93",0,-,-,"71,569.58",-,0,"265,556.09","1,287,015.80"
,2017,811011779,13,"9,245.17",-,-,"9,258.17",0,"89,851.49",-,-,-,"89,851.49",0,150.57,0,-,0,"6,447.60","6,598.17",-,-,-,-,-,"17,033.89","17,033.89",-,-,-,-,"122,741.72","3,665.46",0,"119,864.27","119,864.27","946,514.46",0,0,0,0,0,0,"51,014.16",0,"51,014.16",-,-,-,"1,121,058.36","1,243,800.08","438,342.08","51,362.41","31,345.06",-,-,-,-,"6,781.99",783.8,-,0,"38,910.85","6,628.60",-,-,-,-,-,-,-,"535,243.93","405,643.77",0,-,0,0,0,"5,465.99","3,067.33",-,"414,177.10","949,421.03","71,267.95","50,308.63",0,-,"121,576.58",0,"81,368.21",0,-,-,"91,434.26",-,0,"294,379.05","1,243,800.08"
,2016,811011779,-,"4,780.41",-,-,"4,780.41","15,831.16","77,555.81",-,-,-,"77,555.81",-,0,0,-,0,"5,698.81","5,698.81",-,-,-,-,-,"15,541.43","15,541.43",-,-,-,-,"119,407.62","966,932.36",0,"104,021.84","104,021.84",0,0,0,0,"69,135.62",0,0,"6,319.00",0,"6,319.00",-,-,-,"1,146,408.82","1,265,816.43","323,632.20","57,933.72",-,-,-,-,-,"4,368.45",436.14,-,"27,724.39","32,528.97","10,076.02",-,-,-,-,-,-,-,"424,170.91","488,480.06",0,0,0,-,-,"88,888.20","4,579.07",-,"581,947.33","1,006,118.24","71,267.95","50,308.63",0,-,"121,576.58",0,"81,721.51",0,-,-,"56,400.10",-,0,"259,698.19","1,265,816.43"
,2015,811011779,0,"4,764.65",0,0,"4,764.65",245.93,0,"49,361.21",0,0,"49,361.21",0,0,"32,125.02",0,-,0,"32,125.02",0,0,0,0,0,"11,077.53","11,077.53",0,0,0,0,"97,574.33","35,007.45",-,-,"104,455.67","769,653.15",-,-,0,"93,706.33",-,-,-,-,"11,695.74",0,0,0,"1,014,518.34","1,112,092.67","430,680.62",0,0,0,0,0,0,0,-,"51,509.86",0,"51,509.86","18,537.28",0,"1,880.28",0,0,"19,656.25","19,656.25",0,"522,264.29","206,122.92",0,0,0,0,0,"103,635.22","5,823.83",0,"315,581.96","837,846.25","71,267.95",-,-,0,"71,267.95",0,"112,462.81",0,"50,308.63","43,144.56","-2,937.53",0,-,"274,246.42","1,112,092.67"
,2014,811011779,0,"8,187.68",0,0,"8,187.68","11,261.00","32,288.93",0,"4,530.15","4,747.97","32,071.11",0,"3,651.73",0,0,-,"29,077.95","32,729.68",0,0,0,0,0,0,0,0,"3,202.68",0,"3,202.68","87,452.15","21,055.18",-,-,0,"709,316.47",-,-,"26,009.07","12,492.43",-,-,-,-,486.86,0,"27,139.53","27,139.53","796,499.54","883,951.69","260,003.65","79,866.99",0,0,0,0,200.82,0,-,0,"19,534.73","19,735.55","7,064.18","1,799.50","3,332.13","14,723.44",0,568.96,568.96,0,"387,094.40","243,730.02",0,0,0,0,0,"1,858.33",0,"16,000.00","261,588.35","648,682.75","71,267.95",-,-,0,"71,267.95","54,754.93","38,192.39",0,0,"43,914.13",0,"27,139.53",-,"235,268.93","883,951.68"
,2013,811011779,3.95,152.96,"6,309.56",19.61,"6,486.08","29,346.77","25,343.80",0,"5,712.69","5,205.75","25,850.74",0,"10,623.39","9,386.24",76.42,-,"13,815.53","33,901.58",0,0,0,0,0,0,0,"2,589.63","5,936.96",0,"8,526.59","104,111.76",-,-,-,-,"526,973.14",-,-,"10,634.79",-,-,-,-,-,486.86,1.55,"30,521.34","30,522.89","568,617.68","672,729.44",0,"17,402.93","3,651.93","1,039.75",0,119.83,45.96,0,-,301.55,0,"5,159.03","8,681.29","1,398.25","5,250.92","13,909.06",0.63,225.96,226.59,-,"52,028.07","407,349.64",-,-,-,0,-,-,-,"16,000.00","423,349.64","475,377.71","71,267.95",-,-,0,"71,267.95","51,618.63","22,441.74",0,0,"21,500.50",0,"30,522.89",-,"197,351.73","672,729.44"
,2012,811011779,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2011,811011779,10.79,"2,841.46",50.88,20.81,"2,923.93","8,752.77","20,227.35",0,"6,612.76","5,906.64","20,933.47",0,"2,277.88","14,674.53",132.37,-,"10,477.92","27,562.69",0,0,0,0,0,0,0,"1,980.62",0,0,"1,980.62","62,153.49","19,228.90",-,-,0,"433,269.87",-,-,0,"8,293.75",-,-,-,-,486.86,43.11,"21,659.53","21,702.64","482,982.01","545,135.50","12,000.00","4,661.67","4,213.48","1,022.39",0,224.55,29.34,53.52,-,176.67,0,"5,719.95","8,888.92","1,054.18","6,435.49","11,207.37",2.81,"1,043.93","1,046.74","84,000.00","135,014.31","174,602.91",0,0,0,0,0,0,0,"46,000.00","220,602.91","355,617.21","71,267.95",-,-,0,"71,267.95","50,137.56","13,488.79",0,0,"32,921.35",0,"21,702.64",-,"189,518.29","545,135.50"
,2010,811011779,23.2,"1,296.65",6.49,25.06,"1,351.40","15,425.25","10,372.32",0,"6,691.92","5,463.69","11,600.55",0,706.51,"10,148.98",217.53,-,"7,945.87","19,018.89",0,0,0,0,0,0,0,"1,851.02",0,0,"1,851.02","49,247.10","20,055.73",-,-,0,"455,089.42",-,-,54.57,"2,767.17",-,-,-,-,486.86,0,"22,514.64","22,514.64","500,968.38","550,215.48","101,721.74","6,060.28","6,488.20",984.3,0,13.91,26.36,0.29,-,536.63,0,"8,049.68",480.46,990.66,"5,177.54","11,411.45","1,611.90","1,557.55","3,169.45","105,190.00","242,251.24","1,003.63",0,0,0,0,0,0,0,"130,000.00","131,003.63","373,254.87","71,267.95",-,-,0,"71,267.95","49,875.09","11,287.22",0,0,"22,015.71",0,"22,514.64",-,"176,960.61","550,215.48"
,2009,811011779,24.31,"1,658.39",503.24,18.96,"2,204.91","1,104.32","13,913.17",0,"4,155.38","4,359.39","13,709.16",0,"1,589.15","8,429.76",412.38,-,"8,505.37","18,936.66",0,0,0,0,0,0,0,63.32,0,0,63.32,"36,018.36","24,130.38",-,-,0,"442,807.95",-,-,120.3,"2,454.01",-,-,-,-,0,0,"17,636.77","17,636.77","487,149.40","523,167.76","15,569.88","24,097.84","2,827.28","1,126.51",0,383.62,51.93,0,-,343.02,0,"4,732.36","1,310.95","1,262.56","3,920.00","10,823.01","2,077.45",0,"2,077.45","24,350.00","88,144.04","14,650.13",0,0,0,0,0,0,0,"235,190.00","249,840.13","337,984.17","71,267.95",-,-,0,"71,267.95","51,142.94","24,317.69",0,0,"20,818.25",0,"17,636.77",-,"185,183.59","523,167.76"
