,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,830038885,"249,684.48","459,488.49",0,-,"709,172.97","75,401.79","291,697.13",-,-,"9,025.28","282,671.85",0,"26,393.97","194,330.42",-,0,"23,365.32","244,089.71",-,-,-,-,-,"843,141.37","843,141.37",-,-,-,-,"2,154,477.70","538,652.74","32,781.90","23,285.76","56,067.66","3,879,729.32","380,208.10","316,480.99","696,689.09","110,137.92","49,565.87",0,"9,301.42",0,"58,867.29",-,-,-,"5,340,144.01","7,494,621.71","48,743.22","2,002,286.76",-,-,-,-,-,-,0,-,88.11,88.11,"57,335.95","67,139.84","32,612.27",-,-,"38,063.66","38,063.66",-,"2,246,269.81","11,349.14","3,349,446.82","85,175.55",0,-,-,"209,550.91",0,-,"3,655,522.41","5,901,792.22","2,509.11","432,245.80","-2,356.43",-,"432,398.48","404,759.39","318,541.02",0,-,-,"391,230.61",-,"45,899.99","1,592,829.49","7,494,621.71"
,2019,830038885,-,"12,035.00",-,-,"12,035.00","8,931.71","50,436.88",-,-,-,"50,436.88",-,0,"3,467.05",-,0,389.95,"3,856.99",-,-,-,-,-,0,0,-,-,-,-,"75,260.58","1,863,991.95",0,33.27,33.27,"130,570.76",0,722.28,722.28,0,0,0,458.82,0,458.82,-,-,-,"1,995,777.08","2,071,037.66",164.24,"72,611.97",-,-,-,-,-,"1,258.96","2,071.55",-,0,"3,330.51",8.6,-,-,-,-,-,-,-,"76,115.33",0,"275,396.01","81,602.31",0,-,-,"6,681.88",0,-,"363,680.20","439,795.53","6,566.09","282,461.51","-6,686.68",-,"282,340.92","53,399.27","903,994.71",0,-,-,"391,507.23",-,0,"1,631,242.13","2,071,037.66"
,2018,830038885,-,"32,505.46",-,-,"32,505.46",0,"63,067.31",-,-,-,"63,067.31",-,0,"4,713.39",-,0,236.92,"4,950.31",-,-,-,-,-,0,0,-,-,-,-,"100,523.08","1,670,442.83",0,"9,240.89","9,240.89","88,621.62",0,"1,522.75","1,522.75",0,0,0,413.26,0,413.26,-,-,-,"1,770,241.34","1,870,764.42","2,904.65","22,656.88",-,-,-,-,-,"1,218.54","3,361.12",0,0,"4,579.66",4.47,-,-,-,-,-,-,-,"30,145.66",0,"263,659.52","74,871.38",0,-,-,"6,563.98",0,-,"345,094.88","375,240.54","6,664.50","262,136.71","-6,043.25",-,"262,757.95","54,133.41","723,562.49",0,-,-,"455,070.03",-,0,"1,495,523.88","1,870,764.42"
,2017,830038885,16.17,"2,365.93",85.29,"3,050.47","5,517.85",13.69,433.08,0,0,0,433.08,0,0,"1,762.70",317.17,-,"169,447.43","171,527.31",0,0,0,0,0,0,0,228.38,0,0,228.38,"177,720.31","1,563,231.69",-,-,637.2,"29,549.76",-,-,"2,392.89",0,-,-,-,-,305.66,0,0,0,"1,596,117.20","1,773,837.51","96,509.78",0,"7,381.62",615.13,0,41.55,9.31,0,-,870.33,719.02,"9,636.95","4,005.99","1,183.46","1,982.79",0,0,0,0,0,"113,318.96","349,629.21",0,"2,663.78",0,0,"78,166.22","2,772.37",0,0,"433,231.59","546,550.55","6,664.50",-,-,0,"6,664.50","256,186.66","605,740.27",0,0,"-13,410.72","372,106.25",0,-,"1,227,286.96","1,773,837.51"
,2016,830038885,13.27,831.89,111.61,2.3,959.06,"46,810.07",5.97,0,0,0,5.97,0,0,823.47,255.42,-,"23,908.02","24,986.91",0,0,0,0,0,0,0,0,0,0,0,"72,762.01","1,668,367.94",-,-,891.37,"7,755.08",-,-,"3,347.90",0,-,-,-,-,"63,369.66",0,0,0,"1,743,731.95","1,816,493.96","99,847.30",0,"7,258.15",502.91,"8,861.92",13.27,8.73,188.62,-,"6,891.37","27,793.25","51,518.22","1,048.45",893.61,615,0,0,0,0,0,"153,922.58","287,519.11",0,"3,860.00",0,0,"72,896.47","2,159.35",0,0,"366,434.93","520,357.51","6,664.50",-,-,0,"6,664.50","100,657.29","619,169.28",0,"262,136.71","-81,802.31","389,311.00",0,-,"1,296,136.45","1,816,493.96"
,2015,830038885,18.83,"2,695.58",0,0,"2,714.40","6,645.23",0,"19,020.07",0,0,"19,020.07",0,0,"1,384.91",0,-,"7,943.61","9,328.52",0,0,0,0,0,0,0,0,0,0,0,"37,708.22","1,643,487.62",-,-,"49,909.16","9,140.55",-,-,"4,824.99",0,-,-,-,-,"45,087.82",0,0,0,"1,752,450.14","1,790,158.35","143,639.55",0,0,0,"12,661.08",0,0,"1,145.14",-,0,"17,539.02","31,345.23","2,731.41",0,61,0,0,0,0,0,"177,777.19","293,956.85",0,"6,637.10","1,245.33",0,"18,265.74",0,0,0,"320,105.01","497,882.20","6,664.50",-,-,0,"6,664.50","254,587.98","660,353.08",0,0,"9,414.03","361,256.75",0,-,"1,292,276.33","1,790,158.53"
,2014,830038885,0,634.71,0,0,634.71,"1,746.19",0,"10,292.04",0,0,"10,292.04",0,955.03,0,0,-,"38,702.06","39,657.09",0,0,0,0,0,0,0,0,78.24,0,78.24,"52,408.27","1,492,786.04",-,-,"30,731.14","14,983.27",-,-,"72,626.83","1,062.42",-,-,-,-,150.67,"18,990.17","9,449.83","28,440.00","1,640,780.37","1,693,188.64","67,469.51",0,724.65,0,"3,255.03",16.3,11.78,0,-,0,"7,236.70","11,244.46","1,982.77","1,179.68",189.88,0,0,355.69,355.69,0,"82,421.99","153,737.21",0,"8,124.80",0,0,"30,501.85",0,0,0,"192,363.86","274,785.85","6,664.50",-,-,0,"6,664.50","585,073.81","498,910.77","1,238,993.47",0,"78,780.75","-1,018,460.52","28,439.99",-,"1,418,402.77","1,693,188.62"
,2013,830038885,17.18,903,"1,025.46",0,"1,945.64","1,332,783.19",0,0,60.14,"2,751.72","-2,691.58","5,245.24",750.5,"4,265.68",915.01,-,"84,497.98","95,674.42",0,0,0,0,0,0,0,751.3,"1,265.57",0,"2,016.87","1,429,728.54",-,-,-,-,"10,836.54",-,-,"74,141.12",-,-,-,-,-,150.67,"128,407.57","8,670.64","137,078.21","222,206.54","1,651,935.07",37.13,0,"3,341.82",266.64,"7,430.25",0,15.94,149.44,-,"77,059.09",0,"88,263.18","3,158.67",913.27,"6,758.13",0,"4,849.30",355.69,"5,204.99",-,"104,335.36","175,775.61",-,-,-,0,-,-,-,0,"175,775.61","280,110.96","6,664.50",-,-,0,"6,664.50","497,313.45","488,800.21","1,238,993.47",0,"21,434.79","-1,018,460.52","137,078.21",-,"1,371,824.11","1,651,935.07"
,2012,830038885,-,"4,202.70",-,-,"4,202.70","90,288.27",0,-,0,0,0,"6,801.22",-,-,-,-,"61,789.13","68,590.35",0,0,0,0,0,0,0,-,741.41,0,741.41,"163,822.72","1,274,616.81",-,-,"35,406.12","10,820.97",-,-,"76,242.72","4,001.14",-,-,-,-,150.68,"165,031.35","7,456.28","172,487.63","1,573,726.07","1,737,548.79","214,553.28",0,0,-,"1,757.52",0,10.73,-,-,-,"18,842.50","20,610.75","1,042.46",687.4,"6,758.28",0,-,"5,242.61","5,242.61",0,"248,894.78",0,0,"101,919.34",664.58,0,0,0,0,0,"102,583.92","351,478.70","6,664.50",-,-,-,"6,664.50","486,580.31","480,108.29","1,238,993.47",-,"19,696.42","-1,018,460.52","172,487.63",-,"1,386,070.09","1,737,548.79"
,2011,830038885,10.23,830.26,"1,054.05",0,"1,894.53",239.66,0,0,0,0,0,0,35.69,"3,637.02",287.81,-,"15,620.54","19,581.05",0,0,0,0,0,0,0,884.8,0,0,884.8,"22,600.04","1,284,018.72",-,-,"7,709.58","9,490.64",-,-,"87,986.45","3,009.94",-,-,-,-,150.67,"375,573.67","4,785.42","380,359.09","1,772,725.09","1,795,325.13","123,799.73",0,"2,783.94",168.28,0,0,8.37,95.48,-,295.27,"519,287.87","522,639.21","2,448.03",524.36,"4,019.55",0,"30,264.12",376.86,"30,640.97",0,"684,071.85","35,000.00",0,"82,792.57",0,0,0,0,0,0,"117,792.57","801,864.42","4,776.75",-,-,0,"4,776.75","424,704.68","114,332.14","1,043,327.58",0,"40,791.26","-1,014,830.79","380,359.09",-,"993,460.71","1,795,325.13"
