,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,800216181,4.13,"130,348.87",0,0,"130,353.00",229,"343,448.00",0,0,0,"343,448.00",0,0,0,0,0,"2,094.00","2,094.00",0,0,0,0,0,0,0,0,0,0,0,"476,124.00","22,761,045.00",0,0,0,"6,817.00",0,0,0,"1,849.00",0,0,0,0,0,0,0,0,"22,769,711.00","23,245,835.00","2,644.00",698,0,0,"432,089.00",0,0,860,0,0,"1,572.00","434,521.00","26,990.00","2,208.00",0,0,0,"1,214.00","1,214.00","5,579.00","473,854.00","526,735.00",0,0,0,0,0,0,0,"1,124,520.00","1,651,255.00","2,125,109.00","22,281.00",0,0,0,"22,281.00","8,612,936.00",0,0,0,"2,399,001.00","9,324,442.00",0,"762,066.00","21,120,726.00","23,245,835.00"
,2019,800216181,2,"51,297.00",0,0,"51,299.00",212,"328,307.00",0,0,0,"328,307.00",0,0,0,0,-,164,164,0,0,0,0,0,0,0,278,0,0,278,"380,260.00","22,077,817.00",-,-,0,"8,351.00",-,-,0,331,-,-,-,-,0,0,0,0,"22,086,499.00","22,466,759.00","189,297.00",738,0,0,"426,881.00",0,0,839,-,0,"109,894.00","537,614.00","35,575.00","1,806.00",0,0,0,"1,214.00","1,214.00",0,"766,244.00","241,141.00",0,"1,124,520.00",0,0,0,0,0,0,"1,365,661.00","2,131,905.00","22,281.00",-,-,0,"22,281.00","8,612,936.00",0,0,0,"3,031,238.00","8,668,399.00",0,-,"20,334,854.00","22,466,759.00"
,2018,800216181,2,"38,665.00",0,0,"38,667.00","1,543.00",0,0,0,0,0,"267,640.00",0,0,0,0,517,"268,157.00",0,0,0,0,0,0,0,0,0,0,0,"308,367.00","19,970,980.00",0,0,0,"2,414.00",0,0,0,476,0,0,0,0,0,0,0,0,"19,973,870.00","20,282,237.00","2,808.00",743,0,0,"641,698.00",0,0,"1,106.00",0,0,"1,017.00","643,821.00","43,434.00","2,132.00",0,0,0,"1,214.00","1,214.00",0,"694,152.00","541,924.00",0,0,0,0,0,0,0,"824,520.00","1,366,444.00","2,060,596.00","22,281.00",0,0,0,"22,281.00","8,869,814.00","5,850,493.00","591,304.00",0,"2,887,749.00",0,0,0,"18,221,641.00","20,282,237.00"
,2017,800216181,2,"35,476.00",0,0,"35,478.00",453,0,0,0,0,0,"274,323.00",0,0,0,-,165,"274,488.00",0,0,0,0,0,0,0,0,0,0,0,"310,419.00","18,619,868.00",-,-,0,"2,851.00",-,-,348,0,-,-,-,-,0,0,0,0,"18,623,067.00","18,933,486.00","295,826.00","2,939.00",0,863,"415,949.00",0,0,0,-,0,"2,352.00","419,164.00","16,308.00","1,907.00",0,0,0,"1,233.00","1,233.00",0,"737,377.00","253,503.00",0,"1,104,080.00",0,0,0,33,0,0,"1,357,616.00","2,094,993.00","22,281.00",-,-,0,"22,281.00","8,504,729.00","5,344,903.00","708,524.00",0,"2,001,178.00","256,878.00",0,-,"16,838,493.00","18,933,486.00"
,2016,800216181,1,"47,279.00",0,0,"47,280.00","4,980.00",0,0,0,0,0,"260,445.00",0,"17,375.00",0,-,384,"278,204.00",0,0,0,0,0,0,0,0,0,0,0,"330,464.00","17,529,893.00",-,-,0,"3,170.00",-,-,0,0,-,-,-,-,0,0,0,0,"17,533,063.00","17,863,527.00","377,050.00","6,470.00",0,0,"413,350.00",0,0,814,-,0,"3,781.00","417,945.00","4,277.00","1,588.00",0,0,0,"1,233.00","1,233.00",0,"808,563.00","1,069,685.00",0,0,0,0,0,0,0,0,"1,069,685.00","1,878,248.00","22,281.00",-,-,0,"22,281.00","8,504,729.00","5,602,528.00","240,105.00",0,"1,053,594.00","562,042.00",0,-,"15,985,279.00","17,863,527.00"
,2015,800216181,1,"12,163.00",0,0,"12,164.00","4,456.00",0,0,0,0,0,"251,321.00",0,"14,347.00",0,-,368,"266,036.00",0,0,0,0,0,0,0,0,0,0,0,"282,656.00","28,294,551.00",-,-,0,"3,293.00",-,-,0,41,-,-,-,-,0,0,0,0,"28,297,885.00","28,580,541.00","122,775.00","5,449.00","3,146.00",0,"410,191.00",0,0,"1,241.00",-,0,"1,822.00","416,400.00","6,174.00",0,0,0,0,"1,243.00","1,243.00",0,"552,041.00","918,402.00",0,0,0,0,0,0,0,0,"918,402.00","1,470,443.00","22,281.00",-,-,0,"22,281.00","8,504,729.00","4,689,973.00",0,"-493,804.00","1,086,061.00","13,300,858.00",0,-,"27,110,098.00","28,580,541.00"
,2014,800216181,0,"42,458.71",0,0,"42,458.71",382.89,0,0,0,0,0,0,1.43,0,0,-,"266,677.70","266,679.13",0,0,0,0,0,0,0,0,824.67,0,824.67,"310,345.40","15,365,747.53",-,-,0,"1,363.81",-,-,"1,235,777.55","1,551.79",-,-,-,-,0,"10,660,732.44",0,"10,660,732.44","27,265,173.12","27,575,518.52","92,588.20","2,306.54",0,0,"399,300.93",529.59,40.49,0,-,0,"12,909.31","412,780.32","15,847.54","1,113.53",637.36,0,0,"1,263.63","1,263.63","100,000.00","626,537.12",0,0,0,0,0,0,0,0,"518,750.00","518,750.00","1,145,287.12","22,281.02",-,-,0,"22,281.02","9,646,857.19","3,878,153.59","874,469.66",0,"1,347,737.50",0,"10,660,732.44",-,"26,430,231.40","27,575,518.52"
,2013,800216181,1.5,425.8,"835,405.91",0,"835,833.22","11,641,295.58",0,0,0,0,0,0,0.18,"6,576.88",0,-,"205,048.05","211,625.11",0,0,0,0,0,0,0,0,446.8,0,446.8,"12,689,200.71",-,-,-,-,606.04,-,-,"740,287.84",-,-,-,-,-,0,"10,683,671.38",0,"10,683,671.38","11,424,565.26","24,113,765.96","74,568.32",820.7,"6,022.80",778.33,"341,175.85",26.19,6.44,336.15,-,60.96,0,"348,406.72","21,246.68","1,145.79","3,712.01",0,"1,407.33",0,"1,407.33",-,"451,307.55",0,-,-,-,0,-,-,-,"724,249.00","724,249.00","1,175,556.55","20,178.29",-,-,0,"20,178.29","7,210,862.97","3,382,963.96","874,469.66",0,"766,063.16",0,"10,683,671.38",-,"22,938,209.42","24,113,765.96"
,2012,800216181,-,"816,327.93",-,-,"816,327.93","8,297.56",0,-,0,0,0,0,-,-,-,-,"177,266.51","177,266.51",0,0,0,0,0,0,0,-,"11,043.32",-,"11,043.32","1,012,935.32","10,598,119.18",-,-,0,535.31,-,-,"411,992.08",306.31,-,-,-,-,0,"7,738,865.88",0,"7,738,865.88","18,749,818.75","19,762,754.07","355,355.65",289.02,0,-,"293,453.94",28.52,125.83,-,-,-,"22,013.06","315,621.35","25,697.54","1,086.11","1,170.80",0,-,"1,951.82","1,951.82",0,"701,172.29","795,561.30",0,0,"11,464.17",0,0,0,0,"724,249.00","1,531,274.47","2,232,446.77","18,551.77",-,-,-,"18,551.77","5,349,906.75","2,745,359.38","875,225.14",-,"802,398.39",0,"7,738,865.88",-,"17,530,307.30","19,762,754.07"
,2011,800216181,1.5,"1,885.87","1,588,002.57",0,"1,589,889.94",103.74,0,0,0,0,0,0,0,0,0,-,"171,861.32","171,861.32",0,0,0,0,0,0,0,"17,643.90","5,538.33",0,"23,182.23","1,785,037.23","9,694,709.39",-,-,0,443.6,-,-,"423,505.73","11,293.48",-,-,-,-,0,"6,982,266.16",0,"6,982,266.16","17,112,218.36","18,897,255.59","32,736.69",501.13,"26,683.57",953.78,0,21.45,117.5,270.81,-,"1,531.90","259,953.19","289,532.18","36,460.68",916.1,0,0,"2,655.41",0,"2,655.41","220,450.00","583,252.20","1,411,383.62",0,0,0,0,0,0,0,"724,250.00","2,135,633.62","2,718,885.82","18,551.30",-,-,0,"18,551.30","5,433,581.36","2,201,184.25","875,225.14",0,"667,561.55",0,"6,982,266.16",-,"16,178,369.77","18,897,255.59"
