ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890404190;10.572,03;20,08;10.551,96;0;9.390,52;491,23;1.652,67;0;84,22;84,22;-;-;1.568,45;0;0;1.568,45;86,65;-
2019;890404190;11.417,17;104,56;11.312,61;11.180,92;0;-49,76;81,93;0;28,58;28,58;0;0;53,34;6,6;0;46,74;155,4;-
2018;890404190;11.874,32;91,15;11.783,16;11.031,14;0;25,94;777,96;0;69,11;69,11;-;0;708,85;302,75;0;406,11;0;-
2017;890404190;11.698,37;129,28;11.569,09;10.104,00;2,39;-29,37;1.433,34;216,47;71,5;71,5;0;0;1.578,30;9,3;0;1.569,01;0;-
2016;890404190;12.733,48;1.102,82;11.630,66;9.631,43;0;217,14;2.216,37;161,04;56,78;56,78;-;-;2.320,63;822,31;0;1.498,33;0;-
2015;890404190;12.237,12;1.213,45;11.023,66;9.948,65;0;-;1.075,02;395,65;185,16;38,84;146,31;-;1.285,51;531,33;-;754,18;-;-
2014;890404190;13.852,67;1.537,03;12.315,64;10.189,97;3,99;-;2.121,67;1.850,66;301,13;-;-;-;3.671,21;1.065,23;-;2.605,99;117,11;80,94
2013;890404190;14.965,14;1.929,20;13.035,93;10.645,58;19,03;-;2.371,33;431,06;411,65;-;-;-;2.390,74;881,94;-;1.508,80;95,73;100,36
2012;890404190;12.934,76;1.058,19;11.876,57;10.414,07;6,66;-;1.455,84;529,57;266,42;-;-;-;1.718,99;615,02;-;1.103,97;108,6;79,64
2011;890404190;13.659,76;1.728,35;11.931,41;9.684,57;3;-;2.243,84;433,9;278,24;-;-;-;2.399,49;752,1;-;1.647,39;129,77;107,34
2010;890404190;8.045,55;905,13;7.140,42;9.150,20;0;-;-2.009,78;3.724,67;273,82;-;-;-;1.441,07;511,15;-;929,92;115,44;159,11
2009;890404190;6.264,66;907,19;5.357,47;6.838,01;7,47;-;-1.488,02;3.356,21;249,24;-;-;-;1.618,95;567,1;-;1.051,86;90,63;116,17
2008;890404190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;890404190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;890404190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
