ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860030380;289.214,46;204.557,02;84.657,45;0;30.148,98;-34.071,84;20.436,62;0;2.104,73;2.104,73;-;0;18.331,89;6.737,24;0;11.594,66;5.851,95;-
2019;860030380;265.615,74;182.815,77;82.799,97;15.318,74;0;-54.313,82;13.167,41;0;0;0;0;0;13.167,41;4.326,45;0;8.840,96;1.300,15;-
2018;860030380;248.170,17;169.197,21;78.972,95;23.022,28;46.401,81;633,7;10.182,57;0;2.539,72;2.539,72;-;0;7.642,84;4.574,94;0;3.067,91;4.624,89;-
2017;860030380;243.696,05;172.001,32;71.694,73;19.574,23;44.512,72;-2.124,76;5.483,02;330,53;3.816,35;3.816,35;0;0;1.997,20;2.617,70;0;-620,5;2.367,63;-
2016;860030380;257.668,97;186.147,42;71.521,54;51.470,34;13.942,18;58,61;6.167,64;0;2.417,38;2.417,38;0;0;3.750,26;3.162,84;0;587,43;1.211,40;-
2015;860030380;289.127,03;214.586,92;74.540,11;49.244,40;20.263,47;0;5.032,25;0;1.635,07;1.635,07;-;0;3.397,18;2.887,60;0;509,58;1.291,55;-
2014;860030380;96.722,16;35.205,36;61.516,80;11.653,57;44.429,27;-;5.433,96;37.312,91;39.154,90;-;-;-;3.591,96;2.108,52;-;1.483,44;1.518,29;491,39
2013;860030380;98.284,78;42.002,92;56.281,86;9.981,09;40.906,60;-;5.394,18;6.266,07;8.022,84;-;-;-;3.637,41;1.640,65;-;1.996,76;796,89;466,49
2012;860030380;96.977,53;40.630,58;56.346,95;8.486,03;45.659,15;-;2.201,77;9.140,91;7.635,71;-;-;-;3.706,97;3.555,42;-;151,55;928,18;967,45
2011;860030380;76.733,85;32.940,91;43.792,94;7.519,50;39.404,08;-;-3.130,65;6.349,55;7.508,73;-;-;-;-4.289,83;84,89;-;-4.374,72;657,88;1.166,85
2010;860030380;60.775,49;24.994,11;35.781,38;6.055,17;33.898,47;-;-4.172,26;6.392,33;7.598,17;-;-;-;-5.378,10;662,07;-;-6.040,17;639,64;1.350,44
2009;860030380;51.974,90;19.238,88;32.736,02;4.931,43;27.386,40;-;418,19;6.897,61;8.254,12;-;-;-;-938,32;85,54;-;-1.023,86;541,63;1.079,14
2008;860030380;50.160,74;23.117,91;27.042,84;4.386,81;19.556,81;-;3.099,21;6.983,16;6.839,79;-;-;-;3.242,59;1.183,78;-;2.058,81;452,87;652,27
2007;860030380;39.335,86;18.209,74;21.126,13;4.132,48;18.354,32;-;-1.360,67;8.375,58;6.920,93;-;-;-;93,98;435,02;-;-341,05;-;-
2006;860030380;40.867,62;19.520,56;21.347,06;4.232,81;18.520,78;-;-1.406,53;9.426,95;6.150,34;-;-;-128,82;1.870,08;1.331,17;-;410,1;-;-
