ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860066749;3.163,13;0;3.163,13;0;3.146,02;-139,88;-122,77;0;0;0;-;-;-122,77;21,78;0;-144,54;104,1;-
2019;860066749;3.666,87;0;3.666,87;3.392,25;0;0;274,63;0;0;0;0;0;274,63;140,3;0;134,33;89,22;-
2018;860066749;3.721,73;0;3.721,73;3.256,41;0;-110,58;354,75;0;0;0;-;0;354,75;50,43;0;304,33;47,59;-
2017;860066749;3.700,00;0;3.700,00;3.547,16;0;-94,45;58,4;0;0;0;0;0;58,4;165,01;0;-106,62;102,04;-
2016;860066749;4.171,64;0;4.171,64;3.325,07;0;-191,32;655,25;0;21;21;-;-;634,25;291,16;0;343,09;0;-
2015;860066749;3.065,55;0;3.065,55;3.291,83;0;-;-226,28;833,44;198,14;0;198,14;-;409,03;259,82;-;149,2;-;-
2014;860066749;3.079,45;0;3.079,45;3.163,66;0;-;-84,21;545,11;506,07;-;-;-;-45,17;181,61;-;-226,78;179,35;0
2013;860066749;2.915,41;79,72;2.835,70;3.182,82;0;-;-347,13;528,51;131,69;-;-;-;49,69;76,63;-;-26,94;178,75;0
2012;860066749;3.255,83;94,23;3.161,60;3.210,86;0;-;-49,26;533,78;195,08;-;-;-;289,43;156,59;-;132,84;179,6;0
2011;860066749;2.973,73;152,47;2.821,26;3.174,58;0;-;-353,31;821,23;357,62;-;-;-;110,31;166,83;-;-56,52;175,73;0
2010;860066749;2.938,77;87,23;2.851,53;2.844,53;0;-;7,01;509,66;246,97;-;-;-;269,7;172,27;-;97,43;162,11;2,57
2009;860066749;3.236,26;77,85;3.158,41;2.717,97;0;-;440,45;167,54;330,91;-;-;-;277,08;184,12;-;92,96;137,33;39,64
2008;860066749;3.721,63;89,75;3.631,88;2.842,90;0;-;788,98;360,46;419,82;-;-;-;729,62;367,15;-;362,48;118,34;52,91
2007;860066749;3.306,03;178,84;3.127,19;2.432,08;0;-;695,11;114,53;279,85;-;-;-;529,79;278,08;-;251,72;-;-
2006;860066749;3.234,71;428,95;2.805,77;2.000,89;0;-;804,87;68,79;301,36;-;-;-53,51;572,31;292,21;-;226,59;-;-
