ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800039996;854.024,29;704.867,51;149.156,77;0;141.960,50;530,47;7.726,74;0;2.930,44;2.930,44;-;0;4.796,31;2.117,78;0;2.678,53;18.237,73;-
2019;800039996;761.976,21;636.027,12;125.949,10;119.487,45;0;-203,33;6.258,32;0;5.557,25;5.557,25;0;0;701,07;-4.380,45;0;5.081,52;4.765,91;-
2018;800039996;686.319,99;575.977,71;110.342,28;106.022,13;0;-282,46;4.037,69;0;784,47;784,47;-;0;3.253,22;3.396,30;0;-143,08;5.199,51;-
2017;800039996;616.230,20;521.505,95;94.724,25;88.063,49;0;-1.424,06;5.236,70;0;991,74;991,74;0;0;4.244,96;6.005,89;0;-1.760,93;4.628,21;-
2016;800039996;572.425,55;479.072,26;93.353,29;0;78.308,74;-1.117,73;13.926,81;3.724,73;8.343,46;8.343,46;0;0;9.308,08;4.408,23;0;4.899,85;4.181,71;-
2015;800039996;522.560,72;436.466,09;84.773,60;0;75.570,47;0;10.524,16;9.306,85;13.036,52;13.036,52;-;0;6.794,50;2.098,23;0;4.696,27;7.966,05;-
2014;800039996;439.901,40;368.149,42;71.751,97;62.907,06;101,88;-;8.743,03;13.290,42;15.227,11;-;-;-;6.806,34;721,75;-;6.084,59;1.018,26;9.262,04
2013;800039996;388.259,22;324.553,59;63.705,63;62.462,89;126,3;-;1.116,44;1.701,79;3.077,12;-;-;-;-258,89;2.373,56;-;-2.632,45;824,16;8.307,30
2012;800039996;361.117,19;302.445,33;58.671,86;53.704,08;62,77;-;4.905,01;3.081,15;2.677,10;-;-;-;5.309,06;2.101,78;-;3.207,27;820,08;9.203,01
2011;800039996;300.784,69;254.080,13;46.704,57;46.073,44;262,97;-;368,16;3.268,25;3.650,72;-;-;-;-14,31;1.686,16;-;-1.700,47;635,92;8.645,35
2010;800039996;123.279,31;106.056,66;17.222,65;14.728,77;199,56;-;2.294,32;1.337,17;1.423,81;-;-;-;2.207,69;837,35;-;1.370,34;240,5;85,98
2009;800039996;84.212,52;68.356,70;15.855,82;13.628,34;28,03;-;2.199,46;1.306,92;1.995,61;-;-;-;1.510,77;1.049,85;-;460,93;558,74;58,7
2008;800039996;101.504,51;86.197,67;15.306,84;13.795,73;51,02;-;1.460,08;2.178,16;2.367,81;-;-;-;1.270,44;812,81;-;457,63;571,39;261,35
2007;800039996;90.333,99;78.080,27;12.253,72;9.886,34;201,57;-;2.165,81;2.420,62;3.073,30;-;-;-;1.513,13;1.000,00;-;513,13;-;-
2006;800039996;63.601,64;54.085,13;9.516,51;6.373,96;239,04;-;2.903,51;1.329,79;2.246,99;-;-;-28,69;1.986,32;240,18;-;1.717,45;-;-
