ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;830076778;10.749,31;7.097,22;3.652,09;0;3.116,10;-75,08;460,91;0;317,65;317,65;-;-;143,25;247,7;0;-104,44;139,57;-
2019;830076778;10.845,52;7.251,46;3.594,05;3.213,49;145,58;160,35;395,34;0;406,01;406,01;0;0;-10,68;57,12;0;-67,8;148,8;-
2018;830076778;9.363,37;8.064,46;1.298,92;1.208,26;131,26;-21,44;-62,05;0;2,79;2,79;-;0;-64,84;73,3;0;-138,13;150,09;-
2017;830076778;7.584,48;5.985,01;1.599,47;1.057,65;227,79;-82,18;231,85;10,66;0;0;0;0;242,51;270,1;0;-27,59;179,84;-
2016;830076778;6.596,30;4.210,55;2.385,75;1.441,31;845,65;-305,26;-206,47;0;7,84;7,84;-;-;-214,31;149,78;0;-364,09;108,37;-
2015;830076778;6.079,02;4.064,43;2.014,59;1.696,35;60,45;-;257,79;354,98;463,48;2,21;461,27;-;149,29;211,31;-;-62,02;-;-
2014;830076778;6.099,43;4.461,45;1.637,98;1.435,43;58,15;-;144,4;117,01;359,75;-;-;-;-98,34;63,82;-;-162,16;2,35;0
2013;830076778;5.181,34;4.288,47;892,87;707,13;26,68;-;159,06;186;303,9;-;-;-;41,17;71,53;-;-30,37;3,13;0
2012;830076778;4.757,46;3.886,56;870,9;568,8;21,67;-;280,43;127,68;360,25;-;-;-;47,86;54,73;-;-6,86;3,13;0
2011;830076778;4.056,89;3.288,68;768,22;540,55;31,28;-;196,38;220,98;358,8;-;-;-;58,56;101,17;-;-42,61;4,12;0
2010;830076778;3.750,54;2.947,06;803,48;503,17;8,58;-;291,74;121,58;75,18;-;-;-;338,14;128,38;-;209,76;7,05;0
2009;830076778;3.411,21;768,43;2.642,78;499,84;1,51;-;2.141,42;114,14;151,48;-;-;-;2.104,08;717,94;-;1.386,14;7,05;0
2008;830076778;3.827,06;716,49;3.110,58;483,31;0;-;2.627,27;21,42;180,54;-;-;-;2.468,15;856,2;-;1.611,95;7,05;0
2007;830076778;4.326,81;778,26;3.548,55;336,06;0;-;3.212,49;107,72;169,48;-;-;-;3.150,73;1.106,34;-;2.044,39;-;-
2006;830076778;3.439,28;727,12;2.712,16;453,38;65,45;-;2.193,33;127,58;146,96;-;-;-103,76;2.173,95;835,74;-;1.234,45;-;-
