ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800216686;10.679,49;3.142,05;7.537,44;0;6.989,62;1.318,91;1.866,73;2.580,34;2.531,77;2.531,77;-;-;1.915,30;388,77;0;1.526,52;387,12;-
2019;800216686;18.174,03;6.851,45;11.322,57;10.333,98;0;-71,55;917,05;1.819,42;1.694,89;1.694,89;0;0;1.041,58;670,37;0;371,21;448,41;-
2018;800216686;16.636,46;6.547,33;10.089,12;8.226,29;0;127,94;1.990,77;2.067,49;1.357,70;1.357,70;-;0;2.700,56;723,82;0;1.976,74;443,92;-
2017;800216686;13.766,16;6.139,18;7.626,99;6.943,21;0;-146,68;537,09;505,91;333,66;333,66;0;0;709,34;385,88;0;323,45;444,14;-
2016;800216686;14.408,34;6.859,86;7.548,48;6.194,64;0;-36,47;1.317,37;3.183,43;2.924,76;2.924,76;-;-;1.576,04;988,2;0;587,84;421,01;-
2015;800216686;15.598,87;8.196,21;7.402,67;4.115,50;3.198,29;-;88,88;4.180,14;2.674,16;34,98;2.639,18;-;1.594,86;707,13;-;887,73;-;-
2014;800216686;13.784,18;7.531,02;6.253,17;2.896,52;2.902,41;-;454,23;2.339,19;1.375,99;-;-;-;1.417,44;517,63;-;899,8;77,81;123,18
2013;800216686;13.363,65;6.651,34;6.712,32;4.409,08;1.923,74;-;379,49;1.464,44;887,55;-;-;-;956,39;347;-;609,38;68,2;40,93
2012;800216686;9.388,77;4.142,59;5.246,18;2.727,51;1.386,84;-;1.131,83;1.153,94;1.616,06;-;-;-;669,71;256,18;-;413,53;86,23;192,79
2011;800216686;7.930,04;3.256,17;4.673,87;3.712,03;2.139,50;-;-1.177,66;2.430,73;849,04;-;-;-;404,03;197,06;-;206,97;102,29;41,62
2010;800216686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;800216686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;800216686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;800216686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;800216686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
