ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800138131;10.966,92;8.181,69;2.785,23;1.052,98;727,52;-114,07;890,66;59,66;520,81;520,81;-;-;429,51;0;0;429,51;408,53;-
2019;800138131;8.975,99;7.007,31;1.968,68;595,48;994,53;-154,38;224,29;23,53;416,99;416,99;0;0;-169,17;0;0;-169,17;315,58;-
2018;800138131;8.879,02;7.291,05;1.587,97;764,1;938,18;244,12;129,81;13,74;473,49;473,49;-;0;-329,93;0;0;-329,93;149,89;-
2017;800138131;7.372,06;5.786,67;1.585,39;393,1;731,37;104,15;565,07;12,11;397,76;397,76;0;0;179,42;0;0;179,42;152,84;-
2016;800138131;7.326,11;5.889,52;1.436,59;357,27;679,02;-433,69;-33,39;56,85;0;0;-;-;23,46;0;0;23,46;89,42;-
2015;800138131;6.272,41;5.335,85;936,56;406,13;651,91;-;-121,48;625,81;699,81;445,95;253,87;-;-195,48;0;-;-195,48;-;-
2014;800138131;6.826,25;5.676,01;1.150,23;390,7;691,97;-;67,57;106,14;805,33;-;-;-;-631,62;0;-;-631,62;114,27;0,23
2013;800138131;7.567,25;6.612,00;955,26;691,38;688,76;-;-424,88;161,5;992,86;-;-;-;-1.256,25;0,85;-;-1.257,09;218,57;1
2012;800138131;8.285,42;7.266,38;1.019,03;755,73;742,17;-;-478,87;194,33;911,17;-;-;-;-1.195,70;12,88;-;-1.208,58;165,23;2,74
2011;800138131;8.701,24;7.098,56;1.602,68;815,37;825,47;-;-38,17;228,74;713,07;-;-;-;-522,49;18,28;-;-540,77;355,29;12,05
2010;800138131;9.968,75;7.607,08;2.361,67;703,68;753,45;-;904,54;115,47;746,46;-;-;-;273,55;74,31;-;199,24;286,15;16,55
2009;800138131;7.634,85;5.785,03;1.849,83;620,91;587,18;-;641,73;137,05;576,2;-;-;-;202,58;23,69;-;178,88;267,75;9,56
2008;800138131;8.089,29;5.830,94;2.258,35;667,26;652,74;-;938,35;527,42;854,18;-;-;-;611,59;129,33;-;482,26;199,91;8,7
2007;800138131;7.781,83;5.914,79;1.867,04;524,62;521,66;-;820,75;151,98;576,19;-;-;-;396,54;131,8;-;264,74;-;-
2006;800138131;6.238,10;4.826,32;1.411,77;487,75;460,9;-;463,12;123,26;298,78;-;-;27,79;287,59;143,7;-;171,69;-;-
