ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860045117;10.226,61;7.417,38;2.809,23;933,89;664,24;-126,9;1.084,20;0;0;0;-;-;1.084,20;306,81;0;777,38;105,84;-
2019;860045117;12.944,77;10.939,72;2.005,04;1.135,93;654,8;-385,43;-171,12;0;0;0;0;0;-171,12;0,71;0;-171,83;-122;-
2018;860045117;14.949,78;11.060,22;3.889,56;664,5;1.272,73;-584,71;1.367,62;0;0;0;-;0;1.367,62;782,4;0;585,22;133,18;-
2017;860045117;12.727,12;9.356,57;3.370,55;642,41;1.233,81;-348,82;1.145,50;0;0;0;0;0;1.145,50;247,84;0;897,66;68,97;-
2016;860045117;11.652,23;9.728,58;1.923,66;720,76;1.363,37;4.419,39;4.258,92;476,96;852,54;852,54;-;-;3.883,34;337,68;0;3.545,66;60,58;-
2015;860045117;10.473,78;8.498,38;1.975,40;847,72;1.318,90;-;-191,22;523,62;826,92;420,38;406,54;-;-494,52;79,17;-;-573,69;-;-
2014;860045117;11.058,61;7.825,82;3.232,79;933,89;1.736,85;-;562,04;717,8;233,46;-;-;-;1.046,38;350,91;-;695,48;335,65;13,24
2013;860045117;10.028,07;6.976,62;3.051,45;949,76;1.402,35;-;699,34;171,61;247,12;-;-;-;623,83;0;-;623,83;300,64;15,94
2012;860045117;7.383,45;5.342,08;2.041,37;566,98;1.316,50;-;157,9;152,21;179,37;-;-;-;130,74;93,72;-;37,02;265,5;16,42
2011;860045117;6.286,16;4.517,39;1.768,77;490,54;1.046,93;-;231,3;225,61;193,53;-;-;-;263,38;112,56;-;150,82;178,31;2,61
2010;860045117;8.193,85;5.738,05;2.455,80;561,83;912,66;-;981,31;219,91;200,29;-;-;-;1.000,93;317,12;-;683,81;129,94;0
2009;860045117;5.927,76;4.412,21;1.515,55;478,81;750,83;-;285,91;345,58;229,97;-;-;-;401,52;90,93;-;310,59;128,25;0
2008;860045117;4.692,53;3.122,19;1.570,35;501,73;734,3;-;334,31;484,56;161,05;-;-;-;657,82;123,11;-;534,72;118,84;0
2007;860045117;3.789,08;2.603,09;1.185,99;331,93;571,23;-;282,83;100,75;200,75;-;-;-;182,83;75;-;107,83;-;-
2006;860045117;3.872,86;2.809,36;1.063,50;360,74;575,29;-;127,48;424,65;180,44;-;-;-73,07;371,69;95,13;-;203,48;-;-
