ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;900627666;385,61;442,75;-57,14;117,97;54,31;0,19;-229,23;0;1,51;1,51;-;-;-230,74;0;0;-230,74;0
2019;900627666;1.585,55;936,88;648,67;139,13;501,01;-219;-210,46;0;22,37;22,37;0;0;-232,83;23,18;0;-256,01;99,66
2018;900627666;1.953,93;1.073,32;880,61;171,17;630,63;0;78,82;0;60,32;60,32;-;0;18,5;17,76;0;0,74;99,66
2017;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900627666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
