ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;900439301;186.826,17;76.484,50;110.341,67;96.039,04;16.994,14;3.670,85;979,35;349,08;8.146,09;8.146,09;-;-;-6.817,66;-955,87;0;-5.861,80;13.523,81;-
2019;900439301;212.521,43;92.544,57;119.976,87;19.328,63;101.489,58;-207,41;-1.048,76;670,99;6.233,19;6.233,19;0;0;-6.610,96;-1.464,86;0;-5.146,10;10.986,00;-
2018;900439301;176.727,66;69.190,06;107.537,61;0;103.394,66;792,56;4.935,51;342,75;4.567,16;4.567,16;-;0;711,1;1.036,64;0;-325,54;7.391,04;-
2017;900439301;127.288,34;49.950,83;77.337,51;0;74.087,74;154,88;3.404,65;397,08;2.665,01;2.665,01;0;0;1.136,72;-293,83;0;1.430,55;7.700,91;-
2016;900439301;81.882,90;33.962,80;47.920,10;0;49.636,39;-237,08;-1.953,37;3.547,55;3.988,92;3.988,92;-;-;-2.394,74;-288,52;0;-2.106,22;4.854,31;-
2015;900439301;51.990,15;19.237,05;32.753,10;0;36.198,47;-;-3.445,37;2.950,85;7.505,46;483,16;7.022,30;-;-7.999,98;0;-;-7.999,98;-;-
2014;900439301;41.031,15;14.559,40;26.471,75;0;27.119,75;-;-648;2.632,37;7.578,89;-;-;-;-5.594,53;0;-;-5.594,53;1.292,17;2.024,57
2013;900439301;30.288,04;11.016,65;19.271,39;0;21.567,98;-;-2.296,59;1.609,74;3.361,48;-;-;-;-4.048,32;23,14;-;-4.071,46;978,37;1.491,77
2012;900439301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;900439301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900439301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900439301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900439301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900439301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900439301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
