ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800198454;2.114,07;881,36;1.232,71;1.077,55;680,33;70,18;-455;0;0;0;-;-;-455;1,35;0;-456,34;9,64;-
2019;800198454;7.284,23;2.831,57;4.452,66;1.419,58;2.184,49;-35,98;812,61;0;0;0;0;0;812,61;273,02;0;539,59;7,68;-
2018;800198454;6.966,97;2.687,16;4.279,81;1.411,53;2.043,27;-52,17;772,85;0;0;0;-;0;772,85;259,54;0;513,3;6,95;-
2017;800198454;7.301,62;2.847,09;4.454,53;1.456,92;2.175,74;-60,18;761,7;0;0;0;0;0;761,7;264,12;0;497,58;6,02;-
2016;800198454;6.339,17;2.631,67;3.707,49;1.044,63;1.979,73;-58,25;624,88;0;0;0;-;-;624,88;213,42;0;411,46;4,17;-
2015;800198454;6.046,28;2.583,29;3.463,00;1.441,88;1.692,33;-;328,79;39,99;7,18;0;7,18;-;361,6;130,21;-;231,38;-;-
2014;800198454;5.076,23;2.173,24;2.903,00;1.298,45;1.335,50;-;269,05;33,98;8,63;-;-;-;294,4;104,81;-;189,6;2,63;167,57
2013;800198454;5.804,93;2.287,06;3.517,87;1.673,77;1.562,83;-;281,26;3,55;6;-;-;-;278,81;108,89;-;169,92;4,1;233,48
2012;800198454;5.687,61;2.353,92;3.333,70;1.389,02;1.708,14;-;236,54;5,8;6,27;-;-;-;236,07;85,22;-;150,86;5,22;363,55
2011;800198454;5.331,20;1.980,79;3.350,41;1.404,01;1.699,99;-;246,42;1,76;43,32;-;-;-;204,85;80,7;-;124,15;6,72;103,38
2010;800198454;4.908,04;1.950,13;2.957,92;1.173,13;1.579,06;-;205,73;6,97;6,17;-;-;-;206,54;76,87;-;129,67;9,84;107,53
2009;800198454;4.758,04;2.179,43;2.578,61;850,26;1.539,74;-;188,61;26,52;6,87;-;-;-;208,26;73,95;-;134,31;11,51;46,8
2008;800198454;5.296,32;2.278,95;3.017,37;868,36;1.635,14;-;513,86;19,45;6,71;-;-;-;526,6;179,55;-;347,04;11,51;66,94
2007;800198454;5.146,28;2.142,43;3.003,85;926,98;1.619,05;-;457,82;57,16;15,21;-;-;-;499,78;176,45;-;323,33;-;-
2006;800198454;4.621,21;1.923,16;2.698,05;801,08;1.516,46;-;380,51;51,59;17,49;-;-;-8,69;414,61;150,27;-;255,65;-;-
