ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800079603;105.321,90;89.757,29;15.564,62;0;8.113,25;-1.406,08;6.045,28;2.099,33;2.029,81;2.029,81;-;-;6.114,80;1.795,72;0;4.319,07;0;-
2019;800079603;84.288,13;73.002,01;11.286,12;7.084,94;0;-755,46;3.445,72;816,76;1.296,92;1.296,92;0;0;2.965,56;647,39;0;2.318,17;0;-
2018;800079603;77.744,22;67.368,69;10.375,53;5.255,78;0;-1.748,70;3.371,05;808,59;1.316,69;1.316,69;-;0;2.862,96;925,57;0;1.937,39;0;-
2017;800079603;50.598,22;42.478,26;8.119,97;5.455,94;0;-366,37;2.297,67;286,44;1.605,64;1.605,64;0;0;978,47;362,1;0;616,37;0;-
2016;800079603;40.051,92;34.684,20;5.367,73;4.317,82;0;958,76;2.008,66;320,85;1.385,44;1.385,44;-;-;944,07;366,83;0;577,25;0;-
2015;800079603;35.199,26;29.677,00;5.522,26;3.940,34;0;-;1.581,92;842,04;1.658,63;803,28;855,35;-;765,33;328,49;-;436,84;-;-
2014;800079603;33.892,14;28.831,21;5.060,94;3.718,79;0;-;1.342,14;919,05;1.530,60;-;-;-;730,59;340,11;-;390,48;499,83;162,61
2013;800079603;37.623,26;32.593,71;5.029,55;3.728,46;0;-;1.301,09;1.205,03;1.476,41;-;-;-;1.029,71;472,91;-;556,8;432,69;210,44
2012;800079603;28.835,70;25.268,54;3.567,16;2.665,68;0;-;901,48;725,36;864,8;-;-;-;762,04;325,01;-;437,03;286,9;108,43
2011;800079603;22.921,84;11.741,50;11.180,34;10.248,16;0;-;932,18;604,63;903,26;-;-;-;633,55;277,86;-;355,7;317,89;5,72
2010;800079603;21.576,21;10.653,07;10.923,14;10.019,97;0;-;903,17;480,79;704;-;-;-;679,96;284,75;-;395,21;516,14;12,31
2009;800079603;16.937,49;8.256,42;8.681,07;7.779,23;0;-;901,84;489,16;989,46;-;-;-;401,53;170,17;-;231,36;161,52;3,56
2008;800079603;12.637,53;6.419,36;6.218,17;5.690,52;0,51;-;527,14;270,34;597,17;-;-;-;200,31;13;-;187,31;74,04;16,08
2007;800079603;11.468,49;6.044,79;5.423,70;5.112,37;0,91;-;310,42;205,15;400,38;-;-;-;115,19;105,58;-;9,61;-;-
2006;800079603;11.940,35;5.456,00;6.484,35;5.605,64;3,72;-;874,99;117,65;317,3;-;-;-3,79;675,34;327,12;-;344,43;-;-
