ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;891856718;97.756,34;85.766,68;11.989,67;0;8.363,48;-114,17;3.512,02;0;1.256,48;1.256,48;-;0;2.255,54;1.066,63;0;1.188,92;1.647,20;-
2019;891856718;120.808,63;108.164,25;12.644,38;10.042,39;0;-1.676,70;925,28;0;1.243,17;1.243,17;0;0;-317,89;311,14;0;-629,03;1.096,83;-
2018;891856718;73.366,90;61.011,09;12.355,81;9.553,01;166,21;597,61;3.234,20;1.953,89;137,84;137,84;-;115,17;5.165,42;2.189,39;0;2.976,02;1.273,38;-
2017;891856718;94.928,33;76.996,46;17.931,88;16.390,62;34;1.000,94;2.508,20;2.725,16;94,28;94,28;0;144,65;5.283,73;2.195,60;0;3.088,13;1.230,48;-
2016;891856718;77.376,72;67.187,70;10.189,01;11.221,18;0;-71,37;-1.103,54;1.799,20;363,07;363,07;0;77,35;409,94;1.141,38;0;-731,45;1.259,26;-
2015;891856718;79.235,86;73.995,91;4.829,52;12.902,62;5.356,10;0;-13.018,76;934,05;269,44;269,44;-;1.428,78;-10.925,37;2.232,23;0;-13.157,60;1.867,31;-
2014;891856718;168.282,58;139.316,53;28.966,05;0;15.601,82;-;13.364,22;3.945,98;3.361,04;-;-;-;13.949,16;5.264,34;-;8.684,82;2.091,08;208,87
2013;891856718;189.241,72;134.075,47;55.166,25;0;30.319,46;-;24.846,79;1.268,24;2.369,26;-;-;-;23.745,77;8.535,65;-;15.210,12;501,65;857,63
2012;891856718;189.028,58;131.345,54;57.683,03;0;35.159,69;-;22.523,34;765,52;2.239,92;-;-;-;21.048,93;7.316,96;-;13.731,98;279,75;349,32
2011;891856718;153.948,36;105.537,49;48.410,87;0;32.475,97;-;15.934,90;1.645,41;2.022,82;-;-;-;15.557,49;5.568,81;-;9.988,68;555,82;309,98
2010;891856718;105.403,34;65.023,81;40.379,53;0;30.056,69;-;10.322,84;1.327,71;1.810,85;-;-;-;9.839,70;3.857,41;-;5.982,29;1.140,63;1.194,50
2009;891856718;46.020,47;19.329,00;26.691,47;0;22.113,26;-;4.578,22;524,78;1.371,20;-;-;-;3.731,79;1.539,41;-;2.192,38;558,74;191,63
2008;891856718;28.695,33;12.163,53;16.531,80;0;13.087,56;-;3.444,24;418,54;1.204,06;-;-;-;2.658,73;944,68;-;1.714,05;556,12;145,84
2007;891856718;17.804,59;10.252,55;7.552,04;0;5.598,29;-;1.953,75;169,14;475,21;-;-;-;1.647,68;665,46;-;982,22;-;-
2006;891856718;13.581,09;6.740,73;6.840,36;0;6.057,67;-;782,69;619,69;239,86;-;-;57,09;1.162,52;481,21;-;738,4;-;-
