ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;900090162;3.607,67;2.347,12;1.260,55;0;605,04;-136,99;518,52;0;0;0;518,52;219,04;0;299,48;90,21
2019;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900090162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
