ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;830119041;11.339,53;10.166,81;1.172,73;61,07;768,83;-195,07;147,76;0;0;0;-;-;147,76;115,39;0;32,36;0
2019;830119041;11.989,63;10.744,80;1.244,83;970,63;36,31;-173,95;63,94;0;0;0;0;0;63,94;26,52;0;37,42;60,89
2018;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;830119041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
