ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800230447;500.160,21;416.503,31;83.656,90;0;40.061,67;6.543,37;50.138,60;758,37;3.250,09;3.250,09;-;-1.222,61;46.424,27;17.426,57;0;28.997,70;11.411,46;-
2019;800230447;524.577,20;438.399,79;86.177,41;42.539,13;0;-444,99;43.193,29;847,78;3.465,80;3.465,80;0;-325,59;40.249,69;15.749,87;0;24.499,82;8.060,38;-
2018;800230447;486.519,16;417.158,00;69.361,16;42.625,86;0;-483,86;26.251,44;420,36;5.577,52;5.577,52;-;-337,18;20.757,10;9.935,29;0;10.821,81;7.149,37;-
2017;800230447;472.408,71;402.921,07;69.487,65;42.076,72;0;1.057,83;28.468,75;530,17;4.885,66;4.885,66;0;0;24.113,26;11.128,56;0;12.984,70;4.719,87;-
2016;800230447;463.025,79;403.234,68;59.791,10;1.271,22;35.979,43;-800,94;21.739,52;439,44;4.097,11;4.097,11;0;0;18.081,85;9.284,58;0;8.797,27;4.539,00;-
2015;800230447;456.881,48;397.047,99;57.388,56;162,54;45.300,09;0;14.370,86;553,63;1.848,53;1.848,53;-;0;13.075,96;6.462,79;0;6.613,17;4.599,05;-
2014;800230447;481.064,86;412.545,92;68.518,94;44.709,55;0;-;23.809,39;9.080,97;2.209,15;-;-;-;30.681,20;10.831,57;-;19.849,63;1.235,34;3.688,93
2013;800230447;476.791,91;409.269,48;67.522,44;43.574,45;2.523,89;-;21.424,10;7.697,62;2.112,46;-;-;-;27.009,27;8.849,70;-;18.159,57;1.316,77;3.116,93
2012;800230447;380.993,38;330.339,86;50.653,52;39.197,32;150,31;-;11.305,89;7.412,93;1.105,85;-;-;-;17.612,98;6.680,33;-;10.932,64;1.222,83;1.812,11
2011;800230447;338.565,27;289.970,81;48.594,46;36.013,42;0;-;12.581,04;5.116,82;829,33;-;-;-;16.868,53;6.684,31;-;10.184,22;1.166,14;1.371,79
2010;800230447;298.904,06;256.761,59;42.142,47;32.541,52;764,48;-;8.836,47;5.331,90;912,57;-;-;-;13.255,81;4.895,20;-;8.360,61;1.020,02;1.220,71
2009;800230447;268.588,94;233.452,21;35.136,73;30.952,50;82,4;-;4.101,82;4.885,30;1.138,31;-;-;-;7.848,82;3.086,49;-;4.762,33;919,34;1.167,10
2008;800230447;239.121,08;210.796,46;28.324,62;26.132,63;62,44;-;2.129,55;3.722,81;913,84;-;-;-;4.938,52;2.196,25;-;2.742,27;655,8;985,83
2007;800230447;203.296,75;181.948,59;21.348,16;20.529,71;453,18;-;365,28;3.314,55;811,62;-;-;-;2.868,21;1.336,43;-;1.531,78;-;-
2006;800230447;167.229,01;146.959,61;20.269,40;15.683,49;168,64;-;4.417,27;1.981,15;459,63;-;-;-26,48;5.938,79;2.754,17;-;3.158,14;-;-
