ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,830113599,"273,141.45","180,680.83","92,460.62",0,"35,547.21","-77,937.41","-21,024.00","2,249.98","13,196.58","13,196.58",-,0,"-31,970.60","8,221.98",0,"-40,192.58","3,486.77",-
2019,830113599,"19,197.13",0,"19,197.13","3,118.55",0,172.76,"16,251.35",348.82,"1,967.14","1,967.14",0,0,"14,633.03","4,634.23",0,"9,998.80",0,-
2018,830113599,"15,246.46",0,"15,246.46","34,664.16",0,-369.88,"-19,787.58",328.33,"1,404.53","1,404.53",-,0,"-20,863.78","2,599.66",0,"-23,463.44",0,-
2017,830113599,"18,699.44",0,"18,699.44","74,104.78",0,"70,698.14","15,292.79",527.12,0.59,0.59,0,0,"15,819.33","3,838.05",0,"11,981.28",0,-
2016,830113599,"18,806.41",0,"18,806.41","2,878.52",0,-621.08,"15,306.82",466.59,1.4,1.4,0,0,"15,772.00",939.65,0,"14,832.35",0,-
2015,830113599,"18,898.10",0,"18,898.10",0,"2,527.53",0,"16,370.57",136.83,2.98,2.98,-,0,"16,504.43",539.09,0,"15,965.34",-,-
2014,830113599,"39,317.64",0,"39,317.64","5,349.89",0,-,"33,967.75","2,708.81","15,494.91",-,-,-,"21,181.65","3,299.31",-,"17,882.34",0,0
2013,830113599,"42,302.85",0,"42,302.85","3,722.62",0,-,"38,580.23","2,079.28","11,309.19",-,-,-,"29,350.31",718.05,-,"28,632.27",0,0
2012,830113599,"32,390.74",0,"32,390.74","8,032.43",0,-,"24,358.31","4,763.61","5,340.45",-,-,-,"23,781.47",416.97,-,"23,364.51",0,0
2011,830113599,"18,215.99",0,"18,215.99","9,531.72",0,-,"8,684.28","3,840.03","7,641.93",-,-,-,"4,882.38",485.15,-,"4,397.23",0,0
2010,830113599,"13,122.45",0,"13,122.45","6,289.57",0,-,"6,832.88","3,627.26","5,435.06",-,-,-,"5,025.08",409.7,-,"4,615.38",0,0
2009,830113599,"17,236.51",0,"17,236.51","13,100.35",0,-,"4,136.16","10,109.29","12,393.99",-,-,-,"1,851.46",116.58,-,"1,734.88",0,0
2008,830113599,"21,482.29",0,"21,482.29","10,405.15",0,-,"11,077.13","8,892.72","17,551.51",-,-,-,"2,418.35",89.99,-,"2,328.36",1.47,0
2007,830113599,"12,876.86",0,"12,876.86","10,918.30",0,-,"1,958.56","9,337.28","11,849.41",-,-,-,-553.57,71.13,-,-624.69,-,-
2006,830113599,"12,910.03",0,"12,910.03","8,838.74",0,-,"4,071.29","8,573.30","15,186.35",-,-,"1,964.31","-2,541.75",163.84,-,-741.29,-,-
