ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;financiero;900486584.00;395796.96;275434.66;120362.30;30008.46;14712.32;1587.03;74054.49;4658.52;14066.43;14066.43;0.00;0.00;64646.58;7492.17;0.00;57154.41;4161.89;0.00
2019.00;financiero;900486584.00;1018.83;0.00;1018.83;54.46;0.00;0.00;964.37;0.00;0.00;0.00;0.00;82851.07;83815.44;0.46;0.00;83814.98;0.00;0.00
2018.00;financiero;900486584.00;1251.29;0.00;1251.29;31.81;0.00;0.00;1219.47;0.00;0.00;0.00;0.00;51805.34;53024.82;12.56;0.00;53012.26;0.00;0.00
2017.00;financiero;900486584.00;0.90;0.00;0.90;31.69;0.00;0.00;30.79;0.00;0.00;0.00;0.00;23248.71;23217.91;30.13;0.00;23187.79;0.00;0.00
2016.00;financiero;900486584.00;3458.58;0.00;3458.58;32.30;0.00;0.00;3426.28;0.00;35254.14;0.00;35254.14;70508.27;38680.41;32.20;0.00;38648.21;0.00;0.00
2015.00;financiero;900486584.00;19112.95;0.00;19112.95;34.25;8.09;0.00;19070.62;0.00;0.00;0.00;0.00;0.00;19070.62;38.24;0.00;19032.38;0.00;0.00
2014.00;financiero;900486584.00;7391.52;0.00;7391.52;19.82;0.00;0.00;7371.70;0.00;0.00;0.00;0.00;0.00;7371.70;42.37;0.00;7329.33;0.00;0.00
2013.00;financiero;900486584.00;13753.70;0.00;13753.70;14.87;5.26;0.00;13733.57;49.49;2.49;0.00;0.00;0.00;13780.57;65.46;0.00;13715.11;0.00;0.00
2012.00;financiero;900486584.00;10333.80;0.00;10333.80;58.86;13.26;0.00;10261.67;0.00;0.26;0.00;0.00;0.00;10261.41;0.08;0.00;10261.33;0.00;0.00
2011.00;financiero;900486584.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2010.00;financiero;900486584.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2009.00;financiero;900486584.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2008.00;financiero;900486584.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;financiero;900486584.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;financiero;900486584.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
