ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;financiero;900454277.00;231310.99;0.00;231310.99;0.00;168030.81;8382.35;54897.83;0.00;0.00;0.00;0.00;14899.13;39998.70;12364.62;0.00;27634.08;4679.26;0.00
2019.00;financiero;900454277.00;1.63;0.00;1.63;66.20;0.00;3028.70;3093.26;0.00;0.00;0.00;0.00;21539.98;18446.71;650.22;0.00;17796.49;0.00;0.00
2018.00;financiero;900454277.00;0.10;0.00;0.10;121.34;0.00;0.00;121.23;0.00;2738.17;2738.17;0.00;13243.17;10383.77;0.00;0.00;10383.77;0.00;0.00
2017.00;financiero;900454277.00;0.00;0.00;0.00;13.53;0.00;0.16;13.37;0.00;3047.65;3047.65;0.00;3576.36;515.35;0.00;0.00;515.35;0.00;0.00
2016.00;financiero;900454277.00;0.21;0.00;0.21;66.47;0.00;0.00;66.26;0.00;1.65;1.65;0.00;2481.40;2413.49;0.00;0.00;2413.49;0.00;0.00
2015.00;financiero;900454277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2014.00;financiero;900454277.00;278.37;0.00;278.37;221.30;0.00;0.00;57.07;1158.88;84.36;0.00;0.00;0.00;1131.59;5.10;0.00;1126.49;0.00;0.00
2013.00;financiero;900454277.00;0.08;0.00;0.08;83.48;0.00;0.00;83.40;274.79;12.94;0.00;0.00;0.00;178.45;105.43;0.00;73.02;0.00;0.00
2012.00;financiero;900454277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2011.00;financiero;900454277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2010.00;financiero;900454277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2009.00;financiero;900454277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2008.00;financiero;900454277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;financiero;900454277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;financiero;900454277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
