ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,811011779,"639,815.64","454,635.14","185,180.50",0,"84,484.13","67,893.77","168,590.15","1,864.06","65,799.60","65,799.60",-,0,"104,654.61","39,239.93",0,"65,414.67","140,140.90",-
2019,811011779,"600,960.86","421,836.53","179,124.32","71,881.50",0,"14,650.06","121,892.88",0,0,0,0,"2,095.09","123,987.97","38,219.96",0,"85,768.01","151,541.82",-
2018,811011779,"548,825.71","390,804.62","158,021.09","48,902.18",0,"-5,214.65","103,904.26",0,0,0,-,-389.54,"103,514.72","17,403.78",0,"86,110.94","113,226.69",-
2017,811011779,"487,093.49","329,899.24","157,194.26","15,936.15","26,813.21","34,114.60","148,559.49","9,601.29","71,428.57","71,428.57",0,"8,208.72","94,940.92","-13,262.59",0,"108,203.51","109,760.51",-
2016,811011779,"436,721.72","293,748.00","142,973.71","20,966.83","12,939.07","33,577.30","142,645.11","5,547.76","79,039.06","62,915.76","16,123.29","31,048.35","100,202.16","27,032.81",0,"73,169.35","106,523.33",-
2015,811011779,"194,392.83","151,521.06","42,871.77","15,081.19",0,-,"27,790.58","16,191.48","3,772.93",-,-,-,"40,209.13","-2,935.43",-,"43,144.56",-,-
2014,811011779,"329,135.21","235,188.89","93,946.32","7,657.04","15,917.80",-,"70,371.48","133,529.22","151,288.17",-,-,-,"52,612.53","8,698.40",-,"43,914.13",0,0
2013,811011779,"141,559.49","103,054.76","38,504.73","3,701.99","6,381.48",-,"28,421.27","34,683.81","36,344.89",-,-,-,"26,760.19","5,259.68",-,"21,500.50",124.19,404.5
2012,811011779,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,811011779,"233,283.75","157,940.54","75,343.21","9,150.84","10,886.34",-,"55,306.04","54,541.59","75,306.79",-,-,-,"34,540.84","1,619.50",-,"32,921.35",-,-
2010,811011779,"206,644.21","136,862.24","69,781.96","9,157.95","16,142.57",-,"44,481.44","47,250.81","68,080.22",-,-,-,"23,652.03","1,636.32",-,"22,015.71",0,0
2009,811011779,"202,708.48","130,201.04","72,507.44","8,465.25","12,479.02",-,"51,563.17","67,405.94","96,503.89",-,-,-,"22,465.23","1,646.98",-,"20,818.25",0,0
2008,811011779,"207,180.14","121,181.27","85,998.87","8,914.21","9,626.84",-,"67,457.82","23,304.26","64,867.74",-,-,-,"25,894.34","1,701.11",-,"24,193.23",0,0
2007,811011779,"129,830.41","75,770.83","54,059.58","8,871.68","7,699.59",-,"37,488.31","22,447.81","44,312.38",-,-,-,"15,623.73",749.54,-,"14,874.20",-,-
2006,811011779,"84,726.32","54,847.28","29,879.04","4,297.15","5,862.73",-,"19,719.16","6,006.45","15,555.37",-,-,"4,730.80","10,170.24",965.98,-,"13,935.07",-,-
