ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;800157508;14307.95;9358.43;4949.53;4192.39;562.85;312.50;506.78;33.27;653.32;653.32;0.00;0.00;113.26;54.36;0.00;167.62;253.20;0.00
2019;calzado;800157508;26687.88;17387.12;9300.77;677.28;6941.28;34.95;1717.15;27.77;817.15;817.15;0.00;0.00;927.77;352.40;0.00;575.37;245.60;0.00
2018;calzado;800157508;23733.64;14980.48;8753.15;569.13;7181.40;4.21;1006.84;44.03;827.17;827.17;0.00;0.00;223.70;89.06;0.00;134.64;298.23;0.00
2017;calzado;800157508;27872.28;18287.83;9584.45;7321.15;700.00;114.97;1678.26;74.86;999.18;999.18;0.00;0.00;753.94;240.81;0.00;513.13;284.76;0.00
2016;calzado;800157508;28140.59;17864.67;10275.92;539.86;7328.36;369.40;2038.29;0.00;988.80;988.80;0.00;0.00;1049.49;0.00;0.00;1049.49;260.61;0.00
2015;calzado;800157508;27931.29;18082.13;9849.16;560.61;7359.48;0.00;1929.07;152.01;708.81;204.33;504.48;0.00;1372.27;497.46;0.00;874.82;0.00;0.00
2014;calzado;800157508;24418.18;15698.66;8719.52;382.37;6455.14;0.00;1882.02;134.70;695.97;0.00;0.00;0.00;1320.74;480.75;0.00;840.00;214.85;0.00
2013;calzado;800157508;16417.43;9280.96;7136.47;480.78;5817.47;0.00;838.22;435.12;566.44;0.00;0.00;0.00;706.90;269.73;0.00;437.17;213.31;83.43
2012;calzado;800157508;14135.79;8610.04;5525.75;496.15;4357.56;0.00;672.04;313.65;467.26;0.00;0.00;0.00;518.43;212.98;0.00;305.45;177.02;16.06
2011;calzado;800157508;10856.98;6567.09;4289.89;370.59;3269.13;0.00;650.17;202.93;394.66;0.00;0.00;0.00;458.44;166.80;0.00;291.64;138.14;0.51
2010;calzado;800157508;9375.49;5291.50;4083.99;339.02;3117.63;0.00;627.35;139.48;405.49;0.00;0.00;0.00;361.33;114.66;0.00;246.67;104.95;17.50
2009;calzado;800157508;8346.69;4898.84;3447.86;349.30;2568.77;0.00;529.79;147.26;423.71;0.00;0.00;0.00;253.34;108.50;0.00;144.84;98.50;18.57
2008;calzado;800157508;7244.59;4466.36;2778.23;411.47;1867.01;0.00;499.74;147.73;378.99;0.00;0.00;0.00;268.48;105.00;0.00;163.48;84.06;21.82
2007;calzado;800157508;7182.68;5554.32;1628.36;373.34;1006.54;0.00;248.49;125.85;289.25;0.00;0.00;0.00;85.08;58.97;0.00;26.11;0.00;0.00
2006;calzado;800157508;4252.75;3469.35;783.40;280.14;489.75;0.00;13.51;41.16;147.31;0.00;0.00;13.52;92.64;0.00;0.00;79.12;0.00;0.00
