ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;830043792;14215.59;12056.90;2158.69;0.00;893.25;643.21;622.23;0.00;0.00;0.00;0.00;0.00;622.23;57.25;0.00;564.98;0.00;0.00
2019;calzado;830043792;1480.36;497.61;982.75;829.22;0.00;87.64;65.89;0.00;0.00;0.00;0.00;0.00;65.89;9.73;0.00;56.16;0.00;0.00
2018;calzado;830043792;17034.32;15376.00;1658.32;943.10;0.00;393.62;321.59;0.00;0.00;0.00;0.00;0.00;321.59;215.76;0.00;105.83;0.00;0.00
2017;calzado;830043792;6858.62;5758.63;1099.99;669.68;0.00;51.05;379.26;0.00;0.00;0.00;0.00;0.00;379.26;135.41;0.00;243.85;0.00;0.00
2016;calzado;830043792;14508.61;13282.39;1226.23;1126.62;0.00;50.88;150.49;0.00;144.90;144.90;0.00;0.00;5.59;18.63;0.00;13.04;0.00;0.00
2015;calzado;830043792;2566.51;1246.61;1319.91;1065.96;0.00;0.00;253.94;43.25;202.86;113.26;89.60;0.00;94.34;54.17;0.00;40.16;0.00;0.00
2014;calzado;830043792;7217.65;5129.06;2088.59;1386.74;0.00;0.00;701.85;78.78;190.97;0.00;0.00;0.00;589.65;201.20;0.00;388.45;0.00;0.00
2013;calzado;830043792;3302.19;1897.16;1405.03;1033.22;0.00;0.00;371.81;166.47;43.73;0.00;0.00;0.00;494.54;171.56;0.00;322.99;15.43;31.87
2012;calzado;830043792;5118.09;4065.74;1052.36;786.63;103.39;0.00;162.34;738.65;288.44;0.00;0.00;0.00;612.55;237.77;0.00;374.78;56.86;9.02
2011;calzado;830043792;6677.74;5004.69;1673.05;755.19;295.97;0.00;621.90;81.26;167.28;0.00;0.00;0.00;535.88;191.60;0.00;344.28;86.29;0.00
2010;calzado;830043792;5107.48;3778.83;1328.65;845.81;109.90;0.00;372.94;97.55;224.60;0.00;0.00;0.00;245.89;132.10;0.00;113.80;67.80;1.65
2009;calzado;830043792;3995.91;3049.31;946.60;386.69;211.69;0.00;348.22;95.17;76.02;0.00;0.00;0.00;367.37;126.18;0.00;241.20;12.46;0.00
2008;calzado;830043792;2284.79;1722.74;562.05;364.71;152.13;0.00;45.22;172.27;58.12;0.00;0.00;0.00;159.36;94.18;0.00;65.19;92.38;0.00
2007;calzado;830043792;2611.80;1878.33;733.47;252.16;110.94;0.00;370.37;58.83;81.27;0.00;0.00;0.00;347.92;132.00;0.00;215.92;0.00;0.00
2006;calzado;830043792;2915.29;2317.36;597.93;254.28;139.87;0.00;203.79;144.64;101.45;0.00;0.00;4.08;246.98;111.15;0.00;139.90;0.00;0.00
