ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;890801339;279589.08;169623.30;109965.79;95472.64;27873.87;2229.62;11151.11;715.77;11732.56;11732.56;0.00;604.70;21563.20;5068.92;0.00;16494.29;0.00;0.00
2019;calzado;890801339;404880.77;236566.70;168314.07;38750.77;117943.72;247.61;11867.18;113.83;12120.01;12120.01;0.00;335.47;474.48;0.00;0.00;474.48;39048.38;0.00
2018;calzado;890801339;409530.88;243499.65;166031.24;31056.26;108197.04;370.46;26407.48;67.40;3738.77;3738.77;0.00;0.00;22736.11;11478.16;0.00;11257.95;7187.09;0.00
2017;calzado;890801339;374583.77;217385.19;157198.58;24473.47;94767.55;2164.47;35793.09;58.60;3247.17;3247.17;0.00;0.00;32604.52;16638.30;0.00;15966.22;6482.49;0.00
2016;calzado;890801339;339100.64;197659.31;141441.33;85452.84;23463.18;740.10;33265.41;97.69;2881.00;2881.00;0.00;0.00;30482.10;11297.12;0.00;19184.98;5924.64;0.00
2015;calzado;890801339;303383.26;175701.35;126749.38;77966.21;24886.47;400.82;24428.42;0.00;2958.82;2958.82;0.00;45.23;21514.83;9184.99;0.00;12329.85;5995.41;0.00
2014;calzado;890801339;274811.33;155043.79;119767.54;22758.88;70197.57;0.00;26811.08;3792.76;11420.93;0.00;0.00;0.00;19182.91;6702.00;0.00;12480.91;751.38;5016.46
2013;calzado;890801339;244903.55;135903.44;109000.11;21414.55;66800.69;0.00;20784.87;2388.67;8922.69;0.00;0.00;0.00;14250.85;5049.16;0.00;9201.69;788.17;5165.39
2012;calzado;890801339;248682.17;131946.29;116735.88;18315.53;62091.58;0.00;36328.77;3939.67;7865.34;0.00;0.00;0.00;32403.10;10216.84;0.00;22186.26;779.06;4499.46
2011;calzado;890801339;215851.80;109837.44;106014.37;16961.60;52569.65;0.00;36483.12;8584.62;11429.97;0.00;0.00;0.00;33637.77;11053.69;0.00;22584.08;867.23;3621.54
2010;calzado;890801339;169219.89;83751.80;85468.09;16729.42;45140.32;0.00;23598.35;2623.52;5684.18;0.00;0.00;0.00;20537.70;7602.82;0.00;12934.88;666.10;2791.74
2009;calzado;890801339;143786.23;78702.28;65083.95;11309.75;43360.54;0.00;10413.66;6844.76;11080.11;0.00;0.00;0.00;6178.31;2812.54;0.00;3365.77;552.62;5084.82
2008;calzado;890801339;124820.88;72913.98;51906.89;9159.08;37684.98;0.00;5062.84;7244.67;10575.12;0.00;0.00;0.00;1732.39;942.50;0.00;789.89;573.34;2928.17
2007;calzado;890801339;120658.60;71023.35;49635.25;7459.79;34539.97;0.00;7635.48;5039.48;7558.52;0.00;0.00;0.00;5116.45;2434.75;0.00;2681.69;0.00;0.00
2006;calzado;890801339;107571.32;65118.68;42452.65;7450.36;27672.20;0.00;7330.09;2698.92;5767.06;0.00;0.00;406.35;4261.95;2350.09;0.00;2318.21;0.00;0.00
