ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;890504493;17508.42;8893.80;8614.62;9954.86;2228.17;3200.95;367.47;78.53;1499.73;1499.73;0.00;0.00;1788.67;28.06;0.00;1816.73;691.64;0.00
2019;calzado;890504493;36357.48;17185.26;19172.22;2415.25;15575.62;3756.11;2574.76;117.92;1974.10;1974.10;0.00;0.00;4430.93;32.78;0.00;4398.15;742.11;0.00
2018;calzado;890504493;35329.02;15129.85;20199.17;2102.01;14635.43;2588.57;873.16;0.00;0.00;0.00;0.00;0.00;873.16;132.93;0.00;740.23;1264.54;0.00
2017;calzado;890504493;35011.09;16365.12;18645.98;1894.15;13364.17;533.16;3920.82;0.00;0.00;0.00;0.00;0.00;3920.82;744.00;0.00;3176.82;383.64;0.00
2016;calzado;890504493;35862.50;19899.62;15962.88;2126.59;13797.42;1881.95;1843.08;0.00;0.00;0.00;0.00;0.00;1843.08;158.53;0.00;2001.61;0.00;0.00
2015;calzado;890504493;32861.99;15241.17;17620.82;2057.69;13009.02;0.00;2554.12;903.50;2840.89;1902.26;938.63;0.00;616.73;404.26;0.00;212.46;0.00;0.00
2014;calzado;890504493;26275.26;12558.09;13717.17;1657.51;10262.75;0.00;1796.91;476.23;1591.38;0.00;0.00;0.00;681.76;348.65;0.00;333.12;519.59;740.40
2013;calzado;890504493;20641.18;9465.52;11175.66;1714.74;7739.45;0.00;1721.46;245.56;1443.45;0.00;0.00;0.00;523.56;172.11;0.00;351.45;355.73;655.23
2012;calzado;890504493;16643.72;7056.34;9587.38;1276.63;6830.37;0.00;1480.38;242.56;1458.96;0.00;0.00;0.00;263.97;135.98;0.00;128.00;322.04;437.97
2011;calzado;890504493;13867.70;6029.09;7838.60;980.39;5839.59;0.00;1018.63;173.33;1059.65;0.00;0.00;0.00;132.32;85.80;0.00;46.52;296.77;544.82
2010;calzado;890504493;10794.49;4893.44;5901.05;792.27;4390.68;0.00;718.09;276.52;924.68;0.00;0.00;0.00;69.93;45.00;0.00;24.93;302.07;261.39
2009;calzado;890504493;8535.16;3411.68;5123.47;709.45;3620.96;0.00;793.06;221.28;971.41;0.00;0.00;0.00;42.94;30.57;0.00;12.37;294.79;199.30
2008;calzado;890504493;8261.22;3803.72;4457.50;586.63;2853.64;0.00;1017.23;139.83;919.67;0.00;0.00;0.00;237.39;28.44;0.00;208.96;272.78;127.28
2007;calzado;890504493;8087.96;4375.09;3712.87;583.95;2349.29;0.00;779.63;95.92;575.42;0.00;0.00;0.00;300.13;23.54;0.00;276.58;0.00;0.00
2006;calzado;890504493;6407.47;3632.43;2775.04;590.10;1468.61;0.00;716.34;64.13;379.43;0.00;0.00;74.83;401.03;31.57;0.00;444.29;0.00;0.00
