ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;860033182;4138.77;2294.38;1844.40;2507.56;489.08;220.63;1372.88;0.00;0.39;0.39;0.00;0.00;1373.26;293.26;0.00;1080.00;183.03;0.00
2019;calzado;860033182;11098.11;5475.91;5622.20;1003.65;5117.60;125.30;373.74;14.16;723.72;723.72;0.00;0.00;1083.30;126.35;0.00;956.95;183.76;0.00
2018;calzado;860033182;11678.13;6060.38;5617.75;1208.86;4922.54;689.42;1203.08;0.00;0.00;0.00;0.00;0.00;1203.08;61.11;165.55;1098.64;180.68;0.00
2017;calzado;860033182;12554.54;6270.84;6283.71;1312.40;5376.71;28.31;377.09;0.00;628.74;628.74;0.00;0.00;1005.83;518.10;0.00;487.73;149.41;0.00
2016;calzado;860033182;13849.89;6984.78;6865.10;1168.49;5177.10;10.09;509.42;0.00;677.23;677.23;0.00;0.00;167.81;29.51;0.00;138.30;201.88;0.00
2015;calzado;860033182;13493.17;6816.16;6677.01;1046.21;4950.69;0.00;680.11;210.28;492.12;112.84;379.27;0.00;398.28;135.41;0.00;262.86;0.00;0.00
2014;calzado;860033182;14077.03;7271.47;6805.56;989.77;5166.43;0.00;649.35;138.47;650.76;0.00;0.00;0.00;137.07;47.15;0.00;89.93;65.61;1.59
2013;calzado;860033182;12713.55;6177.83;6535.72;885.55;4865.46;0.00;784.71;161.62;290.96;0.00;0.00;0.00;655.36;153.69;0.00;501.68;74.91;121.31
2012;calzado;860033182;13375.24;6623.68;6751.56;796.79;5020.38;0.00;934.39;192.31;487.63;0.00;0.00;0.00;639.08;259.66;0.00;379.42;69.40;50.33
2011;calzado;860033182;17877.72;10381.02;7496.70;931.03;4528.61;0.00;2037.06;247.95;523.20;0.00;0.00;0.00;1761.81;616.02;0.00;1145.79;61.36;55.23
2010;calzado;860033182;11802.20;12408.88;606.69;732.75;4354.58;0.00;5694.02;7881.81;479.43;0.00;0.00;0.00;1708.36;613.95;0.00;1094.41;73.24;31.97
2009;calzado;860033182;10369.45;5825.10;4544.35;783.63;3750.52;0.00;10.20;866.12;407.39;0.00;0.00;0.00;468.93;122.34;0.00;346.59;223.77;58.76
2008;calzado;860033182;10431.67;5545.16;4886.50;741.38;3172.90;0.00;972.22;397.63;579.60;0.00;0.00;0.00;790.25;320.35;0.00;469.90;242.10;52.03
2007;calzado;860033182;11346.50;6374.06;4972.44;653.82;3067.24;0.00;1251.38;251.78;431.56;0.00;0.00;0.00;1071.61;383.51;0.00;688.10;0.00;0.00
2006;calzado;860033182;10163.09;5945.55;4217.54;634.53;2596.96;0.00;986.05;267.62;586.05;0.00;0.00;15.38;667.62;352.26;0.00;299.98;0.00;0.00
