ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;860069040;19161.64;14356.30;4805.34;3451.97;1451.24;519.77;421.90;20.72;1309.38;1309.38;0.00;0.00;866.76;28.84;0.00;895.60;315.98;0.00
2019;calzado;860069040;27262.04;19314.27;7947.77;1587.09;4164.59;29.78;2166.31;84.24;874.02;874.02;0.00;0.00;1376.52;515.06;0.00;861.46;365.67;0.00
2018;calzado;860069040;23304.23;16197.70;7106.54;1521.54;3855.51;122.44;1851.93;25.55;1054.98;1054.98;0.00;0.00;822.49;373.64;0.00;448.85;349.17;0.00
2017;calzado;860069040;22343.66;15597.09;6746.57;1553.91;3471.21;398.14;2119.60;17.67;1238.30;1238.30;0.00;0.00;898.98;602.54;0.00;296.44;344.03;0.00
2016;calzado;860069040;21401.49;15179.14;6222.35;2031.60;3273.77;1752.38;2669.37;386.40;1890.45;1890.45;0.00;0.00;1165.32;378.40;0.00;786.92;398.52;0.00
2015;calzado;860069040;27317.72;20390.33;6927.39;2150.68;4767.50;0.00;9.20;1280.34;3117.86;1202.86;1915.00;0.00;1828.32;86.83;0.00;1915.15;0.00;0.00
2014;calzado;860069040;30252.99;22138.67;8114.32;1458.09;2822.36;0.00;3833.87;989.65;2634.06;0.00;0.00;0.00;2189.47;1026.36;0.00;1163.11;262.41;523.07
2013;calzado;860069040;32743.12;24538.24;8204.88;1583.62;2828.85;0.00;3792.40;562.38;1211.59;0.00;0.00;0.00;3143.18;1199.15;0.00;1944.03;245.80;388.59
2012;calzado;860069040;28724.02;20238.99;8485.03;1169.58;2258.98;0.00;5056.48;570.11;2579.33;0.00;0.00;0.00;3047.26;1578.67;0.00;1468.59;233.20;103.31
2011;calzado;860069040;28238.38;19593.14;8645.24;946.40;2307.20;0.00;5391.64;430.97;1898.84;0.00;0.00;0.00;3923.77;1140.13;0.00;2783.64;175.81;107.73
2010;calzado;860069040;22154.81;15342.22;6812.59;803.10;1889.90;0.00;4119.59;341.63;1599.51;0.00;0.00;0.00;2861.72;745.27;0.00;2116.45;156.48;63.56
2009;calzado;860069040;17234.99;13080.45;4154.53;779.89;1689.66;0.00;1684.99;1018.97;1186.05;0.00;0.00;0.00;1517.91;565.50;0.00;952.41;136.62;77.75
2008;calzado;860069040;18224.19;12948.10;5276.09;810.44;1940.41;0.00;2525.25;927.60;1313.49;0.00;0.00;0.00;2139.36;499.39;0.00;1639.97;177.71;76.86
2007;calzado;860069040;12877.91;9456.81;3421.10;634.65;1592.71;0.00;1193.74;442.75;786.06;0.00;0.00;0.00;850.44;281.39;0.00;569.05;0.00;0.00
2006;calzado;860069040;12003.59;9124.17;2879.43;789.21;954.72;0.00;1135.51;230.93;394.18;0.00;0.00;50.77;972.26;254.35;0.00;768.67;0.00;0.00
