ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;800120681;164587.22;110102.12;54485.10;41344.12;6231.10;1270.52;8180.40;4691.48;9497.79;9497.79;0.00;0.00;3374.09;327.37;0.00;3046.73;1480.40;0.00
2019;calzado;800120681;173469.55;119058.46;54411.08;5324.49;43381.22;636.46;6341.83;5647.80;7410.07;7410.07;0.00;0.00;4579.56;1230.15;0.00;3349.41;2062.71;0.00
2018;calzado;800120681;145747.36;101764.85;43982.51;4372.72;35467.44;722.13;4864.47;1536.03;3773.94;3773.94;0.00;0.00;2626.56;1240.44;0.00;1386.12;1759.85;0.00
2017;calzado;800120681;124724.69;85536.98;39187.71;3634.27;31408.71;815.01;4959.74;1881.30;4525.78;4525.78;0.00;0.00;2315.26;1293.03;0.00;1022.23;1619.14;0.00
2016;calzado;800120681;122233.18;87431.23;34801.94;3332.57;29439.64;946.04;2975.77;1441.80;2099.15;2099.15;0.00;0.00;2318.43;1310.47;0.00;1007.96;1460.71;0.00
2015;calzado;800120681;115657.27;77017.97;38639.30;3176.30;26687.41;0.00;8775.59;1199.02;7744.21;425.77;7318.44;0.00;2230.41;999.74;0.00;1230.67;0.00;0.00
2014;calzado;800120681;114007.82;78687.57;35320.25;3152.73;24754.06;0.00;7413.46;1772.51;7259.64;0.00;0.00;0.00;1926.33;806.91;0.00;1119.42;886.53;125.67
2013;calzado;800120681;101095.74;78488.30;22607.44;2791.90;15642.52;0.00;4173.02;1256.89;3817.37;0.00;0.00;0.00;1612.54;660.36;0.00;952.19;759.55;71.63
2012;calzado;800120681;92248.47;74307.38;17941.09;2649.70;13907.25;0.00;1384.15;2519.27;2696.67;0.00;0.00;0.00;1206.76;546.00;0.00;660.76;750.51;66.22
2011;calzado;800120681;90149.70;73993.80;16155.90;2704.36;11981.05;0.00;1470.49;2428.07;2988.49;0.00;0.00;0.00;910.06;406.52;0.00;503.55;671.20;97.10
2010;calzado;800120681;71951.14;59694.23;12256.92;1926.24;8810.36;0.00;1520.32;2029.09;2861.30;0.00;0.00;0.00;688.11;273.50;0.00;414.61;579.06;84.57
2009;calzado;800120681;60083.89;49943.85;10140.04;1902.71;6630.15;0.00;1607.18;1715.46;2800.12;0.00;0.00;0.00;522.52;228.24;0.00;294.28;447.36;69.24
2008;calzado;800120681;59054.17;49332.77;9721.40;1544.71;5229.88;0.00;2946.81;1735.66;4232.22;0.00;0.00;0.00;450.25;197.04;0.00;253.21;413.87;40.49
2007;calzado;800120681;57683.49;49023.79;8659.71;1608.37;3844.87;0.00;3206.47;1586.84;3637.01;0.00;0.00;0.00;1156.30;498.70;0.00;657.60;0.00;0.00
2006;calzado;800120681;57852.65;49788.25;8064.40;1297.15;4237.96;0.00;2529.29;950.75;2748.17;0.00;0.00;3.64;731.88;385.09;0.00;343.15;0.00;0.00
