ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;calzado;860523238;2627.95;1653.01;974.95;167.32;399.93;57.42;465.11;0.00;255.87;255.87;0.00;0.00;209.24;91.34;0.00;117.91;0.00;0.00
2019;calzado;860523238;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2018;calzado;860523238;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017;calzado;860523238;3732.16;2348.64;1383.52;435.13;232.41;125.85;590.13;0.00;314.70;314.70;0.00;0.00;275.43;123.82;0.00;151.61;39.40;0.00
2016;calzado;860523238;3282.20;2128.07;1154.13;480.13;297.75;21.93;398.19;0.00;381.30;381.30;0.00;0.00;16.88;52.05;0.00;35.16;0.00;0.00
2015;calzado;860523238;3647.35;2380.28;1267.07;396.37;363.68;0.00;507.02;23.34;401.63;215.18;186.45;0.00;128.73;76.32;0.00;52.41;0.00;0.00
2014;calzado;860523238;3308.59;2184.81;1123.79;465.21;156.80;0.00;501.78;406.49;475.60;0.00;0.00;0.00;432.66;151.43;0.00;281.23;64.65;0.00
2013;calzado;860523238;2445.23;1705.10;740.13;349.94;136.54;0.00;253.65;375.63;331.69;0.00;0.00;0.00;297.59;119.11;0.00;178.47;21.62;0.00
2012;calzado;860523238;2315.91;1410.14;905.77;459.15;156.35;0.00;290.27;363.50;345.11;0.00;0.00;0.00;308.66;0.00;0.00;308.66;88.45;0.00
2011;calzado;860523238;2472.67;1463.29;1009.39;527.03;171.38;0.00;310.98;322.66;183.29;0.00;0.00;0.00;450.35;154.26;0.00;296.09;32.46;0.00
2010;calzado;860523238;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2009;calzado;860523238;1929.05;1483.69;445.36;369.95;69.25;0.00;6.16;366.60;148.78;0.00;0.00;0.00;223.98;76.71;0.00;147.27;40.41;0.00
2008;calzado;860523238;2090.21;1569.61;520.60;345.86;95.57;0.00;79.17;79.02;121.80;0.00;0.00;0.00;36.40;12.74;0.00;23.66;84.11;0.00
2007;calzado;860523238;1888.28;1412.58;475.70;302.08;72.17;0.00;101.44;3.50;90.46;0.00;0.00;0.00;14.48;11.80;0.00;2.68;0.00;0.00
2006;calzado;860523238;1790.38;1218.52;571.87;307.70;109.57;0.00;154.60;0.93;121.16;0.00;0.00;3.64;34.37;13.44;0.00;17.28;0.00;0.00
