ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890801339;279.589,08;169.623,30;109.965,79;95.472,64;27.873,87;2.229,62;-11.151,11;715,77;11.732,56;11.732,56;-;604,7;-21.563,20;-5.068,92;0;-16.494,29;0;-
2019;890801339;404.880,77;236.566,70;168.314,07;38.750,77;117.943,72;247,61;11.867,18;113,83;12.120,01;12.120,01;0;-335,47;-474,48;0;0;-474,48;39.048,38;-
2018;890801339;409.530,88;243.499,65;166.031,24;31.056,26;108.197,04;-370,46;26.407,48;67,4;3.738,77;3.738,77;-;0;22.736,11;11.478,16;0;11.257,95;7.187,09;-
2017;890801339;374.583,77;217.385,19;157.198,58;24.473,47;94.767,55;-2.164,47;35.793,09;58,6;3.247,17;3.247,17;0;0;32.604,52;16.638,30;0;15.966,22;6.482,49;-
2016;890801339;339.100,64;197.659,31;141.441,33;85.452,84;23.463,18;740,1;33.265,41;97,69;2.881,00;2.881,00;0;0;30.482,10;11.297,12;0;19.184,98;5.924,64;-
2015;890801339;303.383,26;175.701,35;126.749,38;77.966,21;24.886,47;-400,82;24.428,42;0;2.958,82;2.958,82;-;45,23;21.514,83;9.184,99;0;12.329,85;5.995,41;-
2014;890801339;274.811,33;155.043,79;119.767,54;22.758,88;70.197,57;-;26.811,08;3.792,76;11.420,93;-;-;-;19.182,91;6.702,00;-;12.480,91;751,38;5.016,46
2013;890801339;244.903,55;135.903,44;109.000,11;21.414,55;66.800,69;-;20.784,87;2.388,67;8.922,69;-;-;-;14.250,85;5.049,16;-;9.201,69;788,17;5.165,39
2012;890801339;248.682,17;131.946,29;116.735,88;18.315,53;62.091,58;-;36.328,77;3.939,67;7.865,34;-;-;-;32.403,10;10.216,84;-;22.186,26;779,06;4.499,46
2011;890801339;215.851,80;109.837,44;106.014,37;16.961,60;52.569,65;-;36.483,12;8.584,62;11.429,97;-;-;-;33.637,77;11.053,69;-;22.584,08;867,23;3.621,54
2010;890801339;169.219,89;83.751,80;85.468,09;16.729,42;45.140,32;-;23.598,35;2.623,52;5.684,18;-;-;-;20.537,70;7.602,82;-;12.934,88;666,1;2.791,74
2009;890801339;143.786,23;78.702,28;65.083,95;11.309,75;43.360,54;-;10.413,66;6.844,76;11.080,11;-;-;-;6.178,31;2.812,54;-;3.365,77;552,62;5.084,82
2008;890801339;124.820,88;72.913,98;51.906,89;9.159,08;37.684,98;-;5.062,84;7.244,67;10.575,12;-;-;-;1.732,39;942,5;-;789,89;573,34;2.928,17
2007;890801339;120.658,60;71.023,35;49.635,25;7.459,79;34.539,97;-;7.635,48;5.039,48;7.558,52;-;-;-;5.116,45;2.434,75;-;2.681,69;-;-
2006;890801339;107.571,32;65.118,68;42.452,65;7.450,36;27.672,20;-;7.330,09;2.698,92;5.767,06;-;-;406,35;4.261,95;2.350,09;-;2.318,21;-;-
