ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800078522;22.618,86;15.807,97;6.810,89;4.384,14;2.938,29;322,46;-189,07;5,74;1.686,54;1.686,54;-;-;-1.869,87;86,12;0;-1.955,99;543,99;-
2019;800078522;47.835,68;32.993,17;14.842,51;4.011,20;6.990,85;657,4;4.497,86;48,09;4.428,47;4.428,47;0;0;117,48;54,17;0;63,32;619,74;-
2018;800078522;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;800078522;43.877,52;28.708,40;15.169,13;4.017,94;6.669,98;116,67;4.597,87;95,32;3.109,65;3.109,65;0;0;1.583,54;771,08;0;812,47;672,83;-
2016;800078522;35.001,95;21.117,48;13.884,47;3.095,12;5.383,80;139,22;5.544,77;456,04;2.350,35;2.350,35;-;-;3.650,46;1.182,42;0;2.468,04;198,73;-
2015;800078522;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;800078522;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;800078522;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;800078522;18.054,20;12.403,11;5.651,08;1.156,97;2.699,89;-;1.794,22;271,64;1.384,20;-;-;-;681,67;252,62;-;429,05;113,5;0
2011;800078522;15.073,33;11.366,19;3.707,14;690,24;1.664,08;-;1.352,82;372,2;1.131,14;-;-;-;593,88;225,9;-;367,98;65,19;0
2010;800078522;12.763,09;9.314,18;3.448,91;549,51;1.402,42;-;1.496,98;398,27;984,34;-;-;-;910,92;196,67;-;714,25;36,99;0
2009;800078522;11.163,04;8.318,82;2.844,22;785,78;1.097,59;-;960,85;263,43;958,42;-;-;-;265,87;125,73;-;140,14;211,21;0
2008;800078522;8.743,47;6.122,78;2.620,69;722,25;961,32;-;937,12;221,38;930,65;-;-;-;227,85;0;-;227,85;209,41;0
2007;800078522;8.579,85;6.073,22;2.506,63;636,62;923,47;-;946,54;137,99;1.472,75;-;-;-;-388,22;179,63;-;-567,86;-;-
2006;800078522;6.924,23;4.957,10;1.967,14;442,85;849,49;-;674,79;279,5;904,81;-;-;180,4;49,48;0;-;229,88;-;-
