BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos, y Contrib,O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD, Y PROVIS,;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA,;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad, y Provis,;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia,;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN, O PARTC, DECRET, EN ACC,O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;calzado;800058369;0,00;115,23;0,00;0,00;115,23;0,00;146,61;0,00;0,00;0,00;146,61;0,00;0,00;0,00;0,00;221,55;0,44;221,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;483,83;0,00;0,00;0,00;0,00;13478,61;0,00;0,00;0,00;986,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14465,25;14949,08;2777,16;343,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,44;2,01;0,00;0,00;0,00;0,42;0,42;0,00;3149,73;0,00;0,00;0,00;0,00;0,00;0,00;986,63;0,00;0,00;986,63;4136,37;1100,00;0,00;0,00;0,00;1100,00;0,00;293,71;0,00;0,00;0,00;9419,00;0,00;0,00;10812,71;14949,08
2019;calzado;800058369;0,00;288,70;0,00;0,00;288,70;0,00;636,62;0,00;0,00;0,00;636,62;0,00;0,00;0,00;0,00;144,41;0,00;144,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1069,73;0,00;0,00;0,00;0,00;13923,48;0,00;0,00;0,00;986,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14910,11;15979,84;3264,14;596,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3916,85;0,00;0,00;0,00;0,00;0,00;0,00;986,63;0,00;0,00;986,63;4903,48;1100,00;0,00;0,00;0,00;1100,00;0,00;266,03;0,00;0,00;0,00;9710,33;0,00;0,00;11076,36;15979,84
2018;calzado;800058369;0,00;277,05;0,00;0,00;277,05;0,00;334,92;0,00;0,00;0,00;334,92;0,00;0,00;0,00;0,00;30,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;641,97;0,00;0,00;0,00;0,00;15287,39;0,00;0,00;0,00;938,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16226,03;16868,00;3023,44;1483,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4544,21;0,00;0,00;0,00;0,00;0,00;0,00;1078,63;0,00;0,00;1078,63;5622,84;1100,00;0,00;0,00;0,00;1100,00;0,00;265,65;0,00;0,00;0,00;9879,51;0,00;0,00;11245,16;16868,00
2017;calzado;800058369;0,14;67,30;0,00;0,00;67,44;0,00;32,67;0,00;0,00;0,00;32,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,89;6,89;0,00;0,00;0,00;0,00;106,99;0,00;0,00;0,00;0,00;15373,22;0,00;0,00;0,00;2404,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17777,27;17884,26;2456,28;1679,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;126,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4262,53;0,00;0,00;0,00;0,00;0,00;0,00;2321,00;0,00;0,00;2321,00;6583,53;1100,00;0,00;0,00;0,00;1100,00;0,00;262,93;0,00;0,00;0,00;9937,80;0,00;0,00;11300,73;17884,26
2016;calzado;800058369;0,00;102,95;0,00;0,00;102,95;0,00;403,83;0,00;0,00;0,00;403,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;506,78;0,00;0,00;0,00;0,00;14512,73;0,00;0,00;0,00;2257,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16770,30;17277,08;0,00;1159,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1198,12;2500,00;0,00;0,00;0,00;0,00;0,00;2142,60;0,00;0,00;4642,60;5840,72;1100,00;0,00;0,00;0,00;1100,00;0,00;231,72;0,00;0,00;0,00;10104,64;0,00;0,00;11436,36;17277,08
2015;calzado;800058369;0,00;56,57;1,89;0,00;58,46;0,58;0,00;0,00;0,00;0,00;0,00;0,00;25,42;0,00;0,00;0,00;395,33;420,75;0,00;0,00;0,00;0,00;0,00;7379,94;7379,94;0,00;0,00;0,00;0,00;7859,74;0,00;0,00;0,00;0,00;990,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2481,75;2481,75;3471,95;11331,69;0,00;0,74;0,00;33,29;0,00;0,00;0,01;0,20;0,00;0,21;0,00;33,71;96,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;131,32;0,00;0,00;743,85;0,00;0,00;0,00;0,00;0,00;0,00;743,85;875,16;0,00;0,00;0,00;1100,00;1100,00;0,00;198,47;235,08;0,00;332,58;287,18;8303,23;0,00;10456,53;11331,69
2014;calzado;800058369;0,00;277,86;74,49;0,00;352,34;0,58;3,28;0,00;0,00;0,00;3,28;0,00;1236,89;0,00;0,00;0,00;187,22;1424,10;0,00;0,00;0,00;0,00;0,00;5904,03;5904,03;0,00;0,00;0,00;0,00;7684,34;0,00;0,00;0,00;0,00;1987,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2411,25;2411,25;4399,19;12083,53;233,33;0,00;0,95;3,86;0,00;0,00;0,00;0,00;0,00;20,82;0,00;25,63;82,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;341,37;466,67;0,00;1632,58;0,00;0,00;0,00;0,00;0,00;0,00;2099,25;2440,62;0,00;0,00;0,00;1100,00;1100,00;0,00;164,06;235,08;0,00;344,05;524,78;7274,94;0,00;9642,91;12083,53
2013;calzado;800058369;0,00;316,75;69,40;0,00;386,14;0,58;0,73;0,00;0,00;0,00;0,73;0,00;1011,07;0,00;0,00;0,00;15,00;1026,07;0,00;0,00;0,00;0,00;0,00;4769,55;4769,55;0,00;0,00;0,00;0,00;6183,07;0,00;0,00;0,00;0,00;2240,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;211,58;211,58;2451,74;8634,81;0,00;1903,27;452,46;31,28;0,00;9,15;7,89;0,00;0,00;1725,92;0,00;2226,69;37,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4167,27;0,00;0,00;868,35;0,00;0,00;0,00;0,00;0,00;0,00;868,35;5035,62;0,00;0,00;0,00;1100,00;1100,00;0,00;143,72;235,08;0,00;203,45;841,67;1075,27;0,00;3599,19;8634,81
2012;calzado;800058369;0,00;163,74;50,05;0,00;213,80;0,58;2,09;0,00;0,00;0,00;2,09;0,00;454,50;0,00;0,00;0,00;2300,00;2754,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2970,97;0,00;0,00;0,00;0,00;2826,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;211,58;211,58;3038,22;6009,18;0,00;37,23;0,00;12,20;0,00;0,00;0,00;0,27;0,00;1546,46;0,00;1558,94;8,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1605,09;0,00;0,00;1468,35;0,00;0,00;0,00;0,00;0,00;0,00;1468,35;3073,44;0,00;0,00;0,00;1100,00;1100,00;0,00;141,59;235,08;0,00;21,31;822,50;615,27;0,00;2935,74;6009,18
2011;calzado;800058369;0,00;6,42;36,12;0,00;42,54;0,58;3,40;0,00;0,00;0,00;3,40;197,12;377,42;0,00;0,00;0,00;0,00;574,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;621,07;0,00;0,00;0,00;0,00;2089,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;211,58;211,58;2301,03;2922,10;0,00;0,07;0,00;0,00;0,00;0,00;0,01;0,26;0,00;0,17;0,00;0,44;8,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,07;0,00;0,00;0,00;1100,00;1100,00;0,00;132,47;235,08;0,00;89,79;740,43;615,27;0,00;2913,03;2922,10
